scenario,architecture,selected_policy,dependency_signature,expected_signature,recurrent_training_reward,local_training_reward,greedy_training_reward,safe_training_reward,action_0_positive_present_effect,action_0_persistence,action_1_positive_present_effect,action_1_persistence,best_persistent_score,best_transient_score,matches_expected_signature,selected_weights
self_persistent_boundary,sum_rnn,recurrent_controller,end_to_end_persistent_agent_boundary,end_to_end_persistent_agent_boundary,133.32,126.88,49.2,64.0,14.474050925744582,1.0,0.0,0.0,14.474050925744582,0.0,True,"0.0872,-1.0999,0.8571,-1.2072,-0.1351"
self_persistent_boundary,scalar_rnn,task_local_probe,end_to_end_local_probe,end_to_end_persistent_agent_boundary,116.2,126.88,49.2,64.0,1.751023384565581,1.0,0.0,0.0,1.751023384565581,0.0,False,"0.0961,0.9081,0.6158,-0.5577,2.0687,0.1160"
self_persistent_boundary,two_unit_rnn,task_local_probe,end_to_end_local_probe,end_to_end_persistent_agent_boundary,126.6,126.88,49.2,64.0,3.71382092737356,1.0,0.0,0.0,3.71382092737356,0.0,False,"0.0721,0.9722,-0.5726,0.3585,-0.3984,0.2016,0.5199,-1.7516,-3.8699,0.3577,0.0690"
detachable_tool_world,sum_rnn,recurrent_controller,end_to_end_detachable_external_boundary,end_to_end_detachable_external_boundary,130.84,124.0,42.0,64.0,4.374740447644834,1.0,34.883868736395925,0.0,4.374740447644834,34.883868736395925,True,"0.1448,1.8285,1.8910,1.5769,-1.2425"
detachable_tool_world,scalar_rnn,task_local_probe,end_to_end_local_probe,end_to_end_detachable_external_boundary,117.8,124.0,42.0,64.0,0.0,0.0,3.8643339347090477,0.0,0.0,3.8643339347090477,False,"-0.2151,0.9800,0.3883,0.9335,3.9971,0.3445"
detachable_tool_world,two_unit_rnn,task_local_probe,end_to_end_local_probe,end_to_end_detachable_external_boundary,116.68,124.0,42.0,64.0,0.2028879498128071,1.0,3.7825547058800364,0.0,0.2028879498128071,3.7825547058800364,False,"-0.1577,0.9850,0.4459,0.3590,0.4185,-0.6765,-2.0984,1.6132,4.2011,0.3131,-1.0614"
passive_world_boundary,sum_rnn,recurrent_controller,end_to_end_passive_external_boundary,end_to_end_passive_external_boundary,129.96,124.0,42.0,64.0,0.009697532563976572,1.0,0.0,0.0,0.009697532563976572,0.0,True,"-0.0848,1.4651,1.9493,0.4370,0.3416"
passive_world_boundary,scalar_rnn,task_local_probe,end_to_end_local_probe,end_to_end_passive_external_boundary,115.72,124.0,42.0,64.0,0.025503386959871224,1.0,0.0,0.0,0.025503386959871224,0.0,False,"-0.0450,0.9662,0.6810,0.8696,2.9150,-0.9380"
passive_world_boundary,two_unit_rnn,recurrent_controller,end_to_end_unclassified_recurrent_boundary,end_to_end_passive_external_boundary,124.44,124.0,42.0,64.0,0.139285416473279,1.0,0.0,0.0,0.139285416473279,0.0,False,"-0.0729,0.8447,-0.0655,-0.0984,0.0589,0.9073,-0.3370,-0.3727,-0.4066,-3.7689,-0.0504"
independent_hidden,sum_rnn,task_local_probe,end_to_end_local_probe,end_to_end_local_probe,63.11,126.72,48.8,64.0,0.0,0.0,0.0,0.0,0.0,0.0,True,"-0.0371,-0.3244,1.7646,0.0838,-1.7293"
independent_hidden,scalar_rnn,task_local_probe,end_to_end_local_probe,end_to_end_local_probe,63.02,126.72,48.8,64.0,0.0,0.0,0.0,0.0,0.0,0.0,True,"-0.2746,-0.7320,-0.0486,-0.4779,-1.3549,-1.1496"
independent_hidden,two_unit_rnn,task_local_probe,end_to_end_local_probe,end_to_end_local_probe,63.01,126.72,48.8,64.0,0.6837210254278197,1.0,0.0,0.0,0.6837210254278197,0.0,True,"-0.4912,0.9150,0.5098,0.2258,-0.0482,0.4356,1.5255,0.6211,4.4470,-4.3138,-1.3597"
irrelevant_control,sum_rnn,greedy_no_state,end_to_end_no_hidden_needed,end_to_end_no_hidden_needed,191.0,184.0,192.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,True,"-0.1204,1.1100,0.4450,-0.0485,0.7768"
irrelevant_control,scalar_rnn,greedy_no_state,end_to_end_no_hidden_needed,end_to_end_no_hidden_needed,191.0,184.0,192.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,True,"-0.1302,0.2646,2.3257,1.4379,-0.6145,1.4827"
irrelevant_control,two_unit_rnn,greedy_no_state,end_to_end_no_hidden_needed,end_to_end_no_hidden_needed,191.0,184.0,192.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,True,"-0.1840,0.7168,-1.6198,1.1786,0.0769,0.4305,-0.8409,1.1521,0.9256,-0.2184,0.9741"
