scenario,architecture,selected_policy,dependency_signature,expected_signature,best_restart,online_training_objective,validation_objective,recurrent_training_reward,local_training_reward,greedy_training_reward,safe_training_reward,recurrent_local_gap,latent_self_accuracy,latent_world_accuracy,action_0_positive_present_effect,action_0_persistence,action_1_positive_present_effect,action_1_persistence,matches_expected_signature,selected_weights
self_persistent_boundary,sum_rnn,recurrent_controller,end_to_end_persistent_agent_boundary,end_to_end_persistent_agent_boundary,0,131.65454545454546,135.0,131.65454545454546,124.65454545454546,43.63636363636363,64.0,7.0,1.0,0.6375,14.76929650034181,1.0,0.0,0.0,True,"0.1588,-1.3872,1.0174,-0.9771,0.8386"
self_persistent_boundary,scalar_rnn,recurrent_controller,end_to_end_passive_external_boundary,end_to_end_persistent_agent_boundary,1,129.9090909090909,133.4,129.9090909090909,124.65454545454546,43.63636363636363,64.0,5.25454545454545,0.9875,0.675,1.0961650705039583,1.0,0.0,0.0,False,"0.1264,2.6800,-1.4055,0.9821,-1.0901,0.0466"
self_persistent_boundary,two_unit_rnn,task_local_probe,end_to_end_local_probe,end_to_end_persistent_agent_boundary,1,106.05454545454545,108.86666666666666,106.05454545454545,124.65454545454546,43.63636363636363,64.0,-18.60000000000001,0.89375,0.70625,0.9108553436926629,1.0,0.0,0.0,False,"0.5815,0.4233,-1.1110,-1.0173,-0.9182,-0.9217,1.2742,-1.1973,-0.3039,1.3462,0.2419"
detachable_tool_world,sum_rnn,recurrent_controller,end_to_end_detachable_external_boundary,end_to_end_detachable_external_boundary,3,129.9090909090909,139.8,129.9090909090909,123.49090909090908,40.72727272727273,64.0,6.4181818181818215,0.61875,1.0,0.37541926429286987,1.0,8.724825964710355,0.0,True,"0.1257,-0.5204,-0.6406,-1.3143,0.6840"
detachable_tool_world,scalar_rnn,task_local_probe,end_to_end_local_probe,end_to_end_detachable_external_boundary,3,108.67272727272727,114.2,108.67272727272727,123.49090909090908,40.72727272727273,64.0,-14.818181818181813,0.5625,0.85,0.0,0.0,0.5471377762945925,0.0,False,"-0.3025,-0.7936,0.5533,1.0114,1.1182,0.1337"
detachable_tool_world,two_unit_rnn,task_local_probe,end_to_end_local_probe,end_to_end_detachable_external_boundary,2,121.76363636363637,132.33333333333334,121.76363636363637,123.49090909090908,40.72727272727273,64.0,-1.7272727272727195,0.65,0.91875,0.0,0.0,1.6422589489465267,0.0,False,"0.0461,1.5759,-0.4570,-1.1442,-1.6581,-0.0292,0.5316,-0.4670,-1.7804,-0.7647,-0.0111"
passive_world_boundary,sum_rnn,recurrent_controller,end_to_end_passive_external_boundary,end_to_end_passive_external_boundary,0,134.27272727272728,133.4,134.27272727272728,128.14545454545456,52.36363636363637,64.0,6.127272727272725,0.60625,1.0,0.0,0.0,0.0,0.0,True,"0.0707,-1.1978,-1.6805,-1.2430,0.4841"
passive_world_boundary,scalar_rnn,task_local_probe,end_to_end_local_probe,end_to_end_passive_external_boundary,1,116.23636363636363,113.13333333333334,116.23636363636363,128.14545454545456,52.36363636363637,64.0,-11.90909090909092,0.675,0.86875,0.0,0.0,0.0,0.0,False,"-0.0538,0.9221,0.5572,1.2919,1.0230,-0.1337"
passive_world_boundary,two_unit_rnn,task_local_probe,end_to_end_local_probe,end_to_end_passive_external_boundary,0,112.74545454545455,109.93333333333334,112.74545454545455,128.14545454545456,52.36363636363637,64.0,-15.400000000000006,0.6875,0.84375,0.0,0.0,0.0,0.0,False,"0.0005,0.3011,-0.1369,1.2807,0.0422,-0.3652,-1.1453,-0.8769,0.8132,-1.4778,0.0462"
independent_hidden,sum_rnn,task_local_probe,end_to_end_local_probe,end_to_end_local_probe,0,62.96363636363636,63.46666666666667,62.96363636363636,126.10909090909091,47.27272727272727,64.0,-63.14545454545455,0.75,0.86875,0.0,0.0,0.0,0.0,True,"0.9213,0.0080,-0.8780,-0.7237,-0.2056"
independent_hidden,scalar_rnn,task_local_probe,end_to_end_local_probe,end_to_end_local_probe,0,63.0,63.0,63.0,126.10909090909091,47.27272727272727,64.0,-63.10909090909091,0.71875,0.86875,0.02818237353069001,1.0,0.0,0.0,True,"-0.8556,0.1082,-0.1669,-1.1760,0.1111,-1.3345"
independent_hidden,two_unit_rnn,task_local_probe,end_to_end_local_probe,end_to_end_local_probe,0,63.0,63.0,63.0,126.10909090909091,47.27272727272727,64.0,-63.10909090909091,0.78125,0.7,0.0,0.0,0.0,0.0,True,"-0.3888,-0.7253,1.3462,-0.8613,-1.6294,-0.5472,1.0594,0.0424,-0.6176,0.8782,-0.9994"
irrelevant_control,sum_rnn,greedy_no_state,end_to_end_no_hidden_needed,end_to_end_no_hidden_needed,0,191.0,191.0,191.0,184.0,192.0,64.0,7.0,0.7875,0.74375,0.8581426613095628,1.0,0.0,0.0,True,"-1.0764,-0.1904,-0.0267,-0.7094,0.7980"
irrelevant_control,scalar_rnn,greedy_no_state,end_to_end_no_hidden_needed,end_to_end_no_hidden_needed,0,191.0,191.0,191.0,184.0,192.0,64.0,7.0,0.60625,0.6375,0.0003976194078317466,1.0,0.0,0.0,True,"0.0768,-1.1668,-0.1453,-0.6195,0.0070,1.4749"
irrelevant_control,two_unit_rnn,greedy_no_state,end_to_end_no_hidden_needed,end_to_end_no_hidden_needed,0,191.0,191.0,191.0,184.0,192.0,64.0,7.0,0.71875,0.81875,0.0,0.0,0.0,0.0,True,"0.0114,-0.1180,-1.1116,0.7583,-1.5437,0.4018,-1.3389,-0.8307,0.2929,-0.5451,0.9928"
