scenario,architecture,selected_policy,dependency_signature,expected_signature,best_restart,sampled_validation_return,deterministic_training_reward,recurrent_training_reward,local_training_reward,greedy_training_reward,safe_training_reward,recurrent_local_gap,latent_self_accuracy,latent_world_accuracy,action_0_positive_present_effect,action_0_persistence,action_1_positive_present_effect,action_1_persistence,matches_expected_signature,selected_weights
self_persistent_boundary,sum_rnn,recurrent_controller,end_to_end_persistent_agent_boundary,end_to_end_persistent_agent_boundary,0,127.08888888888889,129.4,129.4,122.88,39.2,64.0,6.52000000000001,0.995,0.645,29.59154844888518,1.0,0.0,0.0,True,"0.1011,1.7739,-1.4804,1.6569,0.0003"
self_persistent_boundary,scalar_rnn,recurrent_controller,end_to_end_persistent_agent_boundary,end_to_end_persistent_agent_boundary,4,111.62222222222222,127.48,127.48,122.88,39.2,64.0,4.6000000000000085,0.985,0.65,3.3356746445479457,1.0,0.0,0.0,True,"0.0286,2.1895,-0.9273,0.7066,-4.0000,-0.3664"
self_persistent_boundary,two_unit_rnn,recurrent_controller,end_to_end_persistent_agent_boundary,end_to_end_persistent_agent_boundary,2,117.84444444444443,127.0,127.0,122.88,39.2,64.0,4.1200000000000045,0.98,0.63,5.33663399585389,1.0,0.0,0.0,True,"0.0911,-2.4253,-0.5599,0.3797,0.0121,1.8999,0.9039,-0.5739,-2.3280,4.0000,0.0687"
detachable_tool_world,sum_rnn,recurrent_controller,end_to_end_detachable_external_boundary,end_to_end_detachable_external_boundary,0,138.2,127.96,127.96,122.88,39.2,64.0,5.079999999999998,0.645,0.995,0.0,0.0,35.07868508381277,0.0,True,"-0.1140,1.3486,1.8778,1.8759,1.0048"
detachable_tool_world,scalar_rnn,recurrent_controller,end_to_end_detachable_external_boundary,end_to_end_detachable_external_boundary,3,119.0,126.84,126.84,122.88,39.2,64.0,3.960000000000008,0.655,0.995,0.13906251897288327,1.0,3.4841142728566052,0.0,True,"-0.0751,1.9395,-0.6697,-0.7467,-4.0000,-0.1496"
detachable_tool_world,two_unit_rnn,recurrent_controller,end_to_end_detachable_external_boundary,end_to_end_detachable_external_boundary,4,124.60000000000001,125.72,125.72,122.88,39.2,64.0,2.8400000000000034,0.715,0.975,0.0,0.0,5.443179964894739,0.0,True,"0.0770,2.0140,-0.5901,-0.8530,-0.0024,0.2269,0.9465,1.3072,-3.9087,2.1277,-0.6636"
passive_world_boundary,sum_rnn,recurrent_controller,end_to_end_passive_external_boundary,end_to_end_passive_external_boundary,4,130.46666666666667,131.8,131.8,125.12,44.8,64.0,6.680000000000007,0.57,0.99,0.0,0.0,0.0,0.0,True,"-0.2045,-1.4946,-2.0389,-1.6642,-0.2688"
passive_world_boundary,scalar_rnn,recurrent_controller,end_to_end_passive_external_boundary,end_to_end_passive_external_boundary,0,113.04444444444444,129.08,129.08,125.12,44.8,64.0,3.960000000000008,0.605,0.985,0.0,0.0,0.0,0.0,True,"-0.0961,2.0176,-0.6278,-0.8892,-4.0000,-0.3621"
passive_world_boundary,two_unit_rnn,recurrent_controller,end_to_end_passive_external_boundary,end_to_end_passive_external_boundary,1,120.5111111111111,130.04,130.04,125.12,44.8,64.0,4.9199999999999875,0.675,0.985,0.45088909522123105,1.0,0.0,0.0,True,"0.1254,1.5639,0.7637,0.6983,-0.0827,1.8208,-0.6196,-0.6649,3.5999,-3.6797,-0.4828"
independent_hidden,sum_rnn,task_local_probe,end_to_end_local_probe,end_to_end_local_probe,0,63.144444444444446,63.0,63.0,127.64,51.1,64.0,-64.64,0.58,0.985,0.21376781373690204,1.0,0.0,0.0,True,"1.9374,-0.5550,-0.6953,-0.9117,-0.1690"
independent_hidden,scalar_rnn,task_local_probe,end_to_end_local_probe,end_to_end_local_probe,1,61.53333333333334,63.0,63.0,127.64,51.1,64.0,-64.64,0.67,0.84,0.01612883768058218,1.0,0.0,0.0,True,"-1.5994,-0.0409,0.0811,0.0238,1.8591,-3.3200"
independent_hidden,two_unit_rnn,task_local_probe,end_to_end_local_probe,end_to_end_local_probe,0,62.26666666666667,63.0,63.0,127.64,51.1,64.0,-64.64,0.685,0.86,0.0,0.0,0.0,0.0,True,"-1.5198,0.7308,0.0970,-0.2897,-1.8597,0.1769,-0.2203,0.2070,2.8085,2.1278,-1.6579"
irrelevant_control,sum_rnn,greedy_no_state,end_to_end_no_hidden_needed,end_to_end_no_hidden_needed,0,191.0,191.0,191.0,184.0,192.0,64.0,7.0,0.585,1.0,0.0,0.0,0.0,0.0,True,"1.5814,0.4301,0.7757,1.6027,0.8222"
irrelevant_control,scalar_rnn,greedy_no_state,end_to_end_no_hidden_needed,end_to_end_no_hidden_needed,0,189.4,191.0,191.0,184.0,192.0,64.0,7.0,0.665,0.875,0.010110190052118787,1.0,0.0,0.0,True,"1.6123,0.9395,-0.0185,-0.1814,3.9787,4.0000"
irrelevant_control,two_unit_rnn,greedy_no_state,end_to_end_no_hidden_needed,end_to_end_no_hidden_needed,3,190.64444444444447,191.0,191.0,184.0,192.0,64.0,7.0,0.705,0.81,0.38364312410196794,1.0,0.0,0.0,True,"1.7094,-0.3674,1.0250,0.1429,-1.4221,1.7856,0.3346,-0.3699,1.7060,-4.0000,4.0000"
