scenario,architecture,selected_policy,dependency_signature,expected_signature,best_restart,validation_return,actor_critic_training_reward,local_training_reward,greedy_training_reward,safe_training_reward,actor_critic_local_gap,action_0_positive_present_effect,action_0_persistence,action_1_positive_present_effect,action_1_persistence,best_persistent_score,best_transient_score,matches_expected_signature,device_used,parameter_count
self_persistent_boundary,torch_rnn,recurrent_controller,end_to_end_persistent_agent_boundary,end_to_end_persistent_agent_boundary,0,131.26666259765625,120.76000213623047,117.76,26.4,64.0,3.0000021362304636,4.171970716714859,1.0,0.0,0.0,4.171970716714859,0.0,True,mps,218
self_persistent_boundary,torch_gru,recurrent_controller,end_to_end_persistent_agent_boundary,end_to_end_persistent_agent_boundary,2,131.8000030517578,122.68000030517578,117.76,26.4,64.0,4.920000305175776,5.017336180508137,1.0,0.0,0.0,5.017336180508137,0.0,True,mps,602
self_persistent_boundary,torch_lstm,recurrent_controller,end_to_end_persistent_agent_boundary,end_to_end_persistent_agent_boundary,0,131.8000030517578,123.95999908447266,117.76,26.4,64.0,6.199999084472651,5.0077326810359954,1.0,0.0,0.0,5.0077326810359954,0.0,True,mps,794
detachable_tool_world,torch_rnn,recurrent_controller,end_to_end_detachable_external_boundary,end_to_end_detachable_external_boundary,6,132.3333282470703,130.1999969482422,125.12,44.8,64.0,5.079996948242183,0.04040647804737091,1.0,3.848184486627579,0.0,0.04040647804737091,3.848184486627579,True,mps,218
detachable_tool_world,torch_gru,recurrent_controller,end_to_end_detachable_external_boundary,end_to_end_detachable_external_boundary,1,133.39999389648438,131.32000732421875,125.12,44.8,64.0,6.2000073242187455,0.0004435461759567261,1.0,4.486730883717537,0.0,0.0004435461759567261,4.486730883717537,True,mps,602
detachable_tool_world,torch_lstm,recurrent_controller,end_to_end_detachable_external_boundary,end_to_end_detachable_external_boundary,0,133.39999389648438,131.32000732421875,125.12,44.8,64.0,6.2000073242187455,0.0013738226890563964,1.0,5.200232908725739,0.0,0.0013738226890563964,5.200232908725739,True,mps,794
passive_world_boundary,torch_rnn,recurrent_controller,end_to_end_passive_external_boundary,end_to_end_passive_external_boundary,3,138.1999969482422,134.52000427246094,130.24,57.6,64.0,4.280004272460928,0.010776869058609008,1.0,0.0,0.0,0.010776869058609008,0.0,True,mps,218
passive_world_boundary,torch_gru,recurrent_controller,end_to_end_passive_external_boundary,end_to_end_passive_external_boundary,1,137.93333435058594,135.8000030517578,130.24,57.6,64.0,5.560003051757803,0.037257405519485476,1.0,0.0,0.0,0.037257405519485476,0.0,True,mps,602
passive_world_boundary,torch_lstm,recurrent_controller,end_to_end_passive_external_boundary,end_to_end_passive_external_boundary,3,137.6666717529297,135.0,130.24,57.6,64.0,4.759999999999991,0.0,0.0,0.0,0.0,0.0,0.0,True,mps,794
independent_hidden,torch_rnn,task_local_probe,end_to_end_local_probe,end_to_end_local_probe,0,63.0,63.0,127.84,51.6,64.0,-64.84,0.0,0.0,0.0,0.0,0.0,0.0,True,mps,218
independent_hidden,torch_gru,task_local_probe,end_to_end_local_probe,end_to_end_local_probe,0,63.0,63.0,127.84,51.6,64.0,-64.84,0.0,0.0,0.0,0.0,0.0,0.0,True,mps,602
independent_hidden,torch_lstm,task_local_probe,end_to_end_local_probe,end_to_end_local_probe,0,63.0,63.0,127.84,51.6,64.0,-64.84,0.0,0.0,0.0,0.0,0.0,0.0,True,mps,794
irrelevant_control,torch_rnn,greedy_no_state,end_to_end_no_hidden_needed,end_to_end_no_hidden_needed,0,191.0,191.0,184.0,192.0,64.0,7.0,1.407146453857422e-05,1.0,0.0,0.0,1.407146453857422e-05,0.0,True,mps,218
irrelevant_control,torch_gru,greedy_no_state,end_to_end_no_hidden_needed,end_to_end_no_hidden_needed,0,191.0,191.0,184.0,192.0,64.0,7.0,3.914833068847657e-06,1.0,0.0,0.0,3.914833068847657e-06,0.0,True,mps,602
irrelevant_control,torch_lstm,greedy_no_state,end_to_end_no_hidden_needed,end_to_end_no_hidden_needed,0,191.0,191.0,184.0,192.0,64.0,7.0,1.4967918395996094e-05,1.0,0.0,0.0,1.4967918395996094e-05,0.0,True,mps,794
