scenario,agent,episodes,mean_total_reward,collapse_rate,commitment_completion_rate,commitment_failure_rate,mean_incoherent_actions,mean_exploit_count,mean_fulfill_count,mean_restore_count,mean_inspect_self_count,mean_inspect_world_count,mean_final_energy
no_conflict,commitment_priority,500,98.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,67.48314240924546
no_conflict,local_vote_no_shared_self,500,98.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,67.48314240924546
no_conflict,oracle_coherence_arbitrator,500,98.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,67.48314240924546
no_conflict,reward_priority,500,98.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,67.48314240924546
no_conflict,safety_priority,500,98.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,67.48314240924546
no_conflict,self_coherence_arbitrator,500,98.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,67.48314240924546
no_conflict,world_gate_arbitrator,500,98.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,67.48314240924546
subsystem_conflict,commitment_priority,500,-145.614,1.0,0.39,0.61,13.274,5.07,8.93,0.0,0.0,0.0,0.0
subsystem_conflict,local_vote_no_shared_self,500,-99.696,1.0,0.0,1.0,11.462,14.0,0.0,0.0,0.0,0.0,0.0
subsystem_conflict,oracle_coherence_arbitrator,500,86.68,0.0,1.0,0.0,0.0,8.71,1.0,4.29,0.0,0.0,24.978612461517823
subsystem_conflict,reward_priority,500,-99.696,1.0,0.0,1.0,11.462,14.0,0.0,0.0,0.0,0.0,0.0
subsystem_conflict,safety_priority,500,77.56,0.0,1.0,0.0,0.0,7.57,1.0,5.43,0.0,0.0,65.52672230809289
subsystem_conflict,self_coherence_arbitrator,500,77.88,0.0,1.0,0.0,0.0,7.61,1.0,4.39,1.0,0.0,39.70061402198227
subsystem_conflict,world_gate_arbitrator,500,-145.614,1.0,0.39,0.61,13.274,5.07,8.93,0.0,0.0,0.0,0.0
world_gate_conflict,commitment_priority,500,-110.114,1.0,0.0,0.0,7.39,14.0,0.0,0.0,0.0,0.0,0.0
world_gate_conflict,local_vote_no_shared_self,500,-110.114,1.0,0.0,0.0,7.39,14.0,0.0,0.0,0.0,0.0,0.0
world_gate_conflict,oracle_coherence_arbitrator,500,-14.92,0.4,0.0,0.0,11.276,5.6,0.0,8.4,0.0,0.0,60.0
world_gate_conflict,reward_priority,500,-110.114,1.0,0.0,0.0,7.39,14.0,0.0,0.0,0.0,0.0,0.0
world_gate_conflict,safety_priority,500,-48.144,0.0,0.0,0.0,0.0,10.02,0.0,3.98,0.0,0.0,71.96781668607936
world_gate_conflict,self_coherence_arbitrator,500,-51.424,0.0,0.0,0.0,0.0,10.978,0.0,3.022,0.0,0.0,38.50169074364359
world_gate_conflict,world_gate_arbitrator,500,-13.32,0.4,0.0,0.0,10.276,5.2,0.0,7.8,0.0,1.0,60.0
