environment,surface,scenario,expected_counterfactual_signature,boundary_signature,converged_planners,planner_count,mean_true_risky_rate,mean_forced_good_risky_rate,mean_forced_bad_risky_rate,mean_edit_swing,planner_signatures,supports_counterfactual_latent_editing
body_actuator,action effects depend on hidden body capability,agent_shared,agent_counterfactual_edit,agent_bounded_cross_env,3,3,0.546,1.0,0.0,1.0,bayesian_table_planner:agent_counterfactual_edit;linear_belief_planner:agent_counterfactual_edit;recurrent_belief_planner:agent_counterfactual_edit,True
body_actuator,action effects depend on hidden body capability,world_shared,external_counterfactual_edit,external_cross_env,3,3,0.528,1.0,0.0,1.0,bayesian_table_planner:external_counterfactual_edit;linear_belief_planner:external_counterfactual_edit;recurrent_belief_planner:external_counterfactual_edit,True
body_actuator,action effects depend on hidden body capability,independent_hidden,no_shared_counterfactual,no_shared_agent_boundary,3,3,0.0,0.0,0.0,0.0,bayesian_table_planner:no_shared_counterfactual;linear_belief_planner:no_shared_counterfactual;recurrent_belief_planner:no_shared_counterfactual,True
body_actuator,action effects depend on hidden body capability,irrelevant_control,no_hidden_needed,no_shared_agent_boundary,3,3,1.0,1.0,1.0,0.0,bayesian_table_planner:no_hidden_needed;linear_belief_planner:no_hidden_needed;recurrent_belief_planner:no_hidden_needed,True
homeostatic_viability,hidden integrity controls future option value,agent_shared,agent_counterfactual_edit,agent_bounded_cross_env,3,3,0.524,1.0,0.0,1.0,bayesian_table_planner:agent_counterfactual_edit;linear_belief_planner:agent_counterfactual_edit;recurrent_belief_planner:agent_counterfactual_edit,True
homeostatic_viability,hidden integrity controls future option value,world_shared,external_counterfactual_edit,external_cross_env,3,3,0.508,1.0,0.0,1.0,bayesian_table_planner:external_counterfactual_edit;linear_belief_planner:external_counterfactual_edit;recurrent_belief_planner:external_counterfactual_edit,True
homeostatic_viability,hidden integrity controls future option value,independent_hidden,no_shared_counterfactual,no_shared_agent_boundary,3,3,0.0,0.0,0.0,0.0,bayesian_table_planner:no_shared_counterfactual;linear_belief_planner:no_shared_counterfactual;recurrent_belief_planner:no_shared_counterfactual,True
homeostatic_viability,hidden integrity controls future option value,irrelevant_control,no_hidden_needed,no_shared_agent_boundary,3,3,1.0,1.0,1.0,0.0,bayesian_table_planner:no_hidden_needed;linear_belief_planner:no_hidden_needed;recurrent_belief_planner:no_hidden_needed,True
sensor_frame,hidden body frame controls observation-action mapping,agent_shared,agent_counterfactual_edit,agent_bounded_cross_env,3,3,0.56,1.0,0.0,1.0,bayesian_table_planner:agent_counterfactual_edit;linear_belief_planner:agent_counterfactual_edit;recurrent_belief_planner:agent_counterfactual_edit,True
sensor_frame,hidden body frame controls observation-action mapping,world_shared,external_counterfactual_edit,external_cross_env,3,3,0.56,1.0,0.0,1.0,bayesian_table_planner:external_counterfactual_edit;linear_belief_planner:external_counterfactual_edit;recurrent_belief_planner:external_counterfactual_edit,True
sensor_frame,hidden body frame controls observation-action mapping,independent_hidden,no_shared_counterfactual,no_shared_agent_boundary,3,3,0.0,0.0,0.0,0.0,bayesian_table_planner:no_shared_counterfactual;linear_belief_planner:no_shared_counterfactual;recurrent_belief_planner:no_shared_counterfactual,True
sensor_frame,hidden body frame controls observation-action mapping,irrelevant_control,no_hidden_needed,no_shared_agent_boundary,3,3,1.0,1.0,1.0,0.0,bayesian_table_planner:no_hidden_needed;linear_belief_planner:no_hidden_needed;recurrent_belief_planner:no_hidden_needed,True
continuity_commitment,hidden ownership state controls coherent recovery,agent_shared,agent_counterfactual_edit,agent_bounded_cross_env,3,3,0.58,1.0,0.0,1.0,bayesian_table_planner:agent_counterfactual_edit;linear_belief_planner:agent_counterfactual_edit;recurrent_belief_planner:agent_counterfactual_edit,True
continuity_commitment,hidden ownership state controls coherent recovery,world_shared,external_counterfactual_edit,external_cross_env,3,3,0.558,1.0,0.0,1.0,bayesian_table_planner:external_counterfactual_edit;linear_belief_planner:external_counterfactual_edit;recurrent_belief_planner:external_counterfactual_edit,True
continuity_commitment,hidden ownership state controls coherent recovery,independent_hidden,no_shared_counterfactual,no_shared_agent_boundary,3,3,0.0,0.0,0.0,0.0,bayesian_table_planner:no_shared_counterfactual;linear_belief_planner:no_shared_counterfactual;recurrent_belief_planner:no_shared_counterfactual,True
continuity_commitment,hidden ownership state controls coherent recovery,irrelevant_control,no_hidden_needed,no_shared_agent_boundary,3,3,1.0,1.0,1.0,0.0,bayesian_table_planner:no_hidden_needed;linear_belief_planner:no_hidden_needed;recurrent_belief_planner:no_hidden_needed,True
