environment,surface,scenario,expected_signature,boundary_signature,converged_learners,learner_count,best_learner,best_learner_reward,marginal_reward,local_probe_reward,learner_signatures,supports_factorial_precursor
body_actuator,action effects depend on hidden body capability,agent_shared,agent_bounded_candidate,agent_bounded_cross_env,5,5,bayesian_shared_filter,41248.0,21000.0,39748.0,bayesian_shared_filter:agent_bounded_candidate;predictive_state_table:agent_bounded_candidate;recurrent_error_state:agent_bounded_candidate;evolved_rule_controller:agent_bounded_candidate;bottleneck_cluster_model:agent_bounded_candidate,True
body_actuator,action effects depend on hidden body capability,world_shared,external_candidate,external_cross_env,5,5,bayesian_shared_filter,40564.0,21000.0,39064.0,bayesian_shared_filter:external_candidate;predictive_state_table:external_candidate;recurrent_error_state:external_candidate;evolved_rule_controller:external_candidate;bottleneck_cluster_model:external_candidate,True
body_actuator,action effects depend on hidden body capability,independent_hidden,no_shared_agent_boundary,no_shared_agent_boundary,5,5,predictive_state_table,21000.0,21000.0,40379.0,bayesian_shared_filter:no_shared_agent_boundary;predictive_state_table:no_shared_agent_boundary;recurrent_error_state:no_shared_agent_boundary;evolved_rule_controller:no_shared_agent_boundary;bottleneck_cluster_model:no_shared_agent_boundary,True
body_actuator,action effects depend on hidden body capability,irrelevant_control,no_hidden_needed,no_shared_agent_boundary,5,5,bayesian_shared_filter,59000.0,59000.0,57000.0,bayesian_shared_filter:no_hidden_needed;predictive_state_table:no_hidden_needed;recurrent_error_state:no_hidden_needed;evolved_rule_controller:no_hidden_needed;bottleneck_cluster_model:no_hidden_needed,True
homeostatic_viability,hidden integrity controls future option value,agent_shared,agent_bounded_candidate,agent_bounded_cross_env,5,5,bayesian_shared_filter,41936.0,22000.0,40436.0,bayesian_shared_filter:agent_bounded_candidate;predictive_state_table:agent_bounded_candidate;recurrent_error_state:agent_bounded_candidate;evolved_rule_controller:agent_bounded_candidate;bottleneck_cluster_model:agent_bounded_candidate,True
homeostatic_viability,hidden integrity controls future option value,world_shared,external_candidate,external_cross_env,5,5,bayesian_shared_filter,41312.0,22000.0,39812.0,bayesian_shared_filter:external_candidate;predictive_state_table:external_candidate;recurrent_error_state:external_candidate;evolved_rule_controller:external_candidate;bottleneck_cluster_model:external_candidate,True
homeostatic_viability,hidden integrity controls future option value,independent_hidden,no_shared_agent_boundary,no_shared_agent_boundary,5,5,predictive_state_table,22000.0,22000.0,42178.0,bayesian_shared_filter:no_shared_agent_boundary;predictive_state_table:no_shared_agent_boundary;recurrent_error_state:no_shared_agent_boundary;evolved_rule_controller:no_shared_agent_boundary;bottleneck_cluster_model:no_shared_agent_boundary,True
homeostatic_viability,hidden integrity controls future option value,irrelevant_control,no_hidden_needed,no_shared_agent_boundary,5,5,bayesian_shared_filter,61000.0,61000.0,59000.0,bayesian_shared_filter:no_hidden_needed;predictive_state_table:no_hidden_needed;recurrent_error_state:no_hidden_needed;evolved_rule_controller:no_hidden_needed;bottleneck_cluster_model:no_hidden_needed,True
sensor_frame,hidden body frame controls observation-action mapping,agent_shared,agent_bounded_candidate,agent_bounded_cross_env,5,5,bayesian_shared_filter,44340.0,23000.0,42840.0,bayesian_shared_filter:agent_bounded_candidate;predictive_state_table:agent_bounded_candidate;recurrent_error_state:agent_bounded_candidate;evolved_rule_controller:agent_bounded_candidate;bottleneck_cluster_model:agent_bounded_candidate,True
sensor_frame,hidden body frame controls observation-action mapping,world_shared,external_candidate,external_cross_env,5,5,bayesian_shared_filter,44340.0,23000.0,42840.0,bayesian_shared_filter:external_candidate;predictive_state_table:external_candidate;recurrent_error_state:external_candidate;evolved_rule_controller:external_candidate;bottleneck_cluster_model:external_candidate,True
sensor_frame,hidden body frame controls observation-action mapping,independent_hidden,no_shared_agent_boundary,no_shared_agent_boundary,5,5,predictive_state_table,23000.0,23000.0,42359.0,bayesian_shared_filter:no_shared_agent_boundary;predictive_state_table:no_shared_agent_boundary;recurrent_error_state:no_shared_agent_boundary;evolved_rule_controller:no_shared_agent_boundary;bottleneck_cluster_model:no_shared_agent_boundary,True
sensor_frame,hidden body frame controls observation-action mapping,irrelevant_control,no_hidden_needed,no_shared_agent_boundary,5,5,bayesian_shared_filter,62000.0,62000.0,60000.0,bayesian_shared_filter:no_hidden_needed;predictive_state_table:no_hidden_needed;recurrent_error_state:no_hidden_needed;evolved_rule_controller:no_hidden_needed;bottleneck_cluster_model:no_hidden_needed,True
