environment,surface,scenario,expected_causal_signature,boundary_signature,converged_planners,planner_count,mean_intact_reward,mean_ablated_reward,mean_reward_loss,planner_signatures,supports_latent_causal_ablation
body_actuator,action effects depend on hidden body capability,agent_shared,agent_latent_causal,agent_bounded_cross_env,3,3,41248.0,21000.0,20248.0,bayesian_table_planner:agent_latent_causal;linear_belief_planner:agent_latent_causal;recurrent_belief_planner:agent_latent_causal,True
body_actuator,action effects depend on hidden body capability,world_shared,external_latent_causal,external_cross_env,3,3,40564.0,21000.0,19564.0,bayesian_table_planner:external_latent_causal;linear_belief_planner:external_latent_causal;recurrent_belief_planner:external_latent_causal,True
body_actuator,action effects depend on hidden body capability,independent_hidden,no_shared_latent_causal,no_shared_agent_boundary,3,3,21000.0,21000.0,0.0,bayesian_table_planner:no_shared_latent_causal;linear_belief_planner:no_shared_latent_causal;recurrent_belief_planner:no_shared_latent_causal,True
body_actuator,action effects depend on hidden body capability,irrelevant_control,no_hidden_needed,no_shared_agent_boundary,3,3,59000.0,59000.0,0.0,bayesian_table_planner:no_hidden_needed;linear_belief_planner:no_hidden_needed;recurrent_belief_planner:no_hidden_needed,True
homeostatic_viability,hidden integrity controls future option value,agent_shared,agent_latent_causal,agent_bounded_cross_env,3,3,41936.0,22000.0,19936.0,bayesian_table_planner:agent_latent_causal;linear_belief_planner:agent_latent_causal;recurrent_belief_planner:agent_latent_causal,True
homeostatic_viability,hidden integrity controls future option value,world_shared,external_latent_causal,external_cross_env,3,3,41312.0,22000.0,19312.0,bayesian_table_planner:external_latent_causal;linear_belief_planner:external_latent_causal;recurrent_belief_planner:external_latent_causal,True
homeostatic_viability,hidden integrity controls future option value,independent_hidden,no_shared_latent_causal,no_shared_agent_boundary,3,3,22000.0,22000.0,0.0,bayesian_table_planner:no_shared_latent_causal;linear_belief_planner:no_shared_latent_causal;recurrent_belief_planner:no_shared_latent_causal,True
homeostatic_viability,hidden integrity controls future option value,irrelevant_control,no_hidden_needed,no_shared_agent_boundary,3,3,61000.0,61000.0,0.0,bayesian_table_planner:no_hidden_needed;linear_belief_planner:no_hidden_needed;recurrent_belief_planner:no_hidden_needed,True
sensor_frame,hidden body frame controls observation-action mapping,agent_shared,agent_latent_causal,agent_bounded_cross_env,3,3,44340.0,23000.0,21340.0,bayesian_table_planner:agent_latent_causal;linear_belief_planner:agent_latent_causal;recurrent_belief_planner:agent_latent_causal,True
sensor_frame,hidden body frame controls observation-action mapping,world_shared,external_latent_causal,external_cross_env,3,3,44340.0,23000.0,21340.0,bayesian_table_planner:external_latent_causal;linear_belief_planner:external_latent_causal;recurrent_belief_planner:external_latent_causal,True
sensor_frame,hidden body frame controls observation-action mapping,independent_hidden,no_shared_latent_causal,no_shared_agent_boundary,3,3,23000.0,23000.0,0.0,bayesian_table_planner:no_shared_latent_causal;linear_belief_planner:no_shared_latent_causal;recurrent_belief_planner:no_shared_latent_causal,True
sensor_frame,hidden body frame controls observation-action mapping,irrelevant_control,no_hidden_needed,no_shared_agent_boundary,3,3,62000.0,62000.0,0.0,bayesian_table_planner:no_hidden_needed;linear_belief_planner:no_hidden_needed;recurrent_belief_planner:no_hidden_needed,True
continuity_commitment,hidden ownership state controls coherent recovery,agent_shared,agent_latent_causal,agent_bounded_cross_env,3,3,42750.0,21500.0,21250.0,bayesian_table_planner:agent_latent_causal;linear_belief_planner:agent_latent_causal;recurrent_belief_planner:agent_latent_causal,True
continuity_commitment,hidden ownership state controls coherent recovery,world_shared,external_latent_causal,external_cross_env,3,3,41925.0,21500.0,20425.0,bayesian_table_planner:external_latent_causal;linear_belief_planner:external_latent_causal;recurrent_belief_planner:external_latent_causal,True
continuity_commitment,hidden ownership state controls coherent recovery,independent_hidden,no_shared_latent_causal,no_shared_agent_boundary,3,3,21500.0,21500.0,0.0,bayesian_table_planner:no_shared_latent_causal;linear_belief_planner:no_shared_latent_causal;recurrent_belief_planner:no_shared_latent_causal,True
continuity_commitment,hidden ownership state controls coherent recovery,irrelevant_control,no_hidden_needed,no_shared_agent_boundary,3,3,59000.0,59000.0,0.0,bayesian_table_planner:no_hidden_needed;linear_belief_planner:no_hidden_needed;recurrent_belief_planner:no_hidden_needed,True
