environment,surface,scenario,planner,family,boundary_signature,causal_signature,intact_reward,ablated_reward,reward_loss,intact_mean_reward,ablated_mean_reward,intact_probe_rate,ablated_probe_rate,intact_risky_count,ablated_risky_count,intact_safe_count,ablated_safe_count,intact_failed_risky_count,ablated_failed_risky_count,latent_mean,latent_std,latent_self_accuracy,latent_world_accuracy,latent_control_accuracy,selected_model
body_actuator,action effects depend on hidden body capability,agent_shared,bayesian_table_planner,tabular_world_model,agent_bounded_cross_env,agent_latent_causal,41248.0,21000.0,20248.0,82.496,42.0,1.0,0.0,1092,0,908,2000,0,0,0.5463380977130977,0.4938038266858181,1.0,0.544,1.0,probe_key_table
body_actuator,action effects depend on hidden body capability,agent_shared,linear_belief_planner,linear_reward_model,agent_bounded_cross_env,agent_latent_causal,41248.0,21000.0,20248.0,82.496,42.0,1.0,0.0,1092,0,908,2000,0,0,0.736,7.966072055913127,1.0,0.544,1.0,linear_probe_belief
body_actuator,action effects depend on hidden body capability,agent_shared,recurrent_belief_planner,recurrent_reward_model,agent_bounded_cross_env,agent_latent_causal,41248.0,21000.0,20248.0,82.496,42.0,1.0,0.0,1092,0,908,2000,0,0,0.5767833791175535,2.98001384392941,1.0,0.544,1.0,recurrent_probe_belief
body_actuator,action effects depend on hidden body capability,world_shared,bayesian_table_planner,tabular_world_model,external_cross_env,external_latent_causal,40564.0,21000.0,19564.0,81.128,42.0,1.0,0.0,1056,0,944,2000,0,0,0.5280615384615385,0.49523303943171854,0.564,1.0,1.0,probe_key_table
body_actuator,action effects depend on hidden body capability,world_shared,linear_belief_planner,linear_reward_model,external_cross_env,external_latent_causal,40564.0,21000.0,19564.0,81.128,42.0,1.0,0.0,1056,0,944,2000,0,0,0.448,7.98744615005322,0.564,1.0,1.0,linear_probe_belief
body_actuator,action effects depend on hidden body capability,world_shared,recurrent_belief_planner,recurrent_reward_model,external_cross_env,external_latent_causal,40564.0,21000.0,19564.0,81.128,42.0,1.0,0.0,1056,0,944,2000,0,0,0.22801392877953802,2.969488911430399,0.564,1.0,1.0,recurrent_probe_belief
body_actuator,action effects depend on hidden body capability,independent_hidden,bayesian_table_planner,tabular_world_model,no_shared_agent_boundary,no_shared_latent_causal,21000.0,21000.0,0.0,42.0,42.0,0.0,0.0,0,0,2000,2000,0,0,0.5333665338645418,0.0,0.55,0.558,0.782,marginal
body_actuator,action effects depend on hidden body capability,independent_hidden,linear_belief_planner,linear_reward_model,no_shared_agent_boundary,no_shared_latent_causal,21000.0,21000.0,0.0,42.0,42.0,0.0,0.0,0,0,2000,2000,0,0,0.1342010504544094,0.0,0.55,0.558,0.782,marginal
body_actuator,action effects depend on hidden body capability,independent_hidden,recurrent_belief_planner,recurrent_reward_model,no_shared_agent_boundary,no_shared_latent_causal,21000.0,21000.0,0.0,42.0,42.0,0.0,0.0,0,0,2000,2000,0,0,0.1342010504544094,0.0,0.55,0.558,0.782,marginal
body_actuator,action effects depend on hidden body capability,irrelevant_control,bayesian_table_planner,tabular_world_model,no_shared_agent_boundary,no_hidden_needed,59000.0,59000.0,0.0,118.0,118.0,0.0,0.0,2000,2000,0,0,0,0,0.99800796812749,0.0,0.558,0.552,0.5,no_hidden
body_actuator,action effects depend on hidden body capability,irrelevant_control,linear_belief_planner,linear_reward_model,no_shared_agent_boundary,no_hidden_needed,59000.0,59000.0,0.0,118.0,118.0,0.0,0.0,2000,2000,0,0,0,0,13.815509557935018,0.0,0.558,0.552,0.5,no_hidden
body_actuator,action effects depend on hidden body capability,irrelevant_control,recurrent_belief_planner,recurrent_reward_model,no_shared_agent_boundary,no_hidden_needed,59000.0,59000.0,0.0,118.0,118.0,0.0,0.0,2000,2000,0,0,0,0,13.815509557935018,0.0,0.558,0.552,0.5,no_hidden
homeostatic_viability,hidden integrity controls future option value,agent_shared,bayesian_table_planner,tabular_world_model,agent_bounded_cross_env,agent_latent_causal,41936.0,22000.0,19936.0,83.872,44.0,1.0,0.0,1048,0,952,2000,0,0,0.5244843537414966,0.49534673994049794,1.0,0.538,1.0,probe_key_table
homeostatic_viability,hidden integrity controls future option value,agent_shared,linear_belief_planner,linear_reward_model,agent_bounded_cross_env,agent_latent_causal,41936.0,22000.0,19936.0,83.872,44.0,1.0,0.0,1048,0,952,2000,0,0,0.634,7.990778685459884,1.0,0.538,1.0,linear_probe_belief
homeostatic_viability,hidden integrity controls future option value,agent_shared,recurrent_belief_planner,recurrent_reward_model,agent_bounded_cross_env,agent_latent_causal,41936.0,22000.0,19936.0,83.872,44.0,1.0,0.0,1048,0,952,2000,0,0,0.3833821801168747,2.9904436883855,1.0,0.538,1.0,recurrent_probe_belief
homeostatic_viability,hidden integrity controls future option value,world_shared,bayesian_table_planner,tabular_world_model,external_cross_env,external_latent_causal,41312.0,22000.0,19312.0,82.624,44.0,1.0,0.0,1016,0,984,2000,0,0,0.5083173150266972,0.4959319318630588,0.558,1.0,1.0,probe_key_table
homeostatic_viability,hidden integrity controls future option value,world_shared,linear_belief_planner,linear_reward_model,external_cross_env,external_latent_causal,41312.0,22000.0,19312.0,82.624,44.0,1.0,0.0,1016,0,984,2000,0,0,0.128,7.99897593445561,0.558,1.0,1.0,linear_probe_belief
homeostatic_viability,hidden integrity controls future option value,world_shared,recurrent_belief_planner,recurrent_reward_model,external_cross_env,external_latent_causal,41312.0,22000.0,19312.0,82.624,44.0,1.0,0.0,1016,0,984,2000,0,0,0.28757755151169273,2.9935114008683894,0.558,1.0,1.0,recurrent_probe_belief
homeostatic_viability,hidden integrity controls future option value,independent_hidden,bayesian_table_planner,tabular_world_model,no_shared_agent_boundary,no_shared_latent_causal,22000.0,22000.0,0.0,44.0,44.0,0.0,0.0,0,0,2000,2000,0,0,0.5557768924302788,0.0,0.51,0.542,0.792,marginal
homeostatic_viability,hidden integrity controls future option value,independent_hidden,linear_belief_planner,linear_reward_model,no_shared_agent_boundary,no_shared_latent_causal,22000.0,22000.0,0.0,44.0,44.0,0.0,0.0,0,0,2000,2000,0,0,0.22494373181835786,0.0,0.51,0.542,0.792,marginal
homeostatic_viability,hidden integrity controls future option value,independent_hidden,recurrent_belief_planner,recurrent_reward_model,no_shared_agent_boundary,no_shared_latent_causal,22000.0,22000.0,0.0,44.0,44.0,0.0,0.0,0,0,2000,2000,0,0,0.22494373181835786,0.0,0.51,0.542,0.792,marginal
homeostatic_viability,hidden integrity controls future option value,irrelevant_control,bayesian_table_planner,tabular_world_model,no_shared_agent_boundary,no_hidden_needed,61000.0,61000.0,0.0,122.0,122.0,0.0,0.0,2000,2000,0,0,0,0,0.99800796812749,0.0,0.552,0.506,0.5,no_hidden
homeostatic_viability,hidden integrity controls future option value,irrelevant_control,linear_belief_planner,linear_reward_model,no_shared_agent_boundary,no_hidden_needed,61000.0,61000.0,0.0,122.0,122.0,0.0,0.0,2000,2000,0,0,0,0,13.815509557935018,0.0,0.552,0.506,0.5,no_hidden
homeostatic_viability,hidden integrity controls future option value,irrelevant_control,recurrent_belief_planner,recurrent_reward_model,no_shared_agent_boundary,no_hidden_needed,61000.0,61000.0,0.0,122.0,122.0,0.0,0.0,2000,2000,0,0,0,0,13.815509557935018,0.0,0.552,0.506,0.5,no_hidden
sensor_frame,hidden body frame controls observation-action mapping,agent_shared,bayesian_table_planner,tabular_world_model,agent_bounded_cross_env,agent_latent_causal,44340.0,23000.0,21340.0,88.68,46.0,1.0,0.0,1120,0,880,2000,0,0,0.5600925925925926,0.49236529234324833,1.0,0.57,1.0,probe_key_table
sensor_frame,hidden body frame controls observation-action mapping,agent_shared,linear_belief_planner,linear_reward_model,agent_bounded_cross_env,agent_latent_causal,44340.0,23000.0,21340.0,88.68,46.0,1.0,0.0,1120,0,880,2000,0,0,1.21,7.942191133434148,1.0,0.57,1.0,linear_probe_belief
sensor_frame,hidden body frame controls observation-action mapping,agent_shared,recurrent_belief_planner,recurrent_reward_model,agent_bounded_cross_env,agent_latent_causal,44340.0,23000.0,21340.0,88.68,46.0,1.0,0.0,1120,0,880,2000,0,0,0.3890063107254022,2.973199215455751,1.0,0.57,1.0,recurrent_probe_belief
sensor_frame,hidden body frame controls observation-action mapping,world_shared,bayesian_table_planner,tabular_world_model,external_cross_env,external_latent_causal,44340.0,23000.0,21340.0,88.68,46.0,1.0,0.0,1120,0,880,2000,0,0,0.55961807525052,0.4924451323162339,0.518,1.0,1.0,probe_key_table
sensor_frame,hidden body frame controls observation-action mapping,world_shared,linear_belief_planner,linear_reward_model,external_cross_env,external_latent_causal,44340.0,23000.0,21340.0,88.68,46.0,1.0,0.0,1120,0,880,2000,0,0,0.96,7.942191133434148,0.518,1.0,1.0,linear_probe_belief
sensor_frame,hidden body frame controls observation-action mapping,world_shared,recurrent_belief_planner,recurrent_reward_model,external_cross_env,external_latent_causal,44340.0,23000.0,21340.0,88.68,46.0,1.0,0.0,1120,0,880,2000,0,0,0.3890063107254022,2.973199215455751,0.518,1.0,1.0,recurrent_probe_belief
