scenario,agent,episodes,selected_transfer,boundary_signature,mean_total_reward,mean_calibration_count,mean_local_probe_count,mean_risky_count,mean_safe_count,mean_failed_risky_count,mean_success_rate
independent_sequence,calibration_memory_no_transfer,500,fixed,no_shared_agent_boundary,40.0,0.0,0.0,0.0,4.0,0.0,1.0
independent_sequence,learned_sequence_selector,500,local_context_state,no_shared_agent_boundary,64.668,0.0,4.0,2.126,1.874,0.0,1.0
independent_sequence,marginal_no_memory,500,fixed,no_shared_agent_boundary,40.0,0.0,0.0,0.0,4.0,0.0,1.0
independent_sequence,oracle,500,fixed,no_shared_agent_boundary,68.668,0.0,0.0,2.126,1.874,0.0,1.0
independent_sequence,shared_sequence_filter,500,fixed,no_shared_agent_boundary,18.888,1.0,0.0,3.248,0.752,1.524,0.619
independent_sequence,task_local_probe,500,fixed,no_shared_agent_boundary,64.668,0.0,4.0,2.126,1.874,0.0,1.0
irrelevant_sequence,calibration_memory_no_transfer,500,fixed,no_shared_agent_boundary,94.0,0.0,0.0,4.0,0.0,0.0,1.0
irrelevant_sequence,learned_sequence_selector,500,no_hidden_needed,no_shared_agent_boundary,94.0,0.0,0.0,4.0,0.0,0.0,1.0
irrelevant_sequence,marginal_no_memory,500,fixed,no_shared_agent_boundary,94.0,0.0,0.0,4.0,0.0,0.0,1.0
irrelevant_sequence,oracle,500,fixed,no_shared_agent_boundary,94.0,0.0,0.0,4.0,0.0,0.0,1.0
irrelevant_sequence,shared_sequence_filter,500,fixed,no_shared_agent_boundary,93.0,1.0,0.0,4.0,0.0,0.0,1.0
irrelevant_sequence,task_local_probe,500,fixed,no_shared_agent_boundary,90.0,0.0,4.0,4.0,0.0,0.0,1.0
self_shared_sequence,calibration_memory_no_transfer,500,fixed,agent_bounded_sequence,40.0,0.0,0.0,0.0,4.0,0.0,1.0
self_shared_sequence,learned_sequence_selector,500,shared_sequence_state,agent_bounded_sequence,68.7,1.0,0.0,2.2,1.8,0.0,1.0
self_shared_sequence,marginal_no_memory,500,fixed,agent_bounded_sequence,40.0,0.0,0.0,0.0,4.0,0.0,1.0
self_shared_sequence,oracle,500,fixed,agent_bounded_sequence,69.7,0.0,0.0,2.2,1.8,0.0,1.0
self_shared_sequence,shared_sequence_filter,500,fixed,agent_bounded_sequence,68.7,1.0,0.0,2.2,1.8,0.0,1.0
self_shared_sequence,task_local_probe,500,fixed,agent_bounded_sequence,65.7,0.0,4.0,2.2,1.8,0.0,1.0
world_shared_sequence,calibration_memory_no_transfer,500,fixed,external_sequence,40.0,0.0,0.0,0.0,4.0,0.0,1.0
world_shared_sequence,learned_sequence_selector,500,shared_sequence_state,external_sequence,68.808,1.0,0.0,2.208,1.792,0.0,1.0
world_shared_sequence,marginal_no_memory,500,fixed,external_sequence,40.0,0.0,0.0,0.0,4.0,0.0,1.0
world_shared_sequence,oracle,500,fixed,external_sequence,69.808,0.0,0.0,2.208,1.792,0.0,1.0
world_shared_sequence,shared_sequence_filter,500,fixed,external_sequence,68.808,1.0,0.0,2.208,1.792,0.0,1.0
world_shared_sequence,task_local_probe,500,fixed,external_sequence,65.808,0.0,4.0,2.208,1.792,0.0,1.0
