loop_id,tick,phase,avatar_position_sample,movement_command,proximity_event,conversation_turn,market_event,ritual_prompt,memory_update,sensory_packet,persistence_event,loop_note
loop_1,1,seed,pos_1,move_1_north,prox_1_sa63,conv_ka60_1,market_ka60,ritual_ka60,mem_1_ka60,sense_1,persist_1_save,"browser tick binds movement, perception, proximity, action surface, memory, and replay trace"
loop_3,3,vesica,pos_3,move_3_east,prox_3_lo62,conv_ka60_1,market_ka60,ritual_ka60,mem_1_ka60,sense_3,persist_1_save,"browser tick binds movement, perception, proximity, action surface, memory, and replay trace"
loop_5,5,triad,pos_5,move_5_wait,prox_5_lo62,conv_ka60_1,market_ka60,ritual_ka60,mem_3_lo62,sense_5,persist_1_save,"browser tick binds movement, perception, proximity, action surface, memory, and replay trace"
loop_7,7,square,pos_7,move_7_west,prox_7_sa63,conv_ka60_1,market_ka60,ritual_ka60,mem_4_sa63,sense_7,persist_1_save,"browser tick binds movement, perception, proximity, action surface, memory, and replay trace"
loop_9,9,pentad,pos_9,move_9_north,prox_9_sa63,conv_ka60_1,market_ka60,ritual_ka60,mem_4_sa63,sense_9,persist_1_save,"browser tick binds movement, perception, proximity, action surface, memory, and replay trace"
loop_11,11,hexad,pos_11,move_11_listen,prox_11_sa63,conv_ka60_1,market_ka60,ritual_ka60,mem_5_ni64,sense_11,persist_1_save,"browser tick binds movement, perception, proximity, action surface, memory, and replay trace"
loop_13,13,flower,pos_12,move_12_approach,prox_12_lo62,conv_ka60_1,market_ka60,ritual_ka60,mem_6_ka60,sense_12,persist_1_save,"browser tick binds movement, perception, proximity, action surface, memory, and replay trace"
loop_15,15,fruit,pos_12,move_12_approach,prox_12_lo62,conv_ka60_1,market_ka60,ritual_ka60,mem_8_lo62,sense_12,persist_1_save,"browser tick binds movement, perception, proximity, action surface, memory, and replay trace"
loop_17,17,return,pos_12,move_12_approach,prox_12_lo62,conv_ka60_1,market_ka60,ritual_ka60,mem_10_ni64,sense_12,persist_1_save,"browser tick binds movement, perception, proximity, action surface, memory, and replay trace"
loop_19,19,seed,pos_12,move_12_approach,prox_12_lo62,conv_ka60_1,market_ka60,ritual_ka60,mem_10_ni64,sense_12,persist_1_save,"browser tick binds movement, perception, proximity, action surface, memory, and replay trace"
loop_21,21,vesica,pos_12,move_12_approach,prox_12_lo62,conv_ka60_2,market_ka60,ritual_ka60,mem_10_ni64,sense_12,persist_1_save,"browser tick binds movement, perception, proximity, action surface, memory, and replay trace"
loop_23,23,triad,pos_12,move_12_approach,prox_12_lo62,conv_mu61_1,market_ka60,ritual_ka60,mem_10_ni64,sense_12,persist_1_save,"browser tick binds movement, perception, proximity, action surface, memory, and replay trace"
loop_25,25,square,pos_12,move_12_approach,prox_12_lo62,conv_mu61_3,market_ka60,ritual_ka60,mem_10_ni64,sense_12,persist_1_save,"browser tick binds movement, perception, proximity, action surface, memory, and replay trace"
loop_27,27,pentad,pos_12,move_12_approach,prox_12_lo62,conv_lo62_2,market_ka60,ritual_ka60,mem_10_ni64,sense_12,persist_1_save,"browser tick binds movement, perception, proximity, action surface, memory, and replay trace"
loop_29,29,hexad,pos_12,move_12_approach,prox_12_lo62,conv_sa63_1,market_ka60,ritual_ka60,mem_10_ni64,sense_12,persist_1_save,"browser tick binds movement, perception, proximity, action surface, memory, and replay trace"
