report,module,verdict,metric,value
236,ssrm_3d_browser_playable_avatar_entry_prototype_bridge,pass,avatar_entry_gate_integrity,1.0
236,ssrm_3d_browser_playable_avatar_entry_prototype_bridge,pass,entry_action_surface_coverage,0.875
236,ssrm_3d_browser_playable_avatar_entry_prototype_bridge,pass,controllable_movement_command_coverage,1.0
236,ssrm_3d_browser_playable_avatar_entry_prototype_bridge,pass,movement_bounds_respected,1.0
236,ssrm_3d_browser_playable_avatar_entry_prototype_bridge,pass,movement_body_cost_binding,1.0
236,ssrm_3d_browser_playable_avatar_entry_prototype_bridge,pass,proximity_agent_binding,1.0
236,ssrm_3d_browser_playable_avatar_entry_prototype_bridge,pass,post_entry_conversation_coverage,1.0
236,ssrm_3d_browser_playable_avatar_entry_prototype_bridge,pass,post_entry_conversation_quality,0.89
236,ssrm_3d_browser_playable_avatar_entry_prototype_bridge,pass,conversation_private_boundary,1.0
236,ssrm_3d_browser_playable_avatar_entry_prototype_bridge,pass,household_market_participation,1.0
236,ssrm_3d_browser_playable_avatar_entry_prototype_bridge,pass,market_fairness,0.896
236,ssrm_3d_browser_playable_avatar_entry_prototype_bridge,pass,market_memory_binding,1.0
236,ssrm_3d_browser_playable_avatar_entry_prototype_bridge,pass,ritual_consent_integrity,1.0
236,ssrm_3d_browser_playable_avatar_entry_prototype_bridge,pass,ritual_body_boundary_binding,1.0
236,ssrm_3d_browser_playable_avatar_entry_prototype_bridge,pass,persistent_memory_write_rate,1.0
236,ssrm_3d_browser_playable_avatar_entry_prototype_bridge,pass,memory_causality_binding,1.0
236,ssrm_3d_browser_playable_avatar_entry_prototype_bridge,pass,sensory_body_feedback_coverage,1.0
236,ssrm_3d_browser_playable_avatar_entry_prototype_bridge,pass,sensory_modality_binding,1.0
236,ssrm_3d_browser_playable_avatar_entry_prototype_bridge,pass,body_state_cost_binding,1.0
236,ssrm_3d_browser_playable_avatar_entry_prototype_bridge,pass,save_restore_replay_integrity,1.0
236,ssrm_3d_browser_playable_avatar_entry_prototype_bridge,pass,browser_loop_trace_integrity,1.0
236,ssrm_3d_browser_playable_avatar_entry_prototype_bridge,pass,frequency_flower_entry_rhythm,1.0
236,ssrm_3d_browser_playable_avatar_entry_prototype_bridge,pass,source_sandbox_bridge_continuity,1.0
236,ssrm_3d_browser_playable_avatar_entry_prototype_bridge,pass,browser_playable_surface_available,1.0
236,ssrm_3d_browser_playable_avatar_entry_prototype_bridge,pass,mean_avatar_entry_channel_score,0.985875
236,ssrm_3d_browser_playable_avatar_entry_prototype_bridge,pass,weakest_channel_score,0.875
236,ssrm_3d_browser_playable_avatar_entry_prototype_bridge,pass,browser_playable_avatar_entry_readiness,0.985585
