tick,day,lineage,agent,energy,fatigue,hunger,thirst,cold,wetness,pain,comfort,dominant_need,recovery_action,behavior_marker,need_to_behavior_binding
1,1,Hearthline,Sova,0.724856,0.258858,0.23,0.212858,0.0,0.143049,0.05,0.763288,fatigue,rest_recover or shorten route,slower gait and lower voice,True
2,1,Routeline,Keth,0.744804,0.278897,0.24,0.227897,0.0,0.149453,0.06,0.756517,fatigue,rest_recover or shorten route,slower gait and lower voice,True
3,1,Marketline,Melo,0.778861,0.280854,0.25,0.242854,0.0,0.14234,0.05,0.76021,fatigue,rest_recover or shorten route,slower gait and lower voice,True
4,1,Ledgerline,Nari,0.784764,0.258927,0.26,0.257927,0.0,0.154469,0.06,0.7614,hunger,share_resource or market meal,checks food ledger before work,True
5,1,Orchardline,Ori,0.840558,0.227081,0.245,0.273081,0.0,0.1802,0.032,0.783295,thirst,water pause or care round,looks toward cup shelf,True
6,1,Rainline,Vonn,0.822715,0.300464,0.28,0.289464,0.0,0.410649,0.066,0.749855,fatigue,rest_recover or shorten route,slower gait and lower voice,True
7,1,Hearthline,Sova,0.723445,0.259916,0.24,0.225916,0.0,0.176327,0.05,0.760086,fatigue,rest_recover or shorten route,slower gait and lower voice,True
8,1,Routeline,Keth,0.743188,0.280109,0.25,0.241109,0.0,0.202003,0.06,0.75323,fatigue,rest_recover or shorten route,slower gait and lower voice,True
9,1,Marketline,Melo,0.76321,0.300093,0.26,0.256093,0.0,0.206417,0.05,0.750489,fatigue,rest_recover or shorten route,slower gait and lower voice,True
10,1,Ledgerline,Nari,0.783111,0.260167,0.27,0.271167,0.0,0.206716,0.06,0.758098,thirst,water pause or care round,looks toward cup shelf,True
11,1,Orchardline,Ori,0.824924,0.246307,0.255,0.286307,0.0,0.204258,0.032,0.773581,thirst,water pause or care round,looks toward cup shelf,True
12,1,Rainline,Vonn,0.819063,0.303203,0.29,0.304203,0.0,0.456526,0.066,0.745728,thirst,water pause or care round,looks toward cup shelf,True
13,1,Hearthline,Sova,0.707702,0.279224,0.25,0.239224,0.0,0.217932,0.05,0.750327,fatigue,rest_recover or shorten route,slower gait and lower voice,True
