tick,day,lineage,agent,avatar_memory_carried,autonomous_memory_written,trust_carry,boundary_pressure_carry,reputation_carry,schedule_carry,memory_referenced_without_avatar_prompt,private_workspace_sealed
1,1,Hearthline,Sova,post-entry avatar consequences are active but no autonomous carry yet,day 1 Sova did work_project while avatar was absent_saved; trust=0.62; boundary=0.30,0.62,0.3,0.55,morning:work_project,True,True
2,1,Routeline,Keth,post-entry avatar consequences are active but no autonomous carry yet,day 1 Keth did work_project while avatar was absent_saved; trust=0.64; boundary=0.31,0.64,0.312,0.57,morning:work_project,True,True
3,1,Marketline,Melo,post-entry avatar consequences are active but no autonomous carry yet,day 1 Melo did agent_checkin while avatar was idle_nearby; trust=0.67; boundary=0.32,0.666,0.324,0.59,morning:agent_checkin,True,True
4,1,Ledgerline,Nari,post-entry avatar consequences are active but no autonomous carry yet,day 1 Nari did maintain_tool while avatar was present_passive; trust=0.68; boundary=0.34,0.68,0.336,0.61,morning:maintain_tool,False,True
5,1,Orchardline,Ori,post-entry avatar consequences are active but no autonomous carry yet,day 1 Ori did share_resource while avatar was absent_saved; trust=0.71; boundary=0.35,0.706,0.348,0.63,midday:share_resource,True,True
6,1,Rainline,Vonn,post-entry avatar consequences are active but no autonomous carry yet,day 1 Vonn did maintain_tool while avatar was present_passive; trust=0.72; boundary=0.36,0.72,0.363,0.65,midday:maintain_tool,False,True
7,1,Hearthline,Sova,day 1 Sova did work_project while avatar was absent_saved; trust=0.62; boundary=0.30,day 1 Sova did boundary_review while avatar was idle_nearby; trust=0.62; boundary=0.30,0.616,0.296,0.55,midday:boundary_review,True,True
8,1,Routeline,Keth,day 1 Keth did work_project while avatar was absent_saved; trust=0.64; boundary=0.31,day 1 Keth did boundary_review while avatar was absent_saved; trust=0.64; boundary=0.31,0.636,0.308,0.57,midday:boundary_review,True,True
9,1,Marketline,Melo,day 1 Melo did agent_checkin while avatar was idle_nearby; trust=0.67; boundary=0.32,day 1 Melo did weather_watch while avatar was absent_saved; trust=0.67; boundary=0.32,0.666,0.324,0.59,midday:weather_watch,True,True
10,1,Ledgerline,Nari,day 1 Nari did maintain_tool while avatar was present_passive; trust=0.68; boundary=0.34,day 1 Nari did archive_update while avatar was idle_nearby; trust=0.68; boundary=0.34,0.68,0.336,0.615,evening:archive_update,True,True
