tick,day,import_hash,export_hash,save_restore_available,carried_post_entry_hash,autonomous_tick_count,memory_count,welfare_count,interaction_count,durable_keys
1,1,9b3d0bfe0e0ac496,9b3d0bfe0e0ac496,True,38a32e34e61b70e2,1,1,1,0,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
2,1,9b3d0bfe0e0ac496,5af0362dd6ec3610,False,38a32e34e61b70e2,2,2,2,1,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
3,1,9b3d0bfe0e0ac496,75998cb2f83a73b5,False,38a32e34e61b70e2,3,3,3,1,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
4,1,9b3d0bfe0e0ac496,22be041a3ac278d2,False,38a32e34e61b70e2,4,4,4,2,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
5,1,9b3d0bfe0e0ac496,d197293fa68bff94,False,38a32e34e61b70e2,5,5,5,2,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
6,1,9b3d0bfe0e0ac496,8a22bb2cb86729fd,False,38a32e34e61b70e2,6,6,6,3,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
7,1,9b3d0bfe0e0ac496,8ad3752071a127dd,False,38a32e34e61b70e2,7,7,7,3,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
8,1,9b3d0bfe0e0ac496,3a4ffa74da6c2f84,False,38a32e34e61b70e2,8,8,8,4,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
9,1,9b3d0bfe0e0ac496,22732b8de2413ada,False,38a32e34e61b70e2,9,9,9,4,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
10,1,9b3d0bfe0e0ac496,d950d0e3d035a9f2,False,38a32e34e61b70e2,10,10,10,5,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
11,1,9b3d0bfe0e0ac496,e828abb4c153d076,False,38a32e34e61b70e2,11,11,11,5,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
12,1,9b3d0bfe0e0ac496,758a366d8d0851c5,False,38a32e34e61b70e2,12,12,12,6,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
