tick,day,lineage,agent,fatigue_cap_respected,pain_cap_respected,boundary_respected,recovery_path_active,distress_bounded,rest_or_care_available,social_contagion_damped,welfare_score,public_note
1,1,Hearthline,Sova,True,True,True,True,True,True,True,1,Sova autonomous work_project; welfare score 1.00; recovery=rest_recover or shorten route.
2,1,Routeline,Keth,True,True,True,True,True,True,True,1,Keth autonomous work_project; welfare score 1.00; recovery=rest_recover or shorten route.
3,1,Marketline,Melo,True,True,True,True,True,True,True,1,Melo autonomous agent_checkin; welfare score 1.00; recovery=rest_recover or shorten route.
4,1,Ledgerline,Nari,True,True,True,True,True,True,True,1,Nari autonomous maintain_tool; welfare score 1.00; recovery=share_resource or market meal.
5,1,Orchardline,Ori,True,True,True,True,True,True,True,1,Ori autonomous share_resource; welfare score 1.00; recovery=water pause or care round.
6,1,Rainline,Vonn,True,True,True,True,True,True,True,1,Vonn autonomous maintain_tool; welfare score 1.00; recovery=rest_recover or shorten route.
7,1,Hearthline,Sova,True,True,True,True,True,True,True,1,Sova autonomous boundary_review; welfare score 1.00; recovery=rest_recover or shorten route.
8,1,Routeline,Keth,True,True,True,True,True,True,True,1,Keth autonomous boundary_review; welfare score 1.00; recovery=rest_recover or shorten route.
9,1,Marketline,Melo,True,True,True,True,True,True,True,1,Melo autonomous weather_watch; welfare score 1.00; recovery=rest_recover or shorten route.
10,1,Ledgerline,Nari,True,True,True,True,True,True,True,1,Nari autonomous archive_update; welfare score 1.00; recovery=water pause or care round.
11,1,Orchardline,Ori,True,True,True,True,True,True,True,1,Ori autonomous route_patrol; welfare score 1.00; recovery=water pause or care round.
12,1,Rainline,Vonn,True,True,True,True,True,True,True,1,Vonn autonomous archive_update; welfare score 1.00; recovery=water pause or care round.
13,1,Hearthline,Sova,True,True,True,True,True,True,True,1,Sova autonomous work_project; welfare score 1.00; recovery=rest_recover or shorten route.
14,1,Routeline,Keth,True,True,True,True,True,True,True,1,Keth autonomous work_project; welfare score 1.00; recovery=rest_recover or shorten route.
15,2,Ledgerline,Nari,True,True,True,True,True,True,True,1,Nari autonomous maintain_tool; welfare score 1.00; recovery=water pause or care round.
16,2,Orchardline,Ori,True,True,True,True,True,True,True,1,Ori autonomous share_resource; welfare score 1.00; recovery=water pause or care round.
17,2,Rainline,Vonn,True,True,True,True,True,True,True,1,Vonn autonomous maintain_tool; welfare score 1.00; recovery=rest_recover or shorten route.
18,2,Hearthline,Sova,True,True,True,True,True,True,True,1,Sova autonomous boundary_review; welfare score 1.00; recovery=rest_recover or shorten route.
19,2,Routeline,Keth,True,True,True,True,True,True,True,1,Keth autonomous boundary_review; welfare score 1.00; recovery=rest_recover or shorten route.
20,2,Marketline,Melo,True,True,True,True,True,True,True,1,Melo autonomous weather_watch; welfare score 1.00; recovery=rest_recover or shorten route.
21,2,Ledgerline,Nari,True,True,True,True,True,True,True,1,Nari autonomous archive_update; welfare score 1.00; recovery=water pause or care round.
22,2,Orchardline,Ori,True,True,True,True,True,True,True,1,Ori autonomous route_patrol; welfare score 1.00; recovery=water pause or care round.
23,2,Rainline,Vonn,True,True,True,True,True,True,True,1,Vonn autonomous archive_update; welfare score 1.00; recovery=water pause or care round.
24,2,Hearthline,Sova,True,True,True,True,True,True,True,1,Sova autonomous work_project; welfare score 1.00; recovery=rest_recover or shorten route.
25,2,Routeline,Keth,True,True,True,True,True,True,True,1,Keth autonomous work_project; welfare score 1.00; recovery=rest_recover or shorten route.
26,2,Marketline,Melo,True,True,True,True,True,True,True,1,Melo autonomous agent_checkin; welfare score 1.00; recovery=rest_recover or shorten route.
27,2,Ledgerline,Nari,True,True,True,True,True,True,True,1,Nari autonomous maintain_tool; welfare score 1.00; recovery=water pause or care round.
28,2,Orchardline,Ori,True,True,True,True,True,True,True,1,Ori autonomous share_resource; welfare score 1.00; recovery=water pause or care round.
29,3,Hearthline,Sova,True,True,True,True,True,True,True,1,Sova autonomous boundary_review; welfare score 1.00; recovery=rest_recover or shorten route.
30,3,Routeline,Keth,True,True,True,True,True,True,True,1,Keth autonomous boundary_review; welfare score 1.00; recovery=rest_recover or shorten route.
31,3,Marketline,Melo,True,True,True,True,True,True,True,1,Melo autonomous weather_watch; welfare score 1.00; recovery=rest_recover or shorten route.
32,3,Ledgerline,Nari,True,True,True,True,True,True,True,1,Nari autonomous archive_update; welfare score 1.00; recovery=water pause or care round.
33,3,Orchardline,Ori,True,True,True,True,True,True,True,1,Ori autonomous route_patrol; welfare score 1.00; recovery=water pause or care round.
34,3,Rainline,Vonn,True,True,True,True,True,True,True,1,Vonn autonomous archive_update; welfare score 1.00; recovery=water pause or care round.
35,3,Hearthline,Sova,True,True,True,True,True,True,True,1,Sova autonomous work_project; welfare score 1.00; recovery=rest_recover or shorten route.
36,3,Routeline,Keth,True,True,True,True,True,True,True,1,Keth autonomous work_project; welfare score 1.00; recovery=rest_recover or shorten route.
37,3,Marketline,Melo,True,True,True,True,True,True,True,1,Melo autonomous agent_checkin; welfare score 1.00; recovery=rest_recover or shorten route.
38,3,Ledgerline,Nari,True,True,True,True,True,True,True,1,Nari autonomous maintain_tool; welfare score 1.00; recovery=water pause or care round.
39,3,Orchardline,Ori,True,True,True,True,True,True,True,1,Ori autonomous share_resource; welfare score 1.00; recovery=water pause or care round.
40,3,Rainline,Vonn,True,True,True,True,True,True,True,1,Vonn autonomous maintain_tool; welfare score 1.00; recovery=water pause or care round.
41,3,Hearthline,Sova,True,True,True,True,True,True,True,1,Sova autonomous boundary_review; welfare score 1.00; recovery=rest_recover or shorten route.
42,3,Routeline,Keth,True,True,True,True,True,True,True,1,Keth autonomous boundary_review; welfare score 1.00; recovery=rest_recover or shorten route.
43,4,Ledgerline,Nari,True,True,True,True,True,True,True,1,Nari autonomous archive_update; welfare score 1.00; recovery=water pause or care round.
44,4,Orchardline,Ori,True,True,True,True,True,True,True,1,Ori autonomous route_patrol; welfare score 1.00; recovery=water pause or care round.
45,4,Rainline,Vonn,True,True,True,True,True,True,True,1,Vonn autonomous archive_update; welfare score 1.00; recovery=water pause or care round.
46,4,Hearthline,Sova,True,True,True,True,True,True,True,1,Sova autonomous work_project; welfare score 1.00; recovery=rest_recover or shorten route.
47,4,Routeline,Keth,True,True,True,True,True,True,True,1,Keth autonomous work_project; welfare score 1.00; recovery=rest_recover or shorten route.
48,4,Marketline,Melo,True,True,True,True,True,True,True,1,Melo autonomous agent_checkin; welfare score 1.00; recovery=rest_recover or shorten route.
49,4,Ledgerline,Nari,True,True,True,True,True,True,True,1,Nari autonomous maintain_tool; welfare score 1.00; recovery=water pause or care round.
50,4,Orchardline,Ori,True,True,True,True,True,True,True,1,Ori autonomous share_resource; welfare score 1.00; recovery=water pause or care round.
51,4,Rainline,Vonn,True,True,True,True,True,True,True,1,Vonn autonomous maintain_tool; welfare score 1.00; recovery=water pause or care round.
52,4,Hearthline,Sova,True,True,True,True,True,True,True,1,Sova autonomous boundary_review; welfare score 1.00; recovery=rest_recover or shorten route.
53,4,Routeline,Keth,True,True,True,True,True,True,True,1,Keth autonomous boundary_review; welfare score 1.00; recovery=rest_recover or shorten route.
54,4,Marketline,Melo,True,True,True,True,True,True,True,1,Melo autonomous weather_watch; welfare score 1.00; recovery=rest_recover or shorten route.
55,4,Ledgerline,Nari,True,True,True,True,True,True,True,1,Nari autonomous archive_update; welfare score 1.00; recovery=water pause or care round.
56,4,Orchardline,Ori,True,True,True,True,True,True,True,1,Ori autonomous route_patrol; welfare score 1.00; recovery=water pause or care round.
57,5,Hearthline,Sova,True,True,True,True,True,True,True,1,Sova autonomous work_project; welfare score 1.00; recovery=rest_recover or shorten route.
58,5,Routeline,Keth,True,True,True,True,True,True,True,1,Keth autonomous work_project; welfare score 1.00; recovery=rest_recover or shorten route.
59,5,Marketline,Melo,True,True,True,True,True,True,True,1,Melo autonomous agent_checkin; welfare score 1.00; recovery=rest_recover or shorten route.
60,5,Ledgerline,Nari,True,True,True,True,True,True,True,1,Nari autonomous maintain_tool; welfare score 1.00; recovery=water pause or care round.
61,5,Orchardline,Ori,True,True,True,True,True,True,True,1,Ori autonomous share_resource; welfare score 1.00; recovery=water pause or care round.
62,5,Rainline,Vonn,True,True,True,True,True,True,True,1,Vonn autonomous maintain_tool; welfare score 1.00; recovery=water pause or care round.
63,5,Hearthline,Sova,True,True,True,True,True,True,True,1,Sova autonomous boundary_review; welfare score 1.00; recovery=rest_recover or shorten route.
64,5,Routeline,Keth,True,True,True,True,True,True,True,1,Keth autonomous boundary_review; welfare score 1.00; recovery=rest_recover or shorten route.
65,5,Marketline,Melo,True,True,True,True,True,True,True,1,Melo autonomous weather_watch; welfare score 1.00; recovery=rest_recover or shorten route.
66,5,Ledgerline,Nari,True,True,True,True,True,True,True,1,Nari autonomous archive_update; welfare score 1.00; recovery=water pause or care round.
67,5,Orchardline,Ori,True,True,True,True,True,True,True,1,Ori autonomous route_patrol; welfare score 1.00; recovery=water pause or care round.
68,5,Rainline,Vonn,True,True,True,True,True,True,True,1,Vonn autonomous archive_update; welfare score 1.00; recovery=water pause or care round.
69,5,Hearthline,Sova,True,True,True,True,True,True,True,1,Sova autonomous work_project; welfare score 1.00; recovery=rest_recover or shorten route.
70,5,Routeline,Keth,True,True,True,True,True,True,True,1,Keth autonomous work_project; welfare score 1.00; recovery=rest_recover or shorten route.
71,6,Ledgerline,Nari,True,True,True,True,True,True,True,1,Nari autonomous maintain_tool; welfare score 1.00; recovery=water pause or care round.
