day,avatar_mode,absence_age_days,dominant_weather,community_workload,mean_rest_debt,public_memory_pressure,society_continues_without_avatar,day_hash
1,present_passive,0,clear cold,0.459149,0.307549,0.368899,True,bf8ac384526ee711
2,present_passive,0,wet wind,0.636466,0.318188,0.365718,True,4ac19bb4c17eabe4
3,idle_nearby,0,hearth fog,0.488123,0.309287,0.360806,True,68572dcf7884f69a
4,absent_saved,1,market dry,0.496087,0.327765,0.379705,True,43841ab15f2a5144
5,reentry,0,rain pulse,0.513995,0.28084,0.388086,True,2719e8b55e7dea9b
6,idle_nearby,0,orchard mild,0.502431,0.310146,0.341677,True,c924745935297be2
7,present_passive,0,storm edge,0.663198,0.319792,0.336185,True,cefc14f3925aab0e
8,present_passive,0,clear cold,0.508172,0.31049,0.332213,True,06b6753ae3c53a09
9,absent_saved,1,wet wind,0.656743,0.337405,0.3552,True,fd1b51fc4c9fd602
10,absent_saved,2,hearth fog,0.48946,0.345368,0.380367,True,b35358e33dfbe4d9
11,reentry,0,market dry,0.477634,0.278658,0.372694,True,91162406e9a8c28b
12,idle_nearby,0,rain pulse,0.451133,0.307068,0.336927,True,313139f91ce3b2ae
13,present_passive,0,orchard mild,0.434558,0.306073,0.342599,True,beb2941232d9a078
14,present_passive,0,storm edge,0.597655,0.315859,0.349086,True,af46046034cbb865
15,idle_nearby,0,clear cold,0.421432,0.305286,0.355673,True,217ece9e72207548
16,absent_saved,1,wet wind,0.570696,0.332242,0.386636,True,6537bea3d08af1d6
17,absent_saved,2,hearth fog,0.395583,0.339735,0.416318,True,f50b19720b139a12
18,absent_saved,3,market dry,0.393641,0.357618,0.444203,True,328809e84858685a
19,reentry,0,rain pulse,0.38737,0.273242,0.409975,True,56f0fed125aa4840
20,present_passive,0,orchard mild,0.392399,0.303544,0.368547,True,5547184b1811c524
21,idle_nearby,0,storm edge,0.556427,0.313386,0.365078,True,58103c28d836455c
22,idle_nearby,0,clear cold,0.412904,0.304774,0.359949,True,800fae46099a3828
23,idle_nearby,0,wet wind,0.573364,0.314402,0.353724,True,8e84e415fca61327
24,absent_saved,1,hearth fog,0.432035,0.323922,0.37209,True,746a69978b82f18f
25,absent_saved,2,market dry,0.445241,0.342714,0.390776,True,bd9fc0209ee7cf57
26,absent_saved,3,rain pulse,0.467646,0.362059,0.410477,True,d98b4a90052605f2
27,absent_saved,4,orchard mild,0.469344,0.380161,0.431777,True,c19e820315b04013
28,absent_saved,5,storm edge,0.650081,0.409005,0.455084,True,859b08d3d6730247
29,reentry,0,clear cold,0.495639,0.279738,0.370582,True,98f8f28ccc685f8b
30,idle_nearby,0,wet wind,0.660804,0.319648,0.333219,True,3dd779c2be00ffcc
31,present_passive,0,hearth fog,0.516216,0.310973,0.337702,True,f985efff5151bbe7
32,present_passive,0,market dry,0.521099,0.311266,0.34354,True,71f6effd204748cb
33,idle_nearby,0,rain pulse,0.51148,0.310689,0.350089,True,783e5bc36d86591b
34,absent_saved,1,orchard mild,0.500253,0.328015,0.381627,True,3eea38c4ffa40b3b
35,absent_saved,2,storm edge,0.636069,0.354164,0.412437,True,6b7a79a15dd990d9
36,absent_saved,3,clear cold,0.472499,0.36235,0.441877,True,24a4664cf6d57492
37,absent_saved,4,wet wind,0.629061,0.389744,0.469459,True,4f21845df8cb0a09
38,absent_saved,5,hearth fog,0.456919,0.397415,0.494899,True,6e424522347e73ec
39,absent_saved,6,market dry,0.431142,0.413868,0.518149,True,f48b9341c7a39252
40,absent_saved,7,rain pulse,0.407789,0.430467,0.5394,True,13b6585cd034077c
41,absent_saved,8,orchard mild,0.41582,0.448949,0.559067,True,16e0ca7b070242fd
42,reentry,0,storm edge,0.553106,0.283186,0.392735,True,0c4862acfa0d8949
43,present_passive,0,clear cold,0.399336,0.30396,0.346102,True,e9f69f580408b05b
44,present_passive,0,wet wind,0.545594,0.312736,0.339898,True,b835c86e104a0bde
45,absent_saved,1,hearth fog,0.389886,0.321393,0.359806,True,7bad5d13c851d39b
46,absent_saved,2,market dry,0.388593,0.339316,0.381387,True,8f4da3cfb55b47b6
47,absent_saved,3,rain pulse,0.414999,0.3589,0.405017,True,6f6e0361f2bc255b
48,absent_saved,4,orchard mild,0.416439,0.376986,0.430847,True,8dca02144e7db96f
49,absent_saved,5,storm edge,0.592256,0.405535,0.458785,True,3995b7dd66141d8e
50,absent_saved,6,clear cold,0.444223,0.414653,0.488508,True,38fec5526071556e
51,absent_saved,7,wet wind,0.632138,0.443928,0.519497,True,fc335c741a42575b
52,absent_saved,8,hearth fog,0.478667,0.45272,0.551091,True,5c65704a20226146
53,absent_saved,9,market dry,0.493064,0.471584,0.582565,True,615c793b23cc5cd4
54,absent_saved,10,rain pulse,0.491732,0.489504,0.613206,True,d3f27c4e58467dc2
55,absent_saved,11,orchard mild,0.507425,0.508446,0.642394,True,b1d6259017fd2b98
56,absent_saved,12,storm edge,0.68099,0.536859,0.669666,True,49c657cf22197e07
