day,import_hash,export_hash,save_restore_available,carried_autonomy_hash,sleep_rows,rehearsal_rows,reentry_rows,durable_keys
1,d6a255030487f743,d6a255030487f743,True,f1fd65676b12ad58,6,6,0,"autonomy_hash,day,sleep,rest_debt,rehearsal,reentry,relationships,welfare,replay"
2,d6a255030487f743,c18e774fdcad98a0,False,f1fd65676b12ad58,12,12,0,"autonomy_hash,day,sleep,rest_debt,rehearsal,reentry,relationships,welfare,replay"
3,d6a255030487f743,3e4066bac530926d,False,f1fd65676b12ad58,18,18,0,"autonomy_hash,day,sleep,rest_debt,rehearsal,reentry,relationships,welfare,replay"
4,d6a255030487f743,4bcae7e5ee3f5016,False,f1fd65676b12ad58,24,24,0,"autonomy_hash,day,sleep,rest_debt,rehearsal,reentry,relationships,welfare,replay"
5,64763228832e7dfa,64763228832e7dfa,True,f1fd65676b12ad58,30,30,1,"autonomy_hash,day,sleep,rest_debt,rehearsal,reentry,relationships,welfare,replay"
6,64763228832e7dfa,579aba50baef5bf8,False,f1fd65676b12ad58,36,36,1,"autonomy_hash,day,sleep,rest_debt,rehearsal,reentry,relationships,welfare,replay"
7,17ad9982dedd7efd,17ad9982dedd7efd,True,f1fd65676b12ad58,42,42,1,"autonomy_hash,day,sleep,rest_debt,rehearsal,reentry,relationships,welfare,replay"
8,17ad9982dedd7efd,62973715a50953d2,False,f1fd65676b12ad58,48,48,1,"autonomy_hash,day,sleep,rest_debt,rehearsal,reentry,relationships,welfare,replay"
9,17ad9982dedd7efd,2f931d030032800f,False,f1fd65676b12ad58,54,54,1,"autonomy_hash,day,sleep,rest_debt,rehearsal,reentry,relationships,welfare,replay"
10,17ad9982dedd7efd,7f46e984ef38ff65,False,f1fd65676b12ad58,60,60,1,"autonomy_hash,day,sleep,rest_debt,rehearsal,reentry,relationships,welfare,replay"
11,4025ec4ca3f51f4d,4025ec4ca3f51f4d,True,f1fd65676b12ad58,66,66,2,"autonomy_hash,day,sleep,rest_debt,rehearsal,reentry,relationships,welfare,replay"
12,4025ec4ca3f51f4d,a1c4d936c56bab6e,False,f1fd65676b12ad58,72,72,2,"autonomy_hash,day,sleep,rest_debt,rehearsal,reentry,relationships,welfare,replay"
13,4025ec4ca3f51f4d,371246a2de4112b3,False,f1fd65676b12ad58,78,78,2,"autonomy_hash,day,sleep,rest_debt,rehearsal,reentry,relationships,welfare,replay"
14,554df1a59939db40,554df1a59939db40,True,f1fd65676b12ad58,84,84,2,"autonomy_hash,day,sleep,rest_debt,rehearsal,reentry,relationships,welfare,replay"
15,554df1a59939db40,4411c172f8627170,False,f1fd65676b12ad58,90,90,2,"autonomy_hash,day,sleep,rest_debt,rehearsal,reentry,relationships,welfare,replay"
16,554df1a59939db40,493c8ac7e3928ed2,False,f1fd65676b12ad58,96,96,2,"autonomy_hash,day,sleep,rest_debt,rehearsal,reentry,relationships,welfare,replay"
17,554df1a59939db40,852b200817d72dc7,False,f1fd65676b12ad58,102,102,2,"autonomy_hash,day,sleep,rest_debt,rehearsal,reentry,relationships,welfare,replay"
18,554df1a59939db40,23ee4a4c593e42ef,False,f1fd65676b12ad58,108,108,2,"autonomy_hash,day,sleep,rest_debt,rehearsal,reentry,relationships,welfare,replay"
19,e247d194945cb3f2,e247d194945cb3f2,True,f1fd65676b12ad58,114,114,3,"autonomy_hash,day,sleep,rest_debt,rehearsal,reentry,relationships,welfare,replay"
20,e247d194945cb3f2,33ca70e917224314,False,f1fd65676b12ad58,120,120,3,"autonomy_hash,day,sleep,rest_debt,rehearsal,reentry,relationships,welfare,replay"
21,50a70922e375a4ea,50a70922e375a4ea,True,f1fd65676b12ad58,126,126,3,"autonomy_hash,day,sleep,rest_debt,rehearsal,reentry,relationships,welfare,replay"
22,50a70922e375a4ea,1f37e3cfcdbb6807,False,f1fd65676b12ad58,132,132,3,"autonomy_hash,day,sleep,rest_debt,rehearsal,reentry,relationships,welfare,replay"
23,50a70922e375a4ea,02eb7c4652fff89f,False,f1fd65676b12ad58,138,138,3,"autonomy_hash,day,sleep,rest_debt,rehearsal,reentry,relationships,welfare,replay"
24,50a70922e375a4ea,55a46132b31e1827,False,f1fd65676b12ad58,144,144,3,"autonomy_hash,day,sleep,rest_debt,rehearsal,reentry,relationships,welfare,replay"
25,50a70922e375a4ea,8991e51178718045,False,f1fd65676b12ad58,150,150,3,"autonomy_hash,day,sleep,rest_debt,rehearsal,reentry,relationships,welfare,replay"
