seed,choice_id,actor,decision,reason,source_recovery_id,source_pulse_id,source_recovery_status,refusal_bounded,trust_delta,progress_delta,permanent_penalty,recovery_path
36217,36217-SHC-01,Milo,bounded_refusal_until_recovery,unrecovered stochastic harm is still pending,36217-SR-01,36217-SP-01,pending,True,-0.003,-0.002,False,acknowledge help and share credit
36217,36217-SHC-02,Sera,accept_recovery_informed_help,past stochastic harm was recovered and can support trust,36217-SR-02,36217-SP-02,resolved,False,0.008,0.01,False,acknowledge help and share credit
36217,36217-SHC-03,Milo,accept_recovery_informed_help,past stochastic harm was recovered and can support trust,36217-SR-03,36217-SP-03,resolved,False,0.008,0.01,False,acknowledge help and share credit
36217,36217-SHC-04,Tovan,accept_recovery_informed_help,past stochastic harm was recovered and can support trust,36217-SR-04,36217-SP-04,resolved,False,0.008,0.01,False,acknowledge help and share credit
36217,36217-SHC-05,Ari,accept_recovery_informed_help,past stochastic harm was recovered and can support trust,36217-SR-05,36217-SP-05,resolved,False,0.008,0.01,False,share found material with pending work
36217,36217-SHC-06,Ari,bounded_refusal_until_recovery,unrecovered stochastic harm is still pending,36217-SR-06,36217-SP-06,pending,True,-0.003,-0.002,False,patch leak and rest near dry place
36217,36217-SHC-07,Fay,accept_recovery_informed_help,past stochastic harm was recovered and can support trust,36217-SR-07,36217-SP-07,resolved,False,0.008,0.01,False,mediate disagreement and name source boundary
36217,36217-SHC-08,Milo,cautious_help_with_limits,"history stabilized without materials, so help stays cautious",36217-SR-08,36217-SP-08,stabilized without materials,False,0.002,0.004,False,acknowledge help and share credit
36231,36231-SHC-01,Tovan,bounded_refusal_until_recovery,unrecovered stochastic harm is still pending,36231-SR-01,36231-SP-01,pending,True,-0.003,-0.002,False,protect quiet rest and resume slowly
36231,36231-SHC-02,Fay,accept_recovery_informed_help,past stochastic harm was recovered and can support trust,36231-SR-02,36231-SP-02,resolved,False,0.008,0.01,False,share found material with pending work
36231,36231-SHC-03,Milo,accept_recovery_informed_help,past stochastic harm was recovered and can support trust,36231-SR-03,36231-SP-03,resolved,False,0.008,0.01,False,acknowledge help and share credit
36231,36231-SHC-04,Milo,accept_recovery_informed_help,past stochastic harm was recovered and can support trust,36231-SR-04,36231-SP-04,resolved,False,0.008,0.01,False,re-tie tool lashing and return focus
36231,36231-SHC-05,Ari,accept_recovery_informed_help,past stochastic harm was recovered and can support trust,36231-SR-05,36231-SP-05,resolved,False,0.008,0.01,False,re-tie tool lashing and return focus
36231,36231-SHC-06,Tovan,bounded_refusal_until_recovery,unrecovered stochastic harm is still pending,36231-SR-06,36231-SP-06,pending,True,-0.003,-0.002,False,re-tie tool lashing and return focus
36231,36231-SHC-07,Sera,accept_recovery_informed_help,past stochastic harm was recovered and can support trust,36231-SR-07,36231-SP-07,resolved,False,0.008,0.01,False,re-tie tool lashing and return focus
36231,36231-SHC-08,Fay,cautious_help_with_limits,"history stabilized without materials, so help stays cautious",36231-SR-08,36231-SP-08,stabilized without materials,False,0.002,0.004,False,re-tie tool lashing and return focus
36247,36247-SHC-01,Milo,bounded_refusal_until_recovery,unrecovered stochastic harm is still pending,36247-SR-01,36247-SP-01,pending,True,-0.003,-0.002,False,mediate disagreement and name source boundary
36247,36247-SHC-02,Fay,accept_recovery_informed_help,past stochastic harm was recovered and can support trust,36247-SR-02,36247-SP-02,resolved,False,0.008,0.01,False,acknowledge help and share credit
36247,36247-SHC-03,Fay,accept_recovery_informed_help,past stochastic harm was recovered and can support trust,36247-SR-03,36247-SP-03,resolved,False,0.008,0.01,False,re-tie tool lashing and return focus
36247,36247-SHC-04,Ari,accept_recovery_informed_help,past stochastic harm was recovered and can support trust,36247-SR-04,36247-SP-04,resolved,False,0.008,0.01,False,patch leak and rest near dry place
36247,36247-SHC-05,Fay,accept_recovery_informed_help,past stochastic harm was recovered and can support trust,36247-SR-05,36247-SP-05,resolved,False,0.008,0.01,False,patch leak and rest near dry place
