seed,proposal_id,era,era_day,generation,resident,source_belief_id,source_label,question,materials,proposal_source,predeclared_device,avatar_answer
36217,36217-PROP-00-4047,week_01,7,0,Ari,36217-BEL-000,herb-jump,turn a repeated sign into a usable bench rule,clay_jar+iron_sand,resident_generated_from_belief_state,False,False
36217,36217-PROP-01-1026,moon_02,42,1,Milo,36217-BEL-001,herb-jump/half-sign,turn a repeated sign into a usable bench rule,ash_glass+reed_fiber,resident_generated_from_belief_state,False,False
36217,36217-PROP-02-6830,season_01,120,2,Sera,36217-BEL-002,handspan bite/dry-jump,turn a repeated sign into a usable bench rule,reed_fiber+wet_wood,resident_generated_from_belief_state,False,False
36217,36217-PROP-03-4805,year_01,365,3,Sera,36217-BEL-003,dry-jump/smoke-bound,find a safer boundary before repeating the sign,reed_fiber+red_scrap,resident_generated_from_belief_state,False,False
36217,36217-PROP-04-8057,year_03,1095,4,Milo,36217-BEL-004,smoke-bound/quiet-doubt,find a safer boundary before repeating the sign,clay_jar+dry_resin,resident_generated_from_belief_state,False,False
36217,36217-PROP-05-8391,generation_02,9125,5,Sera,36217-BEL-005,quiet-doubt/fiber-rise,find a safer boundary before repeating the sign,clay_jar+ash_glass,resident_generated_from_belief_state,False,False
36217,36217-PROP-06-3679,generation_04,18250,6,Milo,36217-BEL-006,fiber-rise/bench-tool-anger,find a safer boundary before repeating the sign,reed_fiber+ash_glass,resident_generated_from_belief_state,False,False
36231,36231-PROP-00-5854,week_01,7,0,Nia,36231-BEL-000,cold spark,find a safer boundary before repeating the sign,dry_resin+clay_jar,resident_generated_from_belief_state,False,False
36231,36231-PROP-01-6822,moon_02,42,1,Fay,36231-BEL-001,cold spark/fiber-rise,find a safer boundary before repeating the sign,wet_wood+red_scrap,resident_generated_from_belief_state,False,False
36231,36231-PROP-02-5029,season_01,120,2,Fay,36231-BEL-002,quiet sting/quiet-doubt,find a safer boundary before repeating the sign,red_scrap+ash_glass,resident_generated_from_belief_state,False,False
36231,36231-PROP-03-4762,year_01,365,3,Tovan,36231-BEL-003,jar omen/missing-repeat,find a safer boundary before repeating the sign,clay_jar+iron_sand,resident_generated_from_belief_state,False,False
