seed,row_id,row_type,source_belief_id,source_era,hidden_law_exposed
36217,36217-SCH-01,schedule_rewrite,36217-BEL-004,year_01,False
36217,36217-SCH-02,schedule_rewrite,36217-BEL-005,year_03,False
36217,36217-SCH-03,schedule_rewrite,36217-BEL-006,generation_02,False
36217,36217-SCH-04,schedule_rewrite,36217-BEL-007,generation_04,False
36217,36217-TRD-01,trade_route,36217-PROP-04-8057,year_03,False
36217,36217-TRD-02,trade_route,36217-PROP-05-8391,generation_02,False
36217,36217-TRD-03,trade_route,36217-PROP-06-3679,generation_04,False
36231,36231-SCH-01,schedule_rewrite,36231-BEL-004,year_01,False
36231,36231-SCH-02,schedule_rewrite,36231-BEL-005,year_03,False
36231,36231-SCH-03,schedule_rewrite,36231-BEL-006,generation_02,False
36231,36231-SCH-04,schedule_rewrite,36231-BEL-007,generation_04,False
36231,36231-TRD-01,trade_route,36231-PROP-00-5854,week_01,False
36231,36231-TRD-02,trade_route,36231-PROP-04-2573,year_03,False
36231,36231-TRD-03,trade_route,36231-PROP-05-7822,generation_02,False
36247,36247-SCH-01,schedule_rewrite,36247-BEL-004,year_01,False
36247,36247-SCH-02,schedule_rewrite,36247-BEL-005,year_03,False
36247,36247-SCH-03,schedule_rewrite,36247-BEL-006,generation_02,False
36247,36247-SCH-04,schedule_rewrite,36247-BEL-007,generation_04,False
36247,36247-TRD-01,trade_route,36247-PROP-02-5063,season_01,False
36247,36247-TRD-02,trade_route,36247-PROP-05-2108,generation_02,False
36247,36247-TRD-03,trade_route,36247-PROP-06-9223,generation_04,False
36263,36263-SCH-01,schedule_rewrite,36263-BEL-004,year_01,False
36263,36263-SCH-02,schedule_rewrite,36263-BEL-005,year_03,False
36263,36263-SCH-03,schedule_rewrite,36263-BEL-006,generation_02,False
36263,36263-SCH-04,schedule_rewrite,36263-BEL-007,generation_04,False
36263,36263-TRD-01,trade_route,36263-PROP-01-6303,moon_02,False
36263,36263-TRD-02,trade_route,36263-PROP-02-8528,season_01,False
36263,36263-TRD-03,trade_route,36263-PROP-04-6374,year_03,False
36281,36281-SCH-01,schedule_rewrite,36281-BEL-004,year_01,False
36281,36281-SCH-02,schedule_rewrite,36281-BEL-005,year_03,False
36281,36281-SCH-03,schedule_rewrite,36281-BEL-006,generation_02,False
36281,36281-SCH-04,schedule_rewrite,36281-BEL-007,generation_04,False
36281,36281-TRD-01,trade_route,36281-PROP-04-1067,year_03,False
36281,36281-TRD-02,trade_route,36281-PROP-05-9290,generation_02,False
36281,36281-TRD-03,trade_route,36281-PROP-06-8509,generation_04,False
36307,36307-SCH-01,schedule_rewrite,36307-BEL-004,year_01,False
36307,36307-SCH-02,schedule_rewrite,36307-BEL-005,year_03,False
36307,36307-SCH-03,schedule_rewrite,36307-BEL-006,generation_02,False
36307,36307-SCH-04,schedule_rewrite,36307-BEL-007,generation_04,False
36307,36307-TRD-01,trade_route,36307-PROP-01-5399,moon_02,False
36307,36307-TRD-02,trade_route,36307-PROP-05-3745,generation_02,False
36307,36307-TRD-03,trade_route,36307-PROP-06-1839,generation_04,False
36319,36319-SCH-01,schedule_rewrite,36319-BEL-004,year_01,False
36319,36319-SCH-02,schedule_rewrite,36319-BEL-005,year_03,False
36319,36319-SCH-03,schedule_rewrite,36319-BEL-006,generation_02,False
36319,36319-SCH-04,schedule_rewrite,36319-BEL-007,generation_04,False
36319,36319-TRD-01,trade_route,36319-PROP-02-4549,season_01,False
36319,36319-TRD-02,trade_route,36319-PROP-03-1154,year_01,False
36319,36319-TRD-03,trade_route,36319-PROP-06-9521,generation_04,False
36343,36343-SCH-01,schedule_rewrite,36343-BEL-004,year_01,False
36343,36343-SCH-02,schedule_rewrite,36343-BEL-005,year_03,False
36343,36343-SCH-03,schedule_rewrite,36343-BEL-006,generation_02,False
36343,36343-SCH-04,schedule_rewrite,36343-BEL-007,generation_04,False
36343,36343-TRD-01,trade_route,36343-PROP-04-5757,year_03,False
36343,36343-TRD-02,trade_route,36343-PROP-05-8809,generation_02,False
36343,36343-TRD-03,trade_route,36343-PROP-06-3292,generation_04,False
