metric,value
lineage_to_schedule_binding,1.0
lineage_to_apprenticeship_binding,1.0
lineage_to_trade_route_binding,1.0
lineage_to_safety_custom_binding,1.0
ordinary_affordance_pressure_binding,1.0
same_law_divergent_civilization_pressure,1.0
source_trace_integrity,1.0
no_predeclared_device_tree,1.0
archived_failure_affects_safety,1.0
browser_shell_state_wired,1.0
browser_shell_not_panel_only,1.0
browser_index_wired,1.0
seed_count,8
schedule_rewrite_count,32
apprenticeship_count,15
trade_route_count,24
safety_custom_count,23
ordinary_choice_count,32
outcome_diversity,5
criterion_count,17
readiness,1.0
weakest_channel_score,1.0
