seed,route_id,resident,source_proposal_id,materials,trade_shift,stock_before,stock_after,ordinary_resource_surface,predeclared_device
36217,36217-TRD-01,Sera,36217-PROP-04-8057,clay_jar+dry_resin,more_clay_jar,"{""ash_glass"": 3, ""clay_jar"": 3, ""dry_resin"": 5, ""iron_sand"": 2, ""red_scrap"": 4, ""reed_fiber"": 2, ""wet_wood"": 4}","{""ash_glass"": 3, ""clay_jar"": 4, ""dry_resin"": 4, ""iron_sand"": 2, ""red_scrap"": 4, ""reed_fiber"": 2, ""wet_wood"": 4}",True,False
36217,36217-TRD-02,Tovan,36217-PROP-05-8391,clay_jar+ash_glass,avoid_ash_glass,"{""ash_glass"": 3, ""clay_jar"": 4, ""dry_resin"": 4, ""iron_sand"": 2, ""red_scrap"": 4, ""reed_fiber"": 2, ""wet_wood"": 4}","{""ash_glass"": 1, ""clay_jar"": 3, ""dry_resin"": 4, ""iron_sand"": 2, ""red_scrap"": 4, ""reed_fiber"": 2, ""wet_wood"": 4}",True,False
36217,36217-TRD-03,Nia,36217-PROP-06-3679,reed_fiber+ash_glass,more_reed_fiber,"{""ash_glass"": 1, ""clay_jar"": 3, ""dry_resin"": 4, ""iron_sand"": 2, ""red_scrap"": 4, ""reed_fiber"": 2, ""wet_wood"": 4}","{""ash_glass"": 0, ""clay_jar"": 3, ""dry_resin"": 4, ""iron_sand"": 2, ""red_scrap"": 4, ""reed_fiber"": 3, ""wet_wood"": 4}",True,False
36231,36231-TRD-01,Nia,36231-PROP-00-5854,dry_resin+clay_jar,more_dry_resin,"{""ash_glass"": 3, ""clay_jar"": 4, ""dry_resin"": 5, ""iron_sand"": 3, ""red_scrap"": 4, ""reed_fiber"": 5, ""wet_wood"": 6}","{""ash_glass"": 3, ""clay_jar"": 3, ""dry_resin"": 5, ""iron_sand"": 3, ""red_scrap"": 4, ""reed_fiber"": 5, ""wet_wood"": 6}",True,False
36231,36231-TRD-02,Ari,36231-PROP-04-2573,wet_wood+iron_sand,more_wet_wood,"{""ash_glass"": 2, ""clay_jar"": 2, ""dry_resin"": 5, ""iron_sand"": 2, ""red_scrap"": 2, ""reed_fiber"": 5, ""wet_wood"": 5}","{""ash_glass"": 2, ""clay_jar"": 2, ""dry_resin"": 5, ""iron_sand"": 1, ""red_scrap"": 2, ""reed_fiber"": 5, ""wet_wood"": 6}",True,False
36231,36231-TRD-03,Fay,36231-PROP-05-7822,ash_glass+clay_jar,avoid_clay_jar,"{""ash_glass"": 2, ""clay_jar"": 2, ""dry_resin"": 5, ""iron_sand"": 1, ""red_scrap"": 2, ""reed_fiber"": 5, ""wet_wood"": 6}","{""ash_glass"": 1, ""clay_jar"": 0, ""dry_resin"": 5, ""iron_sand"": 1, ""red_scrap"": 2, ""reed_fiber"": 5, ""wet_wood"": 6}",True,False
36247,36247-TRD-01,Sera,36247-PROP-02-5063,dry_resin+reed_fiber,avoid_reed_fiber,"{""ash_glass"": 2, ""clay_jar"": 4, ""dry_resin"": 3, ""iron_sand"": 3, ""red_scrap"": 4, ""reed_fiber"": 5, ""wet_wood"": 5}","{""ash_glass"": 2, ""clay_jar"": 4, ""dry_resin"": 2, ""iron_sand"": 3, ""red_scrap"": 4, ""reed_fiber"": 3, ""wet_wood"": 5}",True,False
36247,36247-TRD-02,Tovan,36247-PROP-05-2108,dry_resin+ash_glass,more_dry_resin,"{""ash_glass"": 2, ""clay_jar"": 2, ""dry_resin"": 2, ""iron_sand"": 3, ""red_scrap"": 4, ""reed_fiber"": 3, ""wet_wood"": 3}","{""ash_glass"": 1, ""clay_jar"": 2, ""dry_resin"": 3, ""iron_sand"": 3, ""red_scrap"": 4, ""reed_fiber"": 3, ""wet_wood"": 3}",True,False
36247,36247-TRD-03,Nia,36247-PROP-06-9223,dry_resin+ash_glass,more_dry_resin,"{""ash_glass"": 1, ""clay_jar"": 2, ""dry_resin"": 3, ""iron_sand"": 3, ""red_scrap"": 4, ""reed_fiber"": 3, ""wet_wood"": 3}","{""ash_glass"": 0, ""clay_jar"": 2, ""dry_resin"": 4, ""iron_sand"": 3, ""red_scrap"": 4, ""reed_fiber"": 3, ""wet_wood"": 3}",True,False
36263,36263-TRD-01,Fay,36263-PROP-01-6303,red_scrap+dry_resin,more_red_scrap,"{""ash_glass"": 3, ""clay_jar"": 3, ""dry_resin"": 5, ""iron_sand"": 4, ""red_scrap"": 5, ""reed_fiber"": 5, ""wet_wood"": 6}","{""ash_glass"": 3, ""clay_jar"": 3, ""dry_resin"": 4, ""iron_sand"": 4, ""red_scrap"": 5, ""reed_fiber"": 5, ""wet_wood"": 6}",True,False
36263,36263-TRD-02,Milo,36263-PROP-02-8528,ash_glass+reed_fiber,more_ash_glass,"{""ash_glass"": 3, ""clay_jar"": 3, ""dry_resin"": 4, ""iron_sand"": 4, ""red_scrap"": 5, ""reed_fiber"": 5, ""wet_wood"": 6}","{""ash_glass"": 3, ""clay_jar"": 3, ""dry_resin"": 4, ""iron_sand"": 4, ""red_scrap"": 5, ""reed_fiber"": 4, ""wet_wood"": 6}",True,False
