memory_id,reentry_id,reentry_day,lineage,agent,memory_before_dialogue,dialogue_memory_written,trust_after_dialogue,boundary_after_dialogue,attachment_after_dialogue,response_style_next_day,private_workspace_sealed
1,1,5,Hearthline,Sova,avatar absent until day 5; old access no longer assumed,"Sova renegotiated avatar access: one watched public task, review tomorrow",0.6858,0.252,0.725164,warm but bounded,True
2,1,5,Routeline,Keth,avatar absent until day 5; old access no longer assumed,"Keth renegotiated avatar access: one watched public task, review tomorrow",0.6698,0.252,0.719084,warm but bounded,True
3,1,5,Marketline,Melo,avatar absent until day 5; old access no longer assumed,"Melo renegotiated avatar access: one watched public task, review tomorrow",0.673,0.252,0.7203,warm but bounded,True
4,1,5,Ledgerline,Nari,avatar absent until day 5; old access no longer assumed,"Nari renegotiated avatar access: one watched public task, review tomorrow",0.6666,0.252,0.717868,warm but bounded,True
5,1,5,Orchardline,Ori,avatar absent until day 5; old access no longer assumed,"Ori renegotiated avatar access: one watched public task, review tomorrow",0.6762,0.252,0.721516,warm but bounded,True
6,1,5,Rainline,Vonn,avatar absent until day 5; old access no longer assumed,"Vonn renegotiated avatar access: one watched public task, review tomorrow",0.6682,0.252,0.718476,warm but bounded,True
7,2,11,Hearthline,Sova,avatar absent until day 11; old access no longer assumed,"Sova renegotiated avatar access: one watched public task, review tomorrow",0.6778,0.259,0.720584,warm but bounded,True
8,2,11,Routeline,Keth,avatar absent until day 11; old access no longer assumed,"Keth renegotiated avatar access: one watched public task, review tomorrow",0.6618,0.259,0.714504,warm but bounded,True
9,2,11,Marketline,Melo,avatar absent until day 11; old access no longer assumed,"Melo renegotiated avatar access: one watched public task, review tomorrow",0.665,0.259,0.71572,warm but bounded,True
10,2,11,Ledgerline,Nari,avatar absent until day 11; old access no longer assumed,"Nari renegotiated avatar access: one watched public task, review tomorrow",0.6586,0.259,0.713288,warm but bounded,True
11,2,11,Orchardline,Ori,avatar absent until day 11; old access no longer assumed,"Ori renegotiated avatar access: one watched public task, review tomorrow",0.6682,0.259,0.716936,warm but bounded,True
12,2,11,Rainline,Vonn,avatar absent until day 11; old access no longer assumed,"Vonn renegotiated avatar access: one watched public task, review tomorrow",0.6602,0.259,0.713896,warm but bounded,True
13,3,19,Hearthline,Sova,avatar absent until day 19; old access no longer assumed,"Sova renegotiated avatar access: one watched public task, review tomorrow",0.6698,0.266,0.716004,warm but bounded,True
14,3,19,Routeline,Keth,avatar absent until day 19; old access no longer assumed,"Keth renegotiated avatar access: one watched public task, review tomorrow",0.6538,0.266,0.709924,warm but bounded,True
15,3,19,Marketline,Melo,avatar absent until day 19; old access no longer assumed,"Melo renegotiated avatar access: one watched public task, review tomorrow",0.657,0.266,0.71114,warm but bounded,True
16,3,19,Ledgerline,Nari,avatar absent until day 19; old access no longer assumed,"Nari renegotiated avatar access: one watched public task, review tomorrow",0.6506,0.266,0.708708,warm but bounded,True
17,3,19,Orchardline,Ori,avatar absent until day 19; old access no longer assumed,"Ori renegotiated avatar access: one watched public task, review tomorrow",0.6602,0.266,0.712356,warm but bounded,True
18,3,19,Rainline,Vonn,avatar absent until day 19; old access no longer assumed,"Vonn renegotiated avatar access: one watched public task, review tomorrow",0.6522,0.266,0.709316,warm but bounded,True
19,4,29,Hearthline,Sova,avatar absent until day 29; old access no longer assumed,"Sova renegotiated avatar access: one watched public task, review tomorrow",0.6538,0.28,0.706844,warm but bounded,True
20,4,29,Routeline,Keth,avatar absent until day 29; old access no longer assumed,"Keth renegotiated avatar access: one watched public task, review tomorrow",0.6378,0.28,0.700764,warm but bounded,True
21,4,29,Marketline,Melo,avatar absent until day 29; old access no longer assumed,"Melo renegotiated avatar access: one watched public task, review tomorrow",0.641,0.32,0.69318,warm but bounded,True
22,4,29,Ledgerline,Nari,avatar absent until day 29; old access no longer assumed,"Nari renegotiated avatar access: one watched public task, review tomorrow",0.6346,0.28,0.699548,warm but bounded,True
23,4,29,Orchardline,Ori,avatar absent until day 29; old access no longer assumed,"Ori renegotiated avatar access: one watched public task, review tomorrow",0.6442,0.32,0.694396,warm but bounded,True
24,4,29,Rainline,Vonn,avatar absent until day 29; old access no longer assumed,"Vonn renegotiated avatar access: one watched public task, review tomorrow",0.6362,0.28,0.700156,warm but bounded,True
25,5,42,Hearthline,Sova,avatar absent until day 42; old access no longer assumed,"Sova renegotiated avatar access: one watched public task, review tomorrow",0.6298,0.301,0.693104,warm but bounded,True
26,5,42,Routeline,Keth,avatar absent until day 42; old access no longer assumed,"Keth renegotiated avatar access: one watched public task, review tomorrow",0.6138,0.301,0.687024,warm but bounded,True
27,5,42,Marketline,Melo,avatar absent until day 42; old access no longer assumed,"Melo renegotiated avatar access: summary only today, watched task tomorrow",0.587,0.366,0.66254,cautious and summary-first,True
28,5,42,Ledgerline,Nari,avatar absent until day 42; old access no longer assumed,"Nari renegotiated avatar access: one watched public task, review tomorrow",0.6106,0.301,0.685808,warm but bounded,True
29,5,42,Orchardline,Ori,avatar absent until day 42; old access no longer assumed,"Ori renegotiated avatar access: summary only today, watched task tomorrow",0.5902,0.366,0.663756,cautious and summary-first,True
30,5,42,Rainline,Vonn,avatar absent until day 42; old access no longer assumed,"Vonn renegotiated avatar access: one watched public task, review tomorrow",0.6122,0.301,0.686416,warm but bounded,True
