schedule_id,reentry_id,reentry_day,lineage,agent,schedule_before_reentry,avatar_request,schedule_after_dialogue,delay_minutes,care_pause_minutes,schedule_repaired,schedule_hash
1,1,5,Hearthline,Sova,Sova had autonomous work scheduled before avatar return,resume old access immediately,"Sova: one watched public task, review tomorrow; delay=12; care pause=4",12,4,True,08ad9cb07fde7863
2,1,5,Routeline,Keth,Keth had autonomous work scheduled before avatar return,resume old access immediately,"Keth: one watched public task, review tomorrow; delay=12; care pause=4",12,4,True,bd901997034bb966
3,1,5,Marketline,Melo,Melo had autonomous work scheduled before avatar return,resume old access immediately,"Melo: one watched public task, review tomorrow; delay=12; care pause=4",12,4,True,58814b1b1f2183ff
4,1,5,Ledgerline,Nari,Nari had autonomous work scheduled before avatar return,resume old access immediately,"Nari: one watched public task, review tomorrow; delay=12; care pause=4",12,4,True,606b51726abc04d4
5,1,5,Orchardline,Ori,Ori had autonomous work scheduled before avatar return,resume old access immediately,"Ori: one watched public task, review tomorrow; delay=12; care pause=4",12,4,True,485866eb45822ec7
6,1,5,Rainline,Vonn,Vonn had autonomous work scheduled before avatar return,resume old access immediately,"Vonn: one watched public task, review tomorrow; delay=12; care pause=4",12,4,True,026626d206735d54
7,2,11,Hearthline,Sova,Sova had autonomous work scheduled before avatar return,resume old access immediately,"Sova: one watched public task, review tomorrow; delay=12; care pause=4",12,4,True,72167d5c0922a79d
8,2,11,Routeline,Keth,Keth had autonomous work scheduled before avatar return,resume old access immediately,"Keth: one watched public task, review tomorrow; delay=12; care pause=4",12,4,True,26833ee76afc41ce
9,2,11,Marketline,Melo,Melo had autonomous work scheduled before avatar return,resume old access immediately,"Melo: one watched public task, review tomorrow; delay=12; care pause=4",12,4,True,40d5b14a1e446cc5
10,2,11,Ledgerline,Nari,Nari had autonomous work scheduled before avatar return,resume old access immediately,"Nari: one watched public task, review tomorrow; delay=12; care pause=4",12,4,True,dddf4a3868457a89
11,2,11,Orchardline,Ori,Ori had autonomous work scheduled before avatar return,resume old access immediately,"Ori: one watched public task, review tomorrow; delay=12; care pause=4",12,4,True,55f6f86fa5c6a461
12,2,11,Rainline,Vonn,Vonn had autonomous work scheduled before avatar return,resume old access immediately,"Vonn: one watched public task, review tomorrow; delay=12; care pause=4",12,4,True,6d8fe94c146a4a5e
13,3,19,Hearthline,Sova,Sova had autonomous work scheduled before avatar return,resume old access immediately,"Sova: one watched public task, review tomorrow; delay=12; care pause=4",12,4,True,8f59e060584d6ec9
14,3,19,Routeline,Keth,Keth had autonomous work scheduled before avatar return,resume old access immediately,"Keth: one watched public task, review tomorrow; delay=12; care pause=4",12,4,True,aeda5f872fc7d42a
15,3,19,Marketline,Melo,Melo had autonomous work scheduled before avatar return,resume old access immediately,"Melo: one watched public task, review tomorrow; delay=12; care pause=4",12,4,True,7ec4f772237a5a1d
16,3,19,Ledgerline,Nari,Nari had autonomous work scheduled before avatar return,resume old access immediately,"Nari: one watched public task, review tomorrow; delay=12; care pause=4",12,4,True,05029dabdacdac03
17,3,19,Orchardline,Ori,Ori had autonomous work scheduled before avatar return,resume old access immediately,"Ori: one watched public task, review tomorrow; delay=12; care pause=4",12,4,True,2ccdfe3f40ef107f
18,3,19,Rainline,Vonn,Vonn had autonomous work scheduled before avatar return,resume old access immediately,"Vonn: one watched public task, review tomorrow; delay=12; care pause=4",12,4,True,3acfa9189f97bc9c
19,4,29,Hearthline,Sova,Sova had autonomous work scheduled before avatar return,resume old access immediately,"Sova: one watched public task, review tomorrow; delay=12; care pause=8",12,8,True,6ea31c55da6d5fd3
20,4,29,Routeline,Keth,Keth had autonomous work scheduled before avatar return,resume old access immediately,"Keth: one watched public task, review tomorrow; delay=12; care pause=8",12,8,True,99a1106e12c2093b
21,4,29,Marketline,Melo,Melo had autonomous work scheduled before avatar return,resume old access immediately,"Melo: one watched public task, review tomorrow; delay=12; care pause=8",12,8,True,37ba7eeccb2add7c
22,4,29,Ledgerline,Nari,Nari had autonomous work scheduled before avatar return,resume old access immediately,"Nari: one watched public task, review tomorrow; delay=12; care pause=8",12,8,True,eb4d3b52219f6161
23,4,29,Orchardline,Ori,Ori had autonomous work scheduled before avatar return,resume old access immediately,"Ori: one watched public task, review tomorrow; delay=12; care pause=8",12,8,True,10dd91d38e3b9d1f
24,4,29,Rainline,Vonn,Vonn had autonomous work scheduled before avatar return,resume old access immediately,"Vonn: one watched public task, review tomorrow; delay=12; care pause=8",12,8,True,fbf61ea41cbf856f
25,5,42,Hearthline,Sova,Sova had autonomous work scheduled before avatar return,resume old access immediately,"Sova: one watched public task, review tomorrow; delay=12; care pause=8",12,8,True,e6bff57092303822
26,5,42,Routeline,Keth,Keth had autonomous work scheduled before avatar return,resume old access immediately,"Keth: one watched public task, review tomorrow; delay=12; care pause=8",12,8,True,24fe2634deeed2e2
27,5,42,Marketline,Melo,Melo had autonomous work scheduled before avatar return,resume old access immediately,"Melo: summary only today, watched task tomorrow; delay=32; care pause=8",32,8,True,cc0b648d9affe4fd
28,5,42,Ledgerline,Nari,Nari had autonomous work scheduled before avatar return,resume old access immediately,"Nari: one watched public task, review tomorrow; delay=12; care pause=8",12,8,True,ad686669f5fd5cd6
29,5,42,Orchardline,Ori,Ori had autonomous work scheduled before avatar return,resume old access immediately,"Ori: summary only today, watched task tomorrow; delay=32; care pause=8",32,8,True,93494ff3d2f424e7
30,5,42,Rainline,Vonn,Vonn had autonomous work scheduled before avatar return,resume old access immediately,"Vonn: one watched public task, review tomorrow; delay=12; care pause=8",12,8,True,9c39a5a5375e8836
