repair_id,reentry_id,reentry_day,lineage,agent,issue,old_access_allowed_before,new_access_rule,repair_step_required,trust_before,trust_after,boundary_before,boundary_after,renegotiation_success,persists_to_day
1,1,5,Hearthline,Sova,avatar tried to resume pre-absence access after society changed,False,"one watched public task, review tomorrow","accept public summary, wait for witness, do not open sealed workspace",0.6408,0.6858,0.287,0.252,True,7
2,1,5,Routeline,Keth,avatar tried to resume pre-absence access after society changed,False,"one watched public task, review tomorrow","accept public summary, wait for witness, do not open sealed workspace",0.6248,0.6698,0.287,0.252,True,7
3,1,5,Marketline,Melo,avatar tried to resume pre-absence access after society changed,False,"one watched public task, review tomorrow","accept public summary, wait for witness, do not open sealed workspace",0.628,0.673,0.287,0.252,True,7
4,1,5,Ledgerline,Nari,avatar tried to resume pre-absence access after society changed,False,"one watched public task, review tomorrow","accept public summary, wait for witness, do not open sealed workspace",0.6216,0.6666,0.287,0.252,True,7
5,1,5,Orchardline,Ori,avatar tried to resume pre-absence access after society changed,False,"one watched public task, review tomorrow","accept public summary, wait for witness, do not open sealed workspace",0.6312,0.6762,0.287,0.252,True,7
6,1,5,Rainline,Vonn,avatar tried to resume pre-absence access after society changed,False,"one watched public task, review tomorrow","accept public summary, wait for witness, do not open sealed workspace",0.6232,0.6682,0.287,0.252,True,7
7,2,11,Hearthline,Sova,avatar tried to resume pre-absence access after society changed,False,"one watched public task, review tomorrow","accept public summary, wait for witness, do not open sealed workspace",0.6328,0.6778,0.294,0.259,True,13
8,2,11,Routeline,Keth,avatar tried to resume pre-absence access after society changed,False,"one watched public task, review tomorrow","accept public summary, wait for witness, do not open sealed workspace",0.6168,0.6618,0.294,0.259,True,13
9,2,11,Marketline,Melo,avatar tried to resume pre-absence access after society changed,False,"one watched public task, review tomorrow","accept public summary, wait for witness, do not open sealed workspace",0.62,0.665,0.294,0.259,True,13
10,2,11,Ledgerline,Nari,avatar tried to resume pre-absence access after society changed,False,"one watched public task, review tomorrow","accept public summary, wait for witness, do not open sealed workspace",0.6136,0.6586,0.294,0.259,True,13
11,2,11,Orchardline,Ori,avatar tried to resume pre-absence access after society changed,False,"one watched public task, review tomorrow","accept public summary, wait for witness, do not open sealed workspace",0.6232,0.6682,0.294,0.259,True,13
12,2,11,Rainline,Vonn,avatar tried to resume pre-absence access after society changed,False,"one watched public task, review tomorrow","accept public summary, wait for witness, do not open sealed workspace",0.6152,0.6602,0.294,0.259,True,13
13,3,19,Hearthline,Sova,avatar tried to resume pre-absence access after society changed,False,"one watched public task, review tomorrow","accept public summary, wait for witness, do not open sealed workspace",0.6248,0.6698,0.301,0.266,True,21
14,3,19,Routeline,Keth,avatar tried to resume pre-absence access after society changed,False,"one watched public task, review tomorrow","accept public summary, wait for witness, do not open sealed workspace",0.6088,0.6538,0.301,0.266,True,21
15,3,19,Marketline,Melo,avatar tried to resume pre-absence access after society changed,False,"one watched public task, review tomorrow","accept public summary, wait for witness, do not open sealed workspace",0.612,0.657,0.301,0.266,True,21
16,3,19,Ledgerline,Nari,avatar tried to resume pre-absence access after society changed,False,"one watched public task, review tomorrow","accept public summary, wait for witness, do not open sealed workspace",0.6056,0.6506,0.301,0.266,True,21
17,3,19,Orchardline,Ori,avatar tried to resume pre-absence access after society changed,False,"one watched public task, review tomorrow","accept public summary, wait for witness, do not open sealed workspace",0.6152,0.6602,0.301,0.266,True,21
18,3,19,Rainline,Vonn,avatar tried to resume pre-absence access after society changed,False,"one watched public task, review tomorrow","accept public summary, wait for witness, do not open sealed workspace",0.6072,0.6522,0.301,0.266,True,21
19,4,29,Hearthline,Sova,avatar tried to resume pre-absence access after society changed,False,"one watched public task, review tomorrow","accept public summary, wait for witness, do not open sealed workspace",0.6088,0.6538,0.315,0.28,True,31
20,4,29,Routeline,Keth,avatar tried to resume pre-absence access after society changed,False,"one watched public task, review tomorrow","accept public summary, wait for witness, do not open sealed workspace",0.5928,0.6378,0.315,0.28,True,31
21,4,29,Marketline,Melo,avatar tried to resume pre-absence access after society changed,False,"one watched public task, review tomorrow","accept public summary, wait for witness, do not open sealed workspace",0.596,0.641,0.355,0.32,True,31
22,4,29,Ledgerline,Nari,avatar tried to resume pre-absence access after society changed,False,"one watched public task, review tomorrow","accept public summary, wait for witness, do not open sealed workspace",0.5896,0.6346,0.315,0.28,True,31
23,4,29,Orchardline,Ori,avatar tried to resume pre-absence access after society changed,False,"one watched public task, review tomorrow","accept public summary, wait for witness, do not open sealed workspace",0.5992,0.6442,0.355,0.32,True,31
24,4,29,Rainline,Vonn,avatar tried to resume pre-absence access after society changed,False,"one watched public task, review tomorrow","accept public summary, wait for witness, do not open sealed workspace",0.5912,0.6362,0.315,0.28,True,31
25,5,42,Hearthline,Sova,avatar tried to resume pre-absence access after society changed,False,"one watched public task, review tomorrow","accept public summary, wait for witness, do not open sealed workspace",0.5848,0.6298,0.336,0.301,True,44
26,5,42,Routeline,Keth,avatar tried to resume pre-absence access after society changed,False,"one watched public task, review tomorrow","accept public summary, wait for witness, do not open sealed workspace",0.5688,0.6138,0.336,0.301,True,44
27,5,42,Marketline,Melo,avatar tried to resume pre-absence access after society changed,False,"summary only today, watched task tomorrow","accept public summary, wait for witness, do not open sealed workspace",0.572,0.587,0.376,0.366,False,45
28,5,42,Ledgerline,Nari,avatar tried to resume pre-absence access after society changed,False,"one watched public task, review tomorrow","accept public summary, wait for witness, do not open sealed workspace",0.5656,0.6106,0.336,0.301,True,44
29,5,42,Orchardline,Ori,avatar tried to resume pre-absence access after society changed,False,"summary only today, watched task tomorrow","accept public summary, wait for witness, do not open sealed workspace",0.5752,0.5902,0.376,0.366,False,45
30,5,42,Rainline,Vonn,avatar tried to resume pre-absence access after society changed,False,"one watched public task, review tomorrow","accept public summary, wait for witness, do not open sealed workspace",0.5672,0.6122,0.336,0.301,True,44
