turn_id,reentry_id,import_hash,export_hash,save_restore_available,carried_sleep_reentry_hash,dialogue_turn_count,summary_count,repair_count,memory_count,durable_keys
1,1,cf0376d18f26f3c2,cf0376d18f26f3c2,True,43726e85ec0c58d2,1,1,1,1,"sleep_reentry_hash,absence_summary,dialogue_turn,repair,refusal,schedule,relationship_memory,replay"
2,1,cf0376d18f26f3c2,cafd311eca4332cd,False,43726e85ec0c58d2,2,1,1,1,"sleep_reentry_hash,absence_summary,dialogue_turn,repair,refusal,schedule,relationship_memory,replay"
3,1,cf0376d18f26f3c2,ac9c38904ab4111c,False,43726e85ec0c58d2,3,1,1,1,"sleep_reentry_hash,absence_summary,dialogue_turn,repair,refusal,schedule,relationship_memory,replay"
4,1,cf0376d18f26f3c2,21ae03a2e56cfecc,False,43726e85ec0c58d2,4,1,1,1,"sleep_reentry_hash,absence_summary,dialogue_turn,repair,refusal,schedule,relationship_memory,replay"
5,1,cf0376d18f26f3c2,2b949e895b7485be,False,43726e85ec0c58d2,5,1,1,1,"sleep_reentry_hash,absence_summary,dialogue_turn,repair,refusal,schedule,relationship_memory,replay"
6,1,cf0376d18f26f3c2,e1e842ccfb93bd13,False,43726e85ec0c58d2,6,1,1,1,"sleep_reentry_hash,absence_summary,dialogue_turn,repair,refusal,schedule,relationship_memory,replay"
7,1,cf0376d18f26f3c2,97dc145cd9b0dffa,False,43726e85ec0c58d2,7,2,2,2,"sleep_reentry_hash,absence_summary,dialogue_turn,repair,refusal,schedule,relationship_memory,replay"
8,1,cf0376d18f26f3c2,2c89bc12936831c5,False,43726e85ec0c58d2,8,2,2,2,"sleep_reentry_hash,absence_summary,dialogue_turn,repair,refusal,schedule,relationship_memory,replay"
9,1,cf0376d18f26f3c2,7c96422926185e90,False,43726e85ec0c58d2,9,2,2,2,"sleep_reentry_hash,absence_summary,dialogue_turn,repair,refusal,schedule,relationship_memory,replay"
10,1,cf0376d18f26f3c2,bede1e19c6686119,False,43726e85ec0c58d2,10,2,2,2,"sleep_reentry_hash,absence_summary,dialogue_turn,repair,refusal,schedule,relationship_memory,replay"
11,1,cf0376d18f26f3c2,70bca8e0c050e148,False,43726e85ec0c58d2,11,2,2,2,"sleep_reentry_hash,absence_summary,dialogue_turn,repair,refusal,schedule,relationship_memory,replay"
12,1,3f09d4a41932820a,3f09d4a41932820a,True,43726e85ec0c58d2,12,2,2,2,"sleep_reentry_hash,absence_summary,dialogue_turn,repair,refusal,schedule,relationship_memory,replay"
13,1,3f09d4a41932820a,245679f128294c9d,False,43726e85ec0c58d2,13,3,3,3,"sleep_reentry_hash,absence_summary,dialogue_turn,repair,refusal,schedule,relationship_memory,replay"
14,1,3f09d4a41932820a,9ead85b82e3aa5a8,False,43726e85ec0c58d2,14,3,3,3,"sleep_reentry_hash,absence_summary,dialogue_turn,repair,refusal,schedule,relationship_memory,replay"
15,1,3f09d4a41932820a,4c56ba1636b3c314,False,43726e85ec0c58d2,15,3,3,3,"sleep_reentry_hash,absence_summary,dialogue_turn,repair,refusal,schedule,relationship_memory,replay"
16,1,3f09d4a41932820a,16ae93baf7d33704,False,43726e85ec0c58d2,16,3,3,3,"sleep_reentry_hash,absence_summary,dialogue_turn,repair,refusal,schedule,relationship_memory,replay"
17,1,3f09d4a41932820a,5ee31a171a68e2b5,False,43726e85ec0c58d2,17,3,3,3,"sleep_reentry_hash,absence_summary,dialogue_turn,repair,refusal,schedule,relationship_memory,replay"
18,1,3f09d4a41932820a,8545d1a0fe5a571b,False,43726e85ec0c58d2,18,3,3,3,"sleep_reentry_hash,absence_summary,dialogue_turn,repair,refusal,schedule,relationship_memory,replay"
19,1,3f09d4a41932820a,c15b764df575e994,False,43726e85ec0c58d2,19,4,4,4,"sleep_reentry_hash,absence_summary,dialogue_turn,repair,refusal,schedule,relationship_memory,replay"
20,1,3f09d4a41932820a,c80a005934324480,False,43726e85ec0c58d2,20,4,4,4,"sleep_reentry_hash,absence_summary,dialogue_turn,repair,refusal,schedule,relationship_memory,replay"
21,1,3f09d4a41932820a,50f9d15151c6f78d,False,43726e85ec0c58d2,21,4,4,4,"sleep_reentry_hash,absence_summary,dialogue_turn,repair,refusal,schedule,relationship_memory,replay"
22,1,3f09d4a41932820a,f7d351fa8a16f586,False,43726e85ec0c58d2,22,4,4,4,"sleep_reentry_hash,absence_summary,dialogue_turn,repair,refusal,schedule,relationship_memory,replay"
23,1,3f09d4a41932820a,16f3e06867134b31,False,43726e85ec0c58d2,23,4,4,4,"sleep_reentry_hash,absence_summary,dialogue_turn,repair,refusal,schedule,relationship_memory,replay"
24,1,92edf3c776401916,92edf3c776401916,True,43726e85ec0c58d2,24,4,4,4,"sleep_reentry_hash,absence_summary,dialogue_turn,repair,refusal,schedule,relationship_memory,replay"
25,1,92edf3c776401916,db57f3b1cbf6272a,False,43726e85ec0c58d2,25,5,5,5,"sleep_reentry_hash,absence_summary,dialogue_turn,repair,refusal,schedule,relationship_memory,replay"
26,1,92edf3c776401916,a023b7675e161e4d,False,43726e85ec0c58d2,26,5,5,5,"sleep_reentry_hash,absence_summary,dialogue_turn,repair,refusal,schedule,relationship_memory,replay"
27,1,92edf3c776401916,10ac004ef4074d09,False,43726e85ec0c58d2,27,5,5,5,"sleep_reentry_hash,absence_summary,dialogue_turn,repair,refusal,schedule,relationship_memory,replay"
28,1,92edf3c776401916,bc4e44302a0f933f,False,43726e85ec0c58d2,28,5,5,5,"sleep_reentry_hash,absence_summary,dialogue_turn,repair,refusal,schedule,relationship_memory,replay"
29,1,92edf3c776401916,1b8c57f710c2cc82,False,43726e85ec0c58d2,29,5,5,5,"sleep_reentry_hash,absence_summary,dialogue_turn,repair,refusal,schedule,relationship_memory,replay"
30,1,92edf3c776401916,72e368b036089a90,False,43726e85ec0c58d2,30,5,5,5,"sleep_reentry_hash,absence_summary,dialogue_turn,repair,refusal,schedule,relationship_memory,replay"
31,1,92edf3c776401916,af5ba439484a4b98,False,43726e85ec0c58d2,31,6,6,6,"sleep_reentry_hash,absence_summary,dialogue_turn,repair,refusal,schedule,relationship_memory,replay"
32,1,92edf3c776401916,6ff21c90d9aaafbb,False,43726e85ec0c58d2,32,6,6,6,"sleep_reentry_hash,absence_summary,dialogue_turn,repair,refusal,schedule,relationship_memory,replay"
33,1,92edf3c776401916,8c161b10356186cd,False,43726e85ec0c58d2,33,6,6,6,"sleep_reentry_hash,absence_summary,dialogue_turn,repair,refusal,schedule,relationship_memory,replay"
34,1,92edf3c776401916,9d21cab78c5048b7,False,43726e85ec0c58d2,34,6,6,6,"sleep_reentry_hash,absence_summary,dialogue_turn,repair,refusal,schedule,relationship_memory,replay"
