seed,bottleneck_id,action_id,resident,bottleneck_type,detail,source_belief_id,source_label
36217,36217-BOT-01,36217-LIV-01,Fay,schedule_conflict,ordinary schedule keeps returning to smoke-bound/quiet-doubt,36217-BEL-004,smoke-bound/quiet-doubt
36217,36217-BOT-02,36217-LIV-02,Milo,material_shortage,materials needed for smoke-bound/quiet-doubt,36217-BEL-004,smoke-bound/quiet-doubt
36217,36217-BOT-03,36217-LIV-03,Sera,safety_limit,help pauses around smoke-bound/quiet-doubt,36217-BEL-004,smoke-bound/quiet-doubt
36217,36217-BOT-04,36217-LIV-04,Tovan,test_time_conflict,scheduled test competes with archiving failed smoke-bound/quiet-doubt,36217-BEL-004,smoke-bound/quiet-doubt
36217,36217-BOT-05,36217-LIV-05,Nia,schedule_conflict,ordinary schedule keeps returning to smoke-bound/quiet-doubt,36217-BEL-004,smoke-bound/quiet-doubt
36217,36217-BOT-06,36217-LIV-06,Ari,schedule_conflict,ordinary schedule keeps returning to smoke-bound/quiet-doubt,36217-BEL-004,smoke-bound/quiet-doubt
36217,36217-BOT-07,36217-LIV-07,Fay,schedule_conflict,ordinary schedule keeps returning to smoke-bound/quiet-doubt,36217-BEL-004,smoke-bound/quiet-doubt
36231,36231-BOT-01,36231-LIV-01,Sera,schedule_conflict,ordinary schedule keeps returning to missing-repeat/quiet-doubt,36231-BEL-004,missing-repeat/quiet-doubt
36231,36231-BOT-02,36231-LIV-02,Tovan,material_shortage,materials needed for missing-repeat/quiet-doubt,36231-BEL-004,missing-repeat/quiet-doubt
36231,36231-BOT-03,36231-LIV-03,Nia,safety_limit,help pauses around missing-repeat/quiet-doubt,36231-BEL-004,missing-repeat/quiet-doubt
36231,36231-BOT-04,36231-LIV-04,Ari,test_time_conflict,scheduled test competes with archiving failed missing-repeat/quiet-doubt,36231-BEL-004,missing-repeat/quiet-doubt
36231,36231-BOT-05,36231-LIV-05,Fay,schedule_conflict,ordinary schedule keeps returning to missing-repeat/quiet-doubt,36231-BEL-004,missing-repeat/quiet-doubt
36231,36231-BOT-06,36231-LIV-06,Milo,schedule_conflict,ordinary schedule keeps returning to missing-repeat/quiet-doubt,36231-BEL-004,missing-repeat/quiet-doubt
36231,36231-BOT-07,36231-LIV-07,Sera,schedule_conflict,ordinary schedule keeps returning to missing-repeat/quiet-doubt,36231-BEL-004,missing-repeat/quiet-doubt
36247,36247-BOT-01,36247-LIV-01,Fay,schedule_conflict,ordinary schedule keeps returning to grain pull/water-hush,36247-BEL-004,grain pull/water-hush
36247,36247-BOT-02,36247-LIV-02,Milo,material_shortage,materials needed for grain pull/water-hush,36247-BEL-004,grain pull/water-hush
36247,36247-BOT-03,36247-LIV-03,Sera,safety_limit,help pauses around grain pull/water-hush,36247-BEL-004,grain pull/water-hush
36247,36247-BOT-04,36247-LIV-04,Tovan,test_time_conflict,scheduled test competes with safety custom for grain pull/water-hush,36247-BEL-004,grain pull/water-hush
36247,36247-BOT-05,36247-LIV-05,Nia,schedule_conflict,ordinary schedule keeps returning to grain pull/water-hush,36247-BEL-004,grain pull/water-hush
36247,36247-BOT-06,36247-LIV-06,Ari,safety_limit,help pauses around grain pull/water-hush,36247-BEL-004,grain pull/water-hush
36247,36247-BOT-07,36247-LIV-07,Fay,schedule_conflict,ordinary schedule keeps returning to grain pull/water-hush,36247-BEL-004,grain pull/water-hush
36263,36263-BOT-01,36263-LIV-01,Nia,schedule_conflict,ordinary schedule keeps returning to quiet sting/quiet-doubt,36263-BEL-004,quiet sting/quiet-doubt
