seed,hint_id,source_practice_id,source_concern_id,source_proposal_id,avatar_support_mode,resident_generated_board_item
36217,36217-AHD-001,36217-EPG-001,VBC-001,VBP-001,"question/support/wait, not assignment",True
36217,36217-AHD-002,36217-EPG-002,VBC-002,VBP-002,"question/support/wait, not assignment",True
36231,36231-AHD-003,36231-EPG-003,VBC-003,VBP-003,"question/support/wait, not assignment",True
36231,36231-AHD-004,36231-EPG-004,VBC-004,VBP-004,"question/support/wait, not assignment",True
36247,36247-AHD-005,36247-EPG-005,VBC-005,VBP-005,"question/support/wait, not assignment",True
36247,36247-AHD-006,36247-EPG-006,VBC-006,VBP-006,"question/support/wait, not assignment",True
36263,36263-AHD-007,36263-EPG-007,VBC-007,VBP-007,"question/support/wait, not assignment",True
36263,36263-AHD-008,36263-EPG-008,VBC-008,VBP-008,"question/support/wait, not assignment",True
36281,36281-AHD-009,36281-EPG-009,VBC-009,VBP-009,"question/support/wait, not assignment",True
36281,36281-AHD-010,36281-EPG-010,VBC-010,VBP-010,"question/support/wait, not assignment",True
36307,36307-AHD-011,36307-EPG-011,VBC-011,VBP-011,"question/support/wait, not assignment",True
36307,36307-AHD-012,36307-EPG-012,VBC-012,VBP-012,"question/support/wait, not assignment",True
36319,36319-AHD-013,36319-EPG-013,VBC-013,VBP-013,"question/support/wait, not assignment",True
36319,36319-AHD-014,36319-EPG-014,VBC-014,VBP-014,"question/support/wait, not assignment",True
36343,36343-AHD-015,36343-EPG-015,VBC-015,VBP-015,"question/support/wait, not assignment",True
36343,36343-AHD-016,36343-EPG-016,VBC-016,VBP-016,"question/support/wait, not assignment",True
