criterion,passed,score,evidence
browser_surface_static_smoke,True,1.0,metric=1.000
browser_surface_wired,True,1.0,metric=1.000
forgetting_is_recoverable,True,1.0,metric=1.000
household_reputation_changes,True,1.0,metric=1.000
maintenance_burden_has_cost,True,1.0,metric=1.000
no_uniform_history_reset,True,1.0,metric=1.000
ordinary_return_actions_affected,True,1.0,metric=1.000
reality_causal_ledger_integrity,True,1.0,metric=1.000
return_session_persistence,True,1.0,metric=1.000
revival_requires_evidence_and_cost,True,1.0,metric=1.000
save_restore_preserves_branch_state,True,1.0,metric=1.000
shell_persistence_wired,True,1.0,metric=1.000
source_trace_integrity,True,1.0,metric=1.000
visible_expression_markers,True,1.0,metric=1.000
ablations_fail_as_expected,True,1.0,8/8
