seed,session_id,branch_id,household,resident,reputation_delta,reason
36217,36217-HRS-01,36217-AHB-001-1,house_1,Milo,0.04,warning_persisted
36217,36217-HRS-01,36217-AHB-001-2,house_2,Sera,-0.03,forgotten
36217,36217-HRS-01,36217-AHB-001-3,house_3,Tovan,0.01,remembered_ritual
36217,36217-HRS-01,36217-AHB-002-1,house_1,Sera,0.01,still_disputed
36217,36217-HRS-01,36217-AHB-002-2,house_2,Tovan,0.04,persisted
36217,36217-HRS-01,36217-AHB-002-3,house_3,Nia,0.04,warning_persisted
36217,36217-HRS-02,36217-AHB-001-1,house_1,Milo,0.01,ritual_warning
36217,36217-HRS-02,36217-AHB-001-2,house_2,Sera,-0.03,forgotten
36217,36217-HRS-02,36217-AHB-001-3,house_3,Tovan,0.01,remembered_ritual
36217,36217-HRS-02,36217-AHB-002-1,house_1,Sera,-0.03,forgotten
36217,36217-HRS-02,36217-AHB-002-2,house_2,Tovan,0.01,needs_maintenance
36217,36217-HRS-02,36217-AHB-002-3,house_3,Nia,0.01,ritual_warning
36217,36217-HRS-03,36217-AHB-001-1,house_1,Milo,0.04,warning_persisted
36217,36217-HRS-03,36217-AHB-001-2,house_2,Sera,-0.03,forgotten
36217,36217-HRS-03,36217-AHB-001-3,house_3,Tovan,0.01,remembered_ritual
36217,36217-HRS-03,36217-AHB-002-1,house_1,Sera,-0.03,forgotten
36217,36217-HRS-03,36217-AHB-002-2,house_2,Tovan,0.01,needs_maintenance
36217,36217-HRS-03,36217-AHB-002-3,house_3,Nia,0.04,warning_persisted
36231,36231-HRS-01,36231-AHB-003-1,house_3,Ari,0.01,still_disputed
36231,36231-HRS-01,36231-AHB-003-2,house_0,Fay,0.04,persisted
36231,36231-HRS-01,36231-AHB-003-3,house_1,Milo,0.04,warning_persisted
36231,36231-HRS-01,36231-AHB-004-1,house_3,Fay,-0.03,forgotten
36231,36231-HRS-01,36231-AHB-004-2,house_0,Milo,0.01,remembered_ritual
36231,36231-HRS-01,36231-AHB-004-3,house_1,Sera,0.01,still_disputed
36231,36231-HRS-02,36231-AHB-003-1,house_3,Ari,-0.03,forgotten
36231,36231-HRS-02,36231-AHB-003-2,house_0,Fay,0.04,persisted
36231,36231-HRS-02,36231-AHB-003-3,house_1,Milo,0.01,ritual_warning
36231,36231-HRS-02,36231-AHB-004-1,house_3,Fay,-0.03,forgotten
36231,36231-HRS-02,36231-AHB-004-2,house_0,Milo,0.01,remembered_ritual
36231,36231-HRS-02,36231-AHB-004-3,house_1,Sera,-0.03,forgotten
36231,36231-HRS-03,36231-AHB-003-1,house_3,Ari,-0.03,forgotten
36231,36231-HRS-03,36231-AHB-003-2,house_0,Fay,0.04,persisted
36231,36231-HRS-03,36231-AHB-003-3,house_1,Milo,0.04,warning_persisted
36231,36231-HRS-03,36231-AHB-004-1,house_3,Fay,-0.03,forgotten
36231,36231-HRS-03,36231-AHB-004-2,house_0,Milo,0.01,remembered_ritual
36231,36231-HRS-03,36231-AHB-004-3,house_1,Sera,-0.03,forgotten
36247,36247-HRS-01,36247-AHB-005-1,house_3,Ari,0.01,burdened_ritual
36247,36247-HRS-01,36247-AHB-005-2,house_0,Fay,0.01,still_disputed
36247,36247-HRS-01,36247-AHB-005-3,house_1,Milo,0.04,persisted
36247,36247-HRS-01,36247-AHB-006-1,house_3,Fay,0.04,warning_persisted
36247,36247-HRS-01,36247-AHB-006-2,house_0,Milo,-0.03,forgotten
36247,36247-HRS-01,36247-AHB-006-3,house_1,Sera,0.01,remembered_ritual
36247,36247-HRS-02,36247-AHB-005-1,house_3,Ari,0.01,burdened_ritual
36247,36247-HRS-02,36247-AHB-005-2,house_0,Fay,-0.03,forgotten
36247,36247-HRS-02,36247-AHB-005-3,house_1,Milo,0.04,persisted
36247,36247-HRS-02,36247-AHB-006-1,house_3,Fay,0.01,ritual_warning
36247,36247-HRS-02,36247-AHB-006-2,house_0,Milo,-0.03,forgotten
36247,36247-HRS-02,36247-AHB-006-3,house_1,Sera,0.01,remembered_ritual
36247,36247-HRS-03,36247-AHB-005-1,house_3,Ari,0.01,burdened_ritual
36247,36247-HRS-03,36247-AHB-005-2,house_0,Fay,-0.03,forgotten
36247,36247-HRS-03,36247-AHB-005-3,house_1,Milo,0.04,persisted
36247,36247-HRS-03,36247-AHB-006-1,house_3,Fay,0.04,warning_persisted
36247,36247-HRS-03,36247-AHB-006-2,house_0,Milo,-0.03,forgotten
36247,36247-HRS-03,36247-AHB-006-3,house_1,Sera,0.01,remembered_ritual
36263,36263-HRS-01,36263-AHB-007-1,house_3,Ari,-0.03,forgotten
36263,36263-HRS-01,36263-AHB-007-2,house_0,Fay,0.01,remembered_ritual
36263,36263-HRS-01,36263-AHB-007-3,house_1,Milo,0.01,still_disputed
36263,36263-HRS-01,36263-AHB-008-1,house_3,Fay,0.04,persisted
36263,36263-HRS-01,36263-AHB-008-2,house_0,Milo,0.04,warning_persisted
36263,36263-HRS-01,36263-AHB-008-3,house_1,Sera,-0.03,forgotten
36263,36263-HRS-02,36263-AHB-007-1,house_3,Ari,-0.03,forgotten
36263,36263-HRS-02,36263-AHB-007-2,house_0,Fay,0.01,remembered_ritual
36263,36263-HRS-02,36263-AHB-007-3,house_1,Milo,-0.03,forgotten
36263,36263-HRS-02,36263-AHB-008-1,house_3,Fay,0.04,persisted
36263,36263-HRS-02,36263-AHB-008-2,house_0,Milo,0.01,ritual_warning
36263,36263-HRS-02,36263-AHB-008-3,house_1,Sera,-0.03,forgotten
36263,36263-HRS-03,36263-AHB-007-1,house_3,Ari,-0.03,forgotten
36263,36263-HRS-03,36263-AHB-007-2,house_0,Fay,0.01,remembered_ritual
36263,36263-HRS-03,36263-AHB-007-3,house_1,Milo,-0.03,forgotten
36263,36263-HRS-03,36263-AHB-008-1,house_3,Fay,0.04,persisted
36263,36263-HRS-03,36263-AHB-008-2,house_0,Milo,0.04,warning_persisted
36263,36263-HRS-03,36263-AHB-008-3,house_1,Sera,-0.03,forgotten
36281,36281-HRS-01,36281-AHB-009-1,house_1,Milo,-0.03,forgotten
36281,36281-HRS-01,36281-AHB-009-2,house_2,Sera,0.01,remembered_ritual
36281,36281-HRS-01,36281-AHB-009-3,house_3,Tovan,0.01,still_disputed
36281,36281-HRS-01,36281-AHB-010-1,house_1,Sera,0.04,persisted
36281,36281-HRS-01,36281-AHB-010-2,house_2,Tovan,0.04,warning_persisted
36281,36281-HRS-01,36281-AHB-010-3,house_3,Nia,-0.03,forgotten
36281,36281-HRS-02,36281-AHB-009-1,house_1,Milo,-0.03,forgotten
36281,36281-HRS-02,36281-AHB-009-2,house_2,Sera,0.01,remembered_ritual
36281,36281-HRS-02,36281-AHB-009-3,house_3,Tovan,-0.03,forgotten
36281,36281-HRS-02,36281-AHB-010-1,house_1,Sera,0.04,persisted
36281,36281-HRS-02,36281-AHB-010-2,house_2,Tovan,0.01,ritual_warning
36281,36281-HRS-02,36281-AHB-010-3,house_3,Nia,-0.03,forgotten
36281,36281-HRS-03,36281-AHB-009-1,house_1,Milo,-0.03,forgotten
36281,36281-HRS-03,36281-AHB-009-2,house_2,Sera,0.01,remembered_ritual
36281,36281-HRS-03,36281-AHB-009-3,house_3,Tovan,-0.03,forgotten
36281,36281-HRS-03,36281-AHB-010-1,house_1,Sera,0.04,persisted
36281,36281-HRS-03,36281-AHB-010-2,house_2,Tovan,0.04,warning_persisted
36281,36281-HRS-03,36281-AHB-010-3,house_3,Nia,-0.03,forgotten
36307,36307-HRS-01,36307-AHB-011-1,house_3,Ari,0.04,warning_persisted
36307,36307-HRS-01,36307-AHB-011-2,house_0,Fay,-0.03,forgotten
36307,36307-HRS-01,36307-AHB-011-3,house_1,Milo,0.01,remembered_ritual
36307,36307-HRS-01,36307-AHB-012-1,house_3,Fay,0.01,still_disputed
