seed,session_id,branch_id,household,material_cost,labor_cost,time_cost,created_obligation
36217,36217-HRS-01,36217-AHB-001-3,house_3,1,1,1,remembered_ritual upkeep
36217,36217-HRS-02,36217-AHB-001-1,house_1,1,1,1,ritual_warning upkeep
36217,36217-HRS-02,36217-AHB-001-3,house_3,1,1,1,remembered_ritual upkeep
36217,36217-HRS-02,36217-AHB-002-2,house_2,2,1,1,needs_maintenance upkeep
36217,36217-HRS-02,36217-AHB-002-3,house_3,1,1,1,ritual_warning upkeep
36217,36217-HRS-03,36217-AHB-001-3,house_3,1,1,1,remembered_ritual upkeep
36217,36217-HRS-03,36217-AHB-002-2,house_2,2,1,1,needs_maintenance upkeep
36231,36231-HRS-01,36231-AHB-004-2,house_0,1,1,1,remembered_ritual upkeep
36231,36231-HRS-02,36231-AHB-003-3,house_1,1,1,1,ritual_warning upkeep
36231,36231-HRS-02,36231-AHB-004-2,house_0,1,1,1,remembered_ritual upkeep
36231,36231-HRS-03,36231-AHB-004-2,house_0,1,1,1,remembered_ritual upkeep
36247,36247-HRS-01,36247-AHB-005-1,house_3,1,1,1,burdened_ritual upkeep
36247,36247-HRS-01,36247-AHB-006-3,house_1,1,1,1,remembered_ritual upkeep
36247,36247-HRS-02,36247-AHB-005-1,house_3,1,1,1,burdened_ritual upkeep
36247,36247-HRS-02,36247-AHB-006-1,house_3,1,1,1,ritual_warning upkeep
36247,36247-HRS-02,36247-AHB-006-3,house_1,1,1,1,remembered_ritual upkeep
36247,36247-HRS-03,36247-AHB-005-1,house_3,1,1,1,burdened_ritual upkeep
36247,36247-HRS-03,36247-AHB-006-3,house_1,1,1,1,remembered_ritual upkeep
36263,36263-HRS-01,36263-AHB-007-2,house_0,1,1,1,remembered_ritual upkeep
36263,36263-HRS-02,36263-AHB-007-2,house_0,1,1,1,remembered_ritual upkeep
36263,36263-HRS-02,36263-AHB-008-2,house_0,1,1,1,ritual_warning upkeep
36263,36263-HRS-03,36263-AHB-007-2,house_0,1,1,1,remembered_ritual upkeep
36281,36281-HRS-01,36281-AHB-009-2,house_2,1,1,1,remembered_ritual upkeep
36281,36281-HRS-02,36281-AHB-009-2,house_2,1,1,1,remembered_ritual upkeep
36281,36281-HRS-02,36281-AHB-010-2,house_2,1,1,1,ritual_warning upkeep
36281,36281-HRS-03,36281-AHB-009-2,house_2,1,1,1,remembered_ritual upkeep
36307,36307-HRS-01,36307-AHB-011-3,house_1,1,1,1,remembered_ritual upkeep
36307,36307-HRS-02,36307-AHB-011-1,house_3,1,1,1,ritual_warning upkeep
36307,36307-HRS-02,36307-AHB-011-3,house_1,1,1,1,remembered_ritual upkeep
36307,36307-HRS-02,36307-AHB-012-2,house_0,2,1,1,needs_maintenance upkeep
36307,36307-HRS-02,36307-AHB-012-3,house_1,1,1,1,ritual_warning upkeep
36307,36307-HRS-03,36307-AHB-011-3,house_1,1,1,1,remembered_ritual upkeep
36307,36307-HRS-03,36307-AHB-012-2,house_0,2,1,1,needs_maintenance upkeep
36319,36319-HRS-01,36319-AHB-013-1,house_3,1,1,1,burdened_ritual upkeep
36319,36319-HRS-01,36319-AHB-014-3,house_1,1,1,1,remembered_ritual upkeep
36319,36319-HRS-02,36319-AHB-013-1,house_3,1,1,1,burdened_ritual upkeep
36319,36319-HRS-02,36319-AHB-014-1,house_3,1,1,1,ritual_warning upkeep
36319,36319-HRS-02,36319-AHB-014-3,house_1,1,1,1,remembered_ritual upkeep
36319,36319-HRS-03,36319-AHB-013-1,house_3,1,1,1,burdened_ritual upkeep
36319,36319-HRS-03,36319-AHB-014-3,house_1,1,1,1,remembered_ritual upkeep
36343,36343-HRS-01,36343-AHB-015-3,house_1,1,1,1,remembered_ritual upkeep
36343,36343-HRS-02,36343-AHB-015-1,house_3,1,1,1,ritual_warning upkeep
36343,36343-HRS-02,36343-AHB-015-3,house_1,1,1,1,remembered_ritual upkeep
36343,36343-HRS-02,36343-AHB-016-2,house_0,2,1,1,needs_maintenance upkeep
36343,36343-HRS-02,36343-AHB-016-3,house_1,1,1,1,ritual_warning upkeep
36343,36343-HRS-03,36343-AHB-015-3,house_1,1,1,1,remembered_ritual upkeep
36343,36343-HRS-03,36343-AHB-016-2,house_0,2,1,1,needs_maintenance upkeep
