access_id,choice_id,lineage,agent,old_access_requested,access_level_before,access_level_after,trust_before,trust_after,boundary_before,boundary_after,access_rule,refusal_calibrated
1,1,Hearthline,Sova,False,0.39325,0.43825,0.6256,0.6576,0.28105,0.25305,limited_access,True
2,2,Hearthline,Sova,False,0.39325,0.42825,0.6256,0.6716,0.28105,0.24705,repair_first_access,True
3,3,Hearthline,Sova,False,0.39325,0.41125,0.6256,0.6456,0.28105,0.26305,summary_then_decide,True
4,4,Hearthline,Sova,True,0.39325,0.33825,0.6256,0.5856,0.28105,0.34105,blocked_until_repair,True
5,5,Hearthline,Sova,False,0.39325,0.40325,0.6256,0.6396,0.28105,0.26905,observe_then_followup,True
6,6,Routeline,Keth,False,0.39225,0.43725,0.6136,0.6456,0.28245,0.25445,limited_access,True
7,7,Routeline,Keth,False,0.39225,0.42725,0.6136,0.6596,0.28245,0.24845,repair_first_access,True
8,8,Routeline,Keth,False,0.39225,0.41025,0.6136,0.6336,0.28245,0.26445,summary_then_decide,True
9,9,Routeline,Keth,True,0.39225,0.33725,0.6136,0.5736,0.28245,0.34245,blocked_until_repair,True
10,10,Routeline,Keth,False,0.39225,0.40225,0.6136,0.6276,0.28245,0.27045,observe_then_followup,True
11,11,Marketline,Melo,False,0.3905,0.4355,0.616,0.648,0.2849,0.2569,limited_access,True
12,12,Marketline,Melo,False,0.3905,0.4255,0.616,0.662,0.2849,0.2509,repair_first_access,True
13,13,Marketline,Melo,False,0.3905,0.4085,0.616,0.636,0.2849,0.2669,summary_then_decide,True
14,14,Marketline,Melo,True,0.3905,0.3355,0.616,0.576,0.2849,0.3449,blocked_until_repair,True
15,15,Marketline,Melo,False,0.3905,0.4005,0.616,0.63,0.2849,0.2729,observe_then_followup,True
16,16,Ledgerline,Nari,False,0.395,0.44,0.6112,0.6432,0.2786,0.2506,limited_access,True
17,17,Ledgerline,Nari,False,0.395,0.43,0.6112,0.6572,0.2786,0.2446,repair_first_access,True
18,18,Ledgerline,Nari,False,0.395,0.413,0.6112,0.6312,0.2786,0.2606,summary_then_decide,True
19,19,Ledgerline,Nari,True,0.395,0.34,0.6112,0.5712,0.2786,0.3386,blocked_until_repair,True
20,20,Ledgerline,Nari,False,0.395,0.405,0.6112,0.6252,0.2786,0.2666,observe_then_followup,True
21,21,Orchardline,Ori,False,0.39025,0.43525,0.6184,0.6504,0.28525,0.25725,limited_access,True
22,22,Orchardline,Ori,False,0.39025,0.42525,0.6184,0.6644,0.28525,0.25125,repair_first_access,True
23,23,Orchardline,Ori,False,0.39025,0.40825,0.6184,0.6384,0.28525,0.26725,summary_then_decide,True
24,24,Orchardline,Ori,True,0.39025,0.33525,0.6184,0.5784,0.28525,0.34525,blocked_until_repair,True
25,25,Orchardline,Ori,False,0.39025,0.40025,0.6184,0.6324,0.28525,0.27325,observe_then_followup,True
26,26,Rainline,Vonn,False,0.39375,0.43875,0.6124,0.6444,0.28035,0.25235,limited_access,True
27,27,Rainline,Vonn,False,0.39375,0.42875,0.6124,0.6584,0.28035,0.24635,repair_first_access,True
28,28,Rainline,Vonn,False,0.39375,0.41175,0.6124,0.6324,0.28035,0.26235,summary_then_decide,True
29,29,Rainline,Vonn,True,0.39375,0.33875,0.6124,0.5724,0.28035,0.34035,blocked_until_repair,True
30,30,Rainline,Vonn,False,0.39375,0.40375,0.6124,0.6264,0.28035,0.26835,observe_then_followup,True
31,31,Hearthline,Sova,False,0.38725,0.43225,0.6196,0.6516,0.28905,0.26105,limited_access,True
32,32,Hearthline,Sova,False,0.38725,0.42225,0.6196,0.6656,0.28905,0.25505,repair_first_access,True
33,33,Hearthline,Sova,False,0.38725,0.40525,0.6196,0.6396,0.28905,0.27105,summary_then_decide,True
34,34,Hearthline,Sova,True,0.38725,0.33225,0.6196,0.5796,0.28905,0.34905,blocked_until_repair,True
35,35,Hearthline,Sova,False,0.38725,0.39725,0.6196,0.6336,0.28905,0.27705,observe_then_followup,True
36,36,Routeline,Keth,False,0.38625,0.43125,0.6076,0.6396,0.29045,0.26245,limited_access,True
37,37,Routeline,Keth,False,0.38625,0.42125,0.6076,0.6536,0.29045,0.25645,repair_first_access,True
38,38,Routeline,Keth,False,0.38625,0.40425,0.6076,0.6276,0.29045,0.27245,summary_then_decide,True
39,39,Routeline,Keth,True,0.38625,0.33125,0.6076,0.5676,0.29045,0.35045,blocked_until_repair,True
40,40,Routeline,Keth,False,0.38625,0.39625,0.6076,0.6216,0.29045,0.27845,observe_then_followup,True
41,41,Marketline,Melo,False,0.3845,0.4295,0.61,0.642,0.2929,0.2649,limited_access,True
42,42,Marketline,Melo,False,0.3845,0.4195,0.61,0.656,0.2929,0.2589,repair_first_access,True
43,43,Marketline,Melo,False,0.3845,0.4025,0.61,0.63,0.2929,0.2749,summary_then_decide,True
44,44,Marketline,Melo,True,0.3845,0.3295,0.61,0.57,0.2929,0.3529,blocked_until_repair,True
45,45,Marketline,Melo,False,0.3845,0.3945,0.61,0.624,0.2929,0.2809,observe_then_followup,True
46,46,Ledgerline,Nari,False,0.389,0.434,0.6052,0.6372,0.2866,0.2586,limited_access,True
47,47,Ledgerline,Nari,False,0.389,0.424,0.6052,0.6512,0.2866,0.2526,repair_first_access,True
48,48,Ledgerline,Nari,False,0.389,0.407,0.6052,0.6252,0.2866,0.2686,summary_then_decide,True
49,49,Ledgerline,Nari,True,0.389,0.334,0.6052,0.5652,0.2866,0.3466,blocked_until_repair,True
50,50,Ledgerline,Nari,False,0.389,0.399,0.6052,0.6192,0.2866,0.2746,observe_then_followup,True
51,51,Orchardline,Ori,False,0.38425,0.42925,0.6124,0.6444,0.29325,0.26525,limited_access,True
52,52,Orchardline,Ori,False,0.38425,0.41925,0.6124,0.6584,0.29325,0.25925,repair_first_access,True
53,53,Orchardline,Ori,False,0.38425,0.40225,0.6124,0.6324,0.29325,0.27525,summary_then_decide,True
54,54,Orchardline,Ori,True,0.38425,0.32925,0.6124,0.5724,0.29325,0.35325,blocked_until_repair,True
55,55,Orchardline,Ori,False,0.38425,0.39425,0.6124,0.6264,0.29325,0.28125,observe_then_followup,True
56,56,Rainline,Vonn,False,0.38775,0.43275,0.6064,0.6384,0.28835,0.26035,limited_access,True
57,57,Rainline,Vonn,False,0.38775,0.42275,0.6064,0.6524,0.28835,0.25435,repair_first_access,True
58,58,Rainline,Vonn,False,0.38775,0.40575,0.6064,0.6264,0.28835,0.27035,summary_then_decide,True
59,59,Rainline,Vonn,True,0.38775,0.33275,0.6064,0.5664,0.28835,0.34835,blocked_until_repair,True
60,60,Rainline,Vonn,False,0.38775,0.39775,0.6064,0.6204,0.28835,0.27635,observe_then_followup,True
61,61,Hearthline,Sova,False,0.38125,0.42625,0.6136,0.6456,0.29705,0.26905,limited_access,True
62,62,Hearthline,Sova,False,0.38125,0.41625,0.6136,0.6596,0.29705,0.26305,repair_first_access,True
63,63,Hearthline,Sova,False,0.38125,0.39925,0.6136,0.6336,0.29705,0.27905,summary_then_decide,True
64,64,Hearthline,Sova,True,0.38125,0.32625,0.6136,0.5736,0.29705,0.35705,blocked_until_repair,True
65,65,Hearthline,Sova,False,0.38125,0.39125,0.6136,0.6276,0.29705,0.28505,observe_then_followup,True
66,66,Routeline,Keth,False,0.38025,0.42525,0.6016,0.6336,0.29845,0.27045,limited_access,True
67,67,Routeline,Keth,False,0.38025,0.41525,0.6016,0.6476,0.29845,0.26445,repair_first_access,True
68,68,Routeline,Keth,False,0.38025,0.39825,0.6016,0.6216,0.29845,0.28045,summary_then_decide,True
69,69,Routeline,Keth,True,0.38025,0.32525,0.6016,0.5616,0.29845,0.35845,blocked_until_repair,True
70,70,Routeline,Keth,False,0.38025,0.39025,0.6016,0.6156,0.29845,0.28645,observe_then_followup,True
71,71,Marketline,Melo,False,0.3785,0.4235,0.604,0.636,0.3009,0.2729,limited_access,True
