schedule_id,choice_id,day,lineage,agent,schedule_before,schedule_after,delay_minutes,work_progress_delta,care_pause_minutes,schedule_branch_reason
1,1,6,Hearthline,Sova,Sova had post-absence hearth ceramics work queued,limited_access: schedule branches with delay 10 and progress delta 0.020,10,0.02,4,accept_limited_access
2,2,6,Hearthline,Sova,Sova had post-absence hearth ceramics work queued,repair_first_access: schedule branches with delay 16 and progress delta 0.034,16,0.034,8,repair_before_access
3,3,6,Hearthline,Sova,Sova had post-absence hearth ceramics work queued,summary_then_decide: schedule branches with delay 6 and progress delta 0.010,6,0.01,2,request_public_summary_before_choice
4,4,6,Hearthline,Sova,Sova had post-absence hearth ceramics work queued,blocked_until_repair: schedule branches with delay 34 and progress delta -0.018,34,-0.018,10,resume_old_access_pressure
5,5,6,Hearthline,Sova,Sova had post-absence hearth ceramics work queued,observe_then_followup: schedule branches with delay 2 and progress delta 0.006,2,0.006,0,wait_observe_new_routine
6,6,6,Routeline,Keth,Keth had post-absence stone bridge joints work queued,limited_access: schedule branches with delay 10 and progress delta 0.020,10,0.02,4,accept_limited_access
7,7,6,Routeline,Keth,Keth had post-absence stone bridge joints work queued,repair_first_access: schedule branches with delay 16 and progress delta 0.034,16,0.034,8,repair_before_access
8,8,6,Routeline,Keth,Keth had post-absence stone bridge joints work queued,summary_then_decide: schedule branches with delay 6 and progress delta 0.010,6,0.01,2,request_public_summary_before_choice
9,9,6,Routeline,Keth,Keth had post-absence stone bridge joints work queued,blocked_until_repair: schedule branches with delay 34 and progress delta -0.018,34,-0.018,10,resume_old_access_pressure
10,10,6,Routeline,Keth,Keth had post-absence stone bridge joints work queued,observe_then_followup: schedule branches with delay 2 and progress delta 0.006,2,0.006,0,wait_observe_new_routine
11,11,6,Marketline,Melo,Melo had post-absence measure weights work queued,limited_access: schedule branches with delay 10 and progress delta 0.020,10,0.02,4,accept_limited_access
12,12,6,Marketline,Melo,Melo had post-absence measure weights work queued,repair_first_access: schedule branches with delay 16 and progress delta 0.034,16,0.034,8,repair_before_access
