restore_id,choice_id,lineage,selected_branch_label,snapshot_hash,restore_hash,branch_survives_reload,schedule_restored,access_restored,trust_restored,followup_restored,private_trace_still_hidden
1,1,Hearthline,limited_access,57b2df5549792cbf,05b1680b02f40de9,True,True,True,True,True,True
2,2,Hearthline,repair_first_access,3bf4d1ecd419c469,d58f852ad616de89,True,True,True,True,True,True
3,3,Hearthline,summary_then_decide,fbed72cdf0f2e3ff,5236ac25ca8bde51,True,True,True,True,True,True
4,4,Hearthline,blocked_until_repair,5bab16b79eb5f62f,a2a894696ad5a147,True,True,True,True,True,True
5,5,Hearthline,observe_then_followup,d3917b0cab2594fc,ca1df9b9a4569ca3,True,True,True,True,True,True
6,6,Routeline,limited_access,03643c0bb441e40c,2c1b4248fe6099fd,True,True,True,True,True,True
7,7,Routeline,repair_first_access,4675892df18d5f01,5cdfdec313fb57c7,True,True,True,True,True,True
8,8,Routeline,summary_then_decide,39e6f3ff21422600,ac5625ad58ec7b0b,True,True,True,True,True,True
9,9,Routeline,blocked_until_repair,e3bb9e5e1c06f823,a01f21fcb9f7d831,True,True,True,True,True,True
10,10,Routeline,observe_then_followup,c4189d3e8c070caa,5a7d95f9e4f8446d,True,True,True,True,True,True
11,11,Marketline,limited_access,8195626ece8fb68d,33622f82d591661a,True,True,True,True,True,True
12,12,Marketline,repair_first_access,0ea18b72a955411c,01dc9099bf453d6c,True,True,True,True,True,True
13,13,Marketline,summary_then_decide,d12c1da74e3830b4,2ad44363c9ac5da2,True,True,True,True,True,True
14,14,Marketline,blocked_until_repair,feee9aadfc109f3b,86c22ef8ad8dfbd0,True,True,True,True,True,True
15,15,Marketline,observe_then_followup,3d5e1633199321da,b710eb7827c5e4be,True,True,True,True,True,True
16,16,Ledgerline,limited_access,564b7caa55b8a03f,72fcb8531be2b69f,True,True,True,True,True,True
17,17,Ledgerline,repair_first_access,64d9ffdc5f14da3e,c825dfb0c9651017,True,True,True,True,True,True
18,18,Ledgerline,summary_then_decide,07c6cd80efee6153,e712e7a628f0efab,True,True,True,True,True,True
19,19,Ledgerline,blocked_until_repair,22cbb783098063e5,f740ce5bb69e2a93,True,True,True,True,True,True
20,20,Ledgerline,observe_then_followup,e015cdd222f7b5d1,d0c0f2303dcf6d91,True,True,True,True,True,True
21,21,Orchardline,limited_access,ed1fb0d4b08cd938,c440986d718d7e89,True,True,True,True,True,True
22,22,Orchardline,repair_first_access,39a6b3ed4ca66551,d1fa017bf3679475,True,True,True,True,True,True
23,23,Orchardline,summary_then_decide,a00cd2d17567d725,aafc8ab0481b5a52,True,True,True,True,True,True
24,24,Orchardline,blocked_until_repair,35ee2deaea99ffda,5f84df78f026d4eb,True,True,True,True,True,True
25,25,Orchardline,observe_then_followup,1076db13e8d837e9,53d1a9a51c716f9d,True,True,True,True,True,True
26,26,Rainline,limited_access,2c68fb21cec1d186,c57595a48e64dec4,True,True,True,True,True,True
27,27,Rainline,repair_first_access,e103fd5273ce9998,f5c8751d80bafa2e,True,True,True,True,True,True
28,28,Rainline,summary_then_decide,a2553bb4da59743e,f6bceb98bec7895f,True,True,True,True,True,True
29,29,Rainline,blocked_until_repair,d920bc9728420d30,3fa96ab0b9d1c3fc,True,True,True,True,True,True
30,30,Rainline,observe_then_followup,a1302345d50dc180,82c2642a30f92591,True,True,True,True,True,True
31,31,Hearthline,limited_access,a6337366de9788ac,3f4371401cbbcc15,True,True,True,True,True,True
32,32,Hearthline,repair_first_access,86e7db95526f2605,adb07b3bd479ced3,True,True,True,True,True,True
33,33,Hearthline,summary_then_decide,98901f590dc45746,2c79a4039a31c49a,True,True,True,True,True,True
34,34,Hearthline,blocked_until_repair,baf3b13d8e18b2c0,0f3e111c83652bb3,True,True,True,True,True,True
35,35,Hearthline,observe_then_followup,8d5ed6f4003d0a67,93ab912e3ca05898,True,True,True,True,True,True
36,36,Routeline,limited_access,54dd7110798e53b7,292f5521774f0dac,True,True,True,True,True,True
37,37,Routeline,repair_first_access,4597e8007b926c3e,62077aeacb3cd59b,True,True,True,True,True,True
38,38,Routeline,summary_then_decide,e3e91d6abfc886e2,8951d4e46bb90a6f,True,True,True,True,True,True
39,39,Routeline,blocked_until_repair,1c24e794ec8bcabb,1c02673847deeebb,True,True,True,True,True,True
40,40,Routeline,observe_then_followup,98c925a14cdead75,a1d28dcd227e5958,True,True,True,True,True,True
41,41,Marketline,limited_access,b95f1da823255f28,cfd5ee03627d2826,True,True,True,True,True,True
42,42,Marketline,repair_first_access,7049f7f791bc003b,57f19b1a0e942132,True,True,True,True,True,True
43,43,Marketline,summary_then_decide,e76804607524f6e0,8458c25a8352604d,True,True,True,True,True,True
44,44,Marketline,blocked_until_repair,8273238f5413d38e,feab23a151311cdf,True,True,True,True,True,True
45,45,Marketline,observe_then_followup,192703f703472cdb,5d64485b9de785f5,True,True,True,True,True,True
46,46,Ledgerline,limited_access,85f0870099e971a4,5fe906b964f7f6bc,True,True,True,True,True,True
47,47,Ledgerline,repair_first_access,558487ac47832698,809aeb9c637fd7eb,True,True,True,True,True,True
48,48,Ledgerline,summary_then_decide,7e1c878582499c2a,481b7df8ad255126,True,True,True,True,True,True
49,49,Ledgerline,blocked_until_repair,6e74d2a75c442073,00513d7b31d566fa,True,True,True,True,True,True
50,50,Ledgerline,observe_then_followup,f22d1a63607dfac7,955c29f183dac02f,True,True,True,True,True,True
51,51,Orchardline,limited_access,165c22aaf90dd62b,df2ca3f9f0bf4f7d,True,True,True,True,True,True
52,52,Orchardline,repair_first_access,0f0e5e4886515083,016d9029f0d2ec62,True,True,True,True,True,True
53,53,Orchardline,summary_then_decide,1646f07002b3af51,8c4daf7c0f813731,True,True,True,True,True,True
54,54,Orchardline,blocked_until_repair,a96297b555551876,e88018b3628dfc35,True,True,True,True,True,True
55,55,Orchardline,observe_then_followup,b638ce9b3cb6ec1d,b02a5493f6a82eb4,True,True,True,True,True,True
56,56,Rainline,limited_access,845ed8ad263f5bbe,896e75e831d63ead,True,True,True,True,True,True
57,57,Rainline,repair_first_access,a38527e978c86621,fb5b29320e589b89,True,True,True,True,True,True
58,58,Rainline,summary_then_decide,b6209c9ed1c8963f,52ce0c0aced7adab,True,True,True,True,True,True
59,59,Rainline,blocked_until_repair,ceee8ed657093806,2f7d0fcf10559e21,True,True,True,True,True,True
60,60,Rainline,observe_then_followup,477d7567a37087f2,30f562234a64feb5,True,True,True,True,True,True
61,61,Hearthline,limited_access,5190cabc2bad77e1,8df627c9863e0a71,True,True,True,True,True,True
62,62,Hearthline,repair_first_access,2bea794d36ea68fa,781aacd4700a0d6e,True,True,True,True,True,True
63,63,Hearthline,summary_then_decide,297e05cfb3d7f898,e93d2361893f6481,True,True,True,True,True,True
