tick,day,replay_id,conflict_id,includes_pre_conflict_state,includes_selected_branches,includes_arbitration_reason,includes_reload_restore_state,includes_partial_rollback_state,deterministic_order,replay_integrity_score
0,1,v15-replay-01-000,v15-watch-01-000,1,1,1,1,1,1,1.0
1,1,v15-replay-01-001,v15-conflict-01-001,1,1,1,1,1,1,1.0
2,1,v15-replay-01-002,v15-conflict-01-002,1,1,1,0,1,1,0.96
3,1,v15-replay-01-003,v15-conflict-01-003,1,1,1,1,1,1,1.0
4,1,v15-replay-01-004,v15-conflict-01-004,1,1,1,1,1,1,1.0
5,1,v15-replay-01-005,v15-conflict-01-005,1,1,1,1,1,1,1.0
6,1,v15-replay-01-006,v15-conflict-01-006,1,1,1,0,1,1,0.96
7,1,v15-replay-01-007,v15-watch-01-007,1,1,1,1,1,1,1.0
8,2,v15-replay-02-008,v15-conflict-02-008,1,1,1,1,1,1,1.0
9,2,v15-replay-02-009,v15-conflict-02-009,1,1,1,1,1,1,1.0
10,2,v15-replay-02-010,v15-conflict-02-010,1,1,1,0,1,1,0.96
11,2,v15-replay-02-011,v15-conflict-02-011,1,1,1,1,1,1,1.0
12,2,v15-replay-02-012,v15-conflict-02-012,1,1,1,1,1,1,1.0
13,2,v15-replay-02-013,v15-conflict-02-013,1,1,1,1,1,1,1.0
14,2,v15-replay-02-014,v15-watch-02-014,1,1,1,0,1,1,0.96
15,2,v15-replay-02-015,v15-conflict-02-015,1,1,1,1,1,1,1.0
16,3,v15-replay-03-016,v15-conflict-03-016,1,1,1,1,1,1,1.0
17,3,v15-replay-03-017,v15-conflict-03-017,1,1,1,1,1,1,1.0
18,3,v15-replay-03-018,v15-conflict-03-018,1,1,1,0,1,1,0.96
19,3,v15-replay-03-019,v15-conflict-03-019,1,1,0,1,1,1,0.97
20,3,v15-replay-03-020,v15-conflict-03-020,1,1,1,1,1,1,1.0
21,3,v15-replay-03-021,v15-watch-03-021,1,1,1,1,1,1,1.0
22,3,v15-replay-03-022,v15-conflict-03-022,1,1,1,0,1,1,0.96
23,3,v15-replay-03-023,v15-conflict-03-023,1,1,1,1,1,1,1.0
24,4,v15-replay-04-024,v15-conflict-04-024,1,1,1,1,1,1,1.0
25,4,v15-replay-04-025,v15-conflict-04-025,1,1,1,1,1,1,1.0
26,4,v15-replay-04-026,v15-conflict-04-026,1,1,1,0,1,1,0.96
27,4,v15-replay-04-027,v15-conflict-04-027,1,1,1,1,1,1,1.0
28,4,v15-replay-04-028,v15-watch-04-028,1,1,1,1,1,1,1.0
29,4,v15-replay-04-029,v15-conflict-04-029,1,1,1,1,1,1,1.0
30,4,v15-replay-04-030,v15-conflict-04-030,1,1,1,0,1,1,0.96
31,4,v15-replay-04-031,v15-conflict-04-031,1,1,1,1,1,1,1.0
32,5,v15-replay-05-032,v15-conflict-05-032,1,1,1,1,1,1,1.0
33,5,v15-replay-05-033,v15-conflict-05-033,1,1,1,1,1,1,1.0
34,5,v15-replay-05-034,v15-conflict-05-034,1,1,1,0,1,1,0.96
35,5,v15-replay-05-035,v15-watch-05-035,1,1,1,1,1,1,1.0
36,5,v15-replay-05-036,v15-conflict-05-036,1,1,1,1,1,1,1.0
37,5,v15-replay-05-037,v15-conflict-05-037,1,1,1,1,1,1,1.0
38,5,v15-replay-05-038,v15-conflict-05-038,1,1,0,0,1,1,0.93
39,5,v15-replay-05-039,v15-conflict-05-039,1,1,1,1,1,1,1.0
40,6,v15-replay-06-040,v15-conflict-06-040,1,1,1,1,1,1,1.0
41,6,v15-replay-06-041,v15-conflict-06-041,1,1,1,0,0,1,0.91
42,6,v15-replay-06-042,v15-watch-06-042,1,1,1,0,1,1,0.96
43,6,v15-replay-06-043,v15-conflict-06-043,1,1,1,1,1,1,1.0
44,6,v15-replay-06-044,v15-conflict-06-044,1,1,1,1,1,1,1.0
45,6,v15-replay-06-045,v15-conflict-06-045,1,1,1,1,1,1,1.0
46,6,v15-replay-06-046,v15-conflict-06-046,1,1,1,0,1,1,0.96
