tick,day,conflict_id,remembering_agent,remembered_decision,days_since_decision,memory_weight,gratitude_delta,resentment_delta,trust_delta,memory_reused_in_choice,sealed_private_workspace
0,1,v16-conflict-d01-t00,Keth,defer_until_rest,0,0.988,0.08,0.15,-0.07,0,1
1,1,v16-conflict-d01-t01,Ori,split_access,0,0.96,0.08,0.03,0.075,0,1
2,1,v16-conflict-d01-t02,Nari,defer_until_rest,0,0.96,0.08,0.15,-0.045,0,1
3,1,v16-conflict-d01-t03,Sova,ask_public_reason,0,0.988,0.08,0.03,0.075,0,1
4,1,v16-conflict-d01-t04,Vonn,ask_public_reason,0,0.96,0.08,0.03,0.075,0,1
5,1,v16-conflict-d01-t05,Melo,split_access,0,0.96,0.08,0.03,0.075,0,1
6,1,v16-conflict-d01-t06,Keth,defer_until_rest,0,0.988,0.08,0.15,-0.07,0,1
7,1,v16-conflict-d01-t07,Ori,ask_public_reason,0,0.96,0.08,0.03,0.075,0,1
8,1,v16-conflict-d01-t08,Nari,defer_until_rest,0,0.96,0.08,0.15,-0.045,0,1
9,1,v16-conflict-d01-t09,Sova,rotate_priority,0,0.988,0.08,0.15,-0.045,0,1
10,1,v16-conflict-d01-t10,Vonn,repair_first,0,0.96,0.21,0.03,0.205,0,1
11,1,v16-conflict-d01-t11,Melo,protect_boundary,0,0.96,0.21,0.03,0.205,0,1
12,2,v16-conflict-d01-t03,Melo,ask_public_reason,1,0.966,0.055,0.015,0.065,1,1
13,2,v16-conflict-d01-t04,Vonn,ask_public_reason,1,0.938,0.055,0.015,0.065,1,1
14,2,v16-conflict-d01-t05,Ori,split_access,1,0.938,0.055,0.015,0.065,1,1
15,2,v16-conflict-d01-t07,Keth,ask_public_reason,1,0.966,0.055,0.015,0.065,1,1
16,2,v16-conflict-d01-t08,Sova,defer_until_rest,1,0.938,0.055,0.135,-0.055,1,1
17,2,v16-conflict-d01-t09,Nari,rotate_priority,1,0.938,0.055,0.135,-0.08,0,1
18,2,v16-conflict-d01-t10,Melo,repair_first,1,0.966,0.185,0.015,0.195,1,1
19,2,v16-conflict-d01-t11,Vonn,protect_boundary,1,0.938,0.185,0.015,0.195,1,1
20,2,v16-conflict-d01-t01,Ori,split_access,1,0.938,0.055,0.015,0.065,1,1
21,2,v16-conflict-d01-t02,Keth,defer_until_rest,1,0.966,0.055,0.135,-0.055,1,1
22,2,v16-conflict-d01-t03,Sova,ask_public_reason,1,0.938,0.055,0.015,0.065,1,1
23,2,v16-conflict-d01-t04,Nari,ask_public_reason,1,0.938,0.055,0.015,0.04,1,1
24,3,v16-conflict-d01-t05,Nari,split_access,2,0.944,0.03,0.0,0.055,1,1
25,3,v16-conflict-d01-t07,Sova,ask_public_reason,2,0.916,0.03,0.0,0.055,1,1
26,3,v16-conflict-d01-t08,Vonn,defer_until_rest,2,0.916,0.03,0.12,-0.065,1,1
27,3,v16-conflict-d01-t09,Melo,rotate_priority,2,0.944,0.03,0.12,-0.065,1,1
28,3,v16-conflict-d01-t10,Keth,repair_first,2,0.916,0.16,0.0,0.185,1,1
