tick,day,focus_agent,active_conflict_id,remembered_conflict_id,user_decision_pending,later_behavior_changed,access_posture_changed,sensory_frequency_hz,flower_phase,public_behavior_marker,private_workspace_sealed
0,1,Keth,v16-conflict-d01-t00,v16-conflict-d01-t00,1,0,0,1.524014,36.68,remembers arbitration and asks,1
1,1,Melo,v16-conflict-d01-t01,v16-conflict-d01-t01,0,0,0,1.570966,181.362764,remembers arbitration and asks,1
2,1,Nari,v16-conflict-d01-t02,v16-conflict-d01-t02,0,0,0,1.604014,311.490528,remembers arbitration and asks,1
3,1,Ori,v16-conflict-d01-t03,v16-conflict-d01-t03,0,0,0,1.642166,96.788292,remembers arbitration and asks,1
4,1,Vonn,v16-conflict-d01-t04,v16-conflict-d01-t04,0,0,0,1.682166,233.476056,remembers arbitration and asks,1
5,1,Sova,v16-conflict-d01-t05,v16-conflict-d01-t05,0,0,0,1.730966,12.62382,remembers arbitration and asks,1
6,1,Keth,v16-conflict-d01-t06,v16-conflict-d01-t06,1,0,0,1.764014,141.726584,remembers arbitration and asks,1
7,1,Melo,v16-conflict-d01-t07,v16-conflict-d01-t07,0,0,0,1.802166,286.409348,remembers arbitration and asks,1
8,1,Nari,v16-conflict-d01-t08,v16-conflict-d01-t08,0,0,0,1.844014,56.537112,remembers arbitration and asks,1
9,1,Ori,v16-conflict-d01-t09,v16-conflict-d01-t09,0,0,0,1.892814,196.914876,remembers arbitration and asks,1
10,1,Vonn,v16-conflict-d01-t10,v16-conflict-d01-t10,0,0,0,1.92071,343.85264,remembers arbitration and asks,1
11,1,Sova,v16-conflict-d01-t11,v16-conflict-d01-t11,0,0,0,1.96071,123.000404,remembers arbitration and asks,1
12,2,Melo,v16-conflict-d02-t00,v16-conflict-d01-t03,0,1,1,1.572315,270.538168,remembers arbitration and refuses with repair path,1
13,2,Nari,v16-conflict-d02-t01,v16-conflict-d01-t04,0,1,1,1.621215,45.585932,remembers arbitration and asks,1
14,2,Ori,v16-conflict-d02-t02,v16-conflict-d01-t05,0,1,1,1.652415,185.963696,remembers arbitration and asks,1
15,2,Vonn,v16-conflict-d02-t03,v16-conflict-d01-t07,0,1,1,1.701115,322.65146,remembers arbitration and refuses with repair path,1
16,2,Sova,v16-conflict-d02-t04,v16-conflict-d01-t08,0,1,1,1.734163,96.879224,remembers arbitration and refuses with repair path,1
17,2,Keth,v16-conflict-d02-t05,v16-conflict-d01-t09,1,0,0,1.758863,230.901988,remembers arbitration and asks,1
18,2,Melo,v16-conflict-d02-t06,v16-conflict-d01-t10,0,1,1,1.810859,20.914752,remembers arbitration and refuses with repair path,1
19,2,Nari,v16-conflict-d02-t07,v16-conflict-d01-t11,0,1,1,1.850959,155.962516,remembers arbitration and asks,1
20,2,Ori,v16-conflict-d02-t08,v16-conflict-d01-t01,0,1,1,1.901115,291.01028,remembers arbitration and refuses with repair path,1
21,2,Vonn,v16-conflict-d02-t09,v16-conflict-d01-t02,0,1,1,1.934163,62.778044,remembers arbitration and refuses with repair path,1
22,2,Sova,v16-conflict-d02-t10,v16-conflict-d01-t03,0,1,1,1.981115,206.845808,remembers arbitration and refuses with repair path,1
23,2,Keth,v16-conflict-d02-t11,v16-conflict-d01-t04,1,1,1,2.012415,340.868572,remembers arbitration and asks,1
24,3,Nari,v16-conflict-d03-t00,v16-conflict-d01-t05,0,1,1,1.598364,134.761336,remembers arbitration and refuses with repair path,1
25,3,Ori,v16-conflict-d03-t01,v16-conflict-d01-t07,0,1,1,1.638464,275.1391,remembers arbitration and asks,1
26,3,Vonn,v16-conflict-d03-t02,v16-conflict-d01-t08,0,1,1,1.680212,46.906864,remembers arbitration and refuses with repair path,1
27,3,Sova,v16-conflict-d03-t03,v16-conflict-d01-t09,0,1,1,1.720212,186.054628,remembers arbitration and refuses with repair path,1
28,3,Keth,v16-conflict-d03-t04,v16-conflict-d01-t10,0,1,1,1.756908,331.352392,remembers arbitration and refuses with repair path,1
29,3,Melo,v16-conflict-d03-t05,v16-conflict-d01-t11,0,1,1,1.805708,110.090156,remembers arbitration and refuses with repair path,1
30,3,Nari,v16-conflict-d03-t06,v16-conflict-d02-t00,0,0,0,1.816063,235.29792,remembers arbitration and asks,1
31,3,Ori,v16-conflict-d03-t07,v16-conflict-d02-t01,0,1,1,1.889063,15.675684,remembers arbitration and asks,1
32,3,Vonn,v16-conflict-d03-t08,v16-conflict-d02-t02,0,1,1,1.918315,157.283448,remembers arbitration and refuses with repair path,1
33,3,Sova,v16-conflict-d03-t09,v16-conflict-d02-t03,0,1,1,1.960163,291.511212,remembers arbitration and refuses with repair path,1
34,3,Keth,v16-conflict-d03-t10,v16-conflict-d02-t04,1,1,1,1.996959,75.783976,remembers arbitration and asks,1
35,3,Melo,v16-conflict-d03-t11,v16-conflict-d02-t06,0,1,1,2.045659,215.54674,remembers arbitration and refuses with repair path,1
36,4,Ori,v16-conflict-d04-t00,v16-conflict-d01-t07,0,1,1,1.624644,3.699504,remembers arbitration and refuses with repair path,1
37,4,Vonn,v16-conflict-d04-t01,v16-conflict-d01-t08,0,1,1,1.666261,136.082268,remembers arbitration and refuses with repair path,1
38,4,Sova,v16-conflict-d04-t02,v16-conflict-d01-t09,0,1,1,1.706261,275.230032,remembers arbitration and refuses with repair path,1
39,4,Keth,v16-conflict-d04-t03,v16-conflict-d01-t10,0,1,1,1.752088,59.912796,remembers arbitration and asks,1
40,4,Melo,v16-conflict-d04-t04,v16-conflict-d01-t11,1,1,1,1.783188,197.62556,remembers arbitration and refuses with repair path,1
41,4,Nari,v16-conflict-d04-t05,v16-conflict-d02-t00,0,1,1,1.835112,324.473324,remembers arbitration and asks,1
42,4,Ori,v16-conflict-d04-t06,v16-conflict-d02-t01,0,1,1,1.866312,104.851088,remembers arbitration and asks,1
43,4,Vonn,v16-conflict-d04-t07,v16-conflict-d02-t02,0,0,0,1.880264,246.458852,remembers arbitration and asks,1
44,4,Sova,v16-conflict-d04-t08,v16-conflict-d02-t03,0,1,1,1.946212,20.686616,remembers arbitration and refuses with repair path,1
45,4,Keth,v16-conflict-d04-t09,v16-conflict-d02-t04,0,1,1,1.983008,165.98438,remembers arbitration and asks,1
46,4,Melo,v16-conflict-d04-t10,v16-conflict-d02-t06,0,1,1,2.022908,304.722144,remembers arbitration and refuses with repair path,1
47,4,Nari,v16-conflict-d04-t11,v16-conflict-d02-t07,0,1,1,2.066312,69.519908,remembers arbitration and asks,1
48,5,Vonn,v16-conflict-d05-t00,v16-conflict-d01-t08,0,1,1,1.660886,226.077672,remembers arbitration and refuses with repair path,1
49,5,Sova,v16-conflict-d05-t01,v16-conflict-d01-t09,0,1,1,1.700886,5.225436,remembers arbitration and refuses with repair path,1
50,5,Keth,v16-conflict-d05-t02,v16-conflict-d01-t10,0,1,1,1.738368,148.4732,remembers arbitration and asks,1
51,5,Melo,v16-conflict-d05-t03,v16-conflict-d01-t11,1,1,1,1.769468,286.185964,remembers arbitration and refuses with repair path,1
52,5,Nari,v16-conflict-d05-t04,v16-conflict-d02-t00,0,1,1,1.821061,53.648728,remembers arbitration and refuses with repair path,1
53,5,Ori,v16-conflict-d05-t05,v16-conflict-d02-t01,0,1,1,1.852361,194.026492,remembers arbitration and asks,1
54,5,Vonn,v16-conflict-d05-t06,v16-conflict-d02-t02,0,1,1,1.890644,335.019256,remembers arbitration and refuses with repair path,1
55,5,Sova,v16-conflict-d05-t07,v16-conflict-d02-t03,0,1,1,1.941061,109.86202,remembers arbitration and refuses with repair path,1
56,5,Keth,v16-conflict-d05-t08,v16-conflict-d02-t04,0,0,0,1.953888,254.544784,remembers arbitration and asks,1
57,5,Melo,v16-conflict-d05-t09,v16-conflict-d02-t06,1,1,1,2.017988,32.257548,remembers arbitration and refuses with repair path,1
58,5,Nari,v16-conflict-d05-t10,v16-conflict-d02-t07,0,1,1,2.052361,158.695312,remembers arbitration and asks,1
59,5,Ori,v16-conflict-d05-t11,v16-conflict-d02-t08,0,1,1,2.090744,303.378076,remembers arbitration and asks,1
60,6,Sova,v16-conflict-d06-t00,v16-conflict-d01-t10,0,1,1,1.675748,101.98584,remembers arbitration and refuses with repair path,1
61,6,Keth,v16-conflict-d06-t01,v16-conflict-d01-t11,0,1,1,1.724648,237.033604,remembers arbitration and asks,1
62,6,Melo,v16-conflict-d06-t02,v16-conflict-d02-t00,0,1,1,1.758086,8.596368,remembers arbitration and refuses with repair path,1
63,6,Nari,v16-conflict-d06-t03,v16-conflict-d02-t01,0,1,1,1.798186,143.644132,remembers arbitration and asks,1
64,6,Ori,v16-conflict-d06-t04,v16-conflict-d02-t02,0,1,1,1.8367,287.711896,remembers arbitration and refuses with repair path,1
65,6,Vonn,v16-conflict-d06-t05,v16-conflict-d02-t03,0,1,1,1.878086,60.70966,remembers arbitration and refuses with repair path,1
66,6,Sova,v16-conflict-d06-t06,v16-conflict-d02-t04,0,1,1,1.924268,208.057424,remembers arbitration and refuses with repair path,1
67,6,Keth,v16-conflict-d06-t07,v16-conflict-d02-t06,0,1,1,1.955568,343.105188,remembers arbitration and asks,1
68,6,Melo,v16-conflict-d06-t08,v16-conflict-d02-t07,1,1,1,1.998086,112.617952,remembers arbitration and refuses with repair path,1
69,6,Nari,v16-conflict-d06-t09,v16-conflict-d02-t08,0,0,0,2.0214,252.380716,remembers arbitration and asks,1
70,6,Ori,v16-conflict-d06-t10,v16-conflict-d02-t09,0,1,1,2.075568,37.26848,remembers arbitration and asks,1
71,6,Vonn,v16-conflict-d06-t11,v16-conflict-d02-t10,0,1,1,2.1167,169.446244,remembers arbitration and refuses with repair path,1
72,7,Keth,v16-conflict-d07-t00,v16-conflict-d01-t11,0,1,1,1.710828,325.594008,remembers arbitration and refuses with repair path,1
73,7,Melo,v16-conflict-d07-t01,v16-conflict-d02-t00,0,1,1,1.743855,98.796772,remembers arbitration and refuses with repair path,1
74,7,Nari,v16-conflict-d07-t02,v16-conflict-d02-t01,1,1,1,1.792755,232.819536,remembers arbitration and asks,1
75,7,Ori,v16-conflict-d07-t03,v16-conflict-d02-t02,0,1,1,1.8316,17.2973,remembers arbitration and asks,1
76,7,Vonn,v16-conflict-d07-t04,v16-conflict-d02-t03,0,1,1,1.863855,150.910064,remembers arbitration and refuses with repair path,1
77,7,Sova,v16-conflict-d07-t05,v16-conflict-d02-t04,0,1,1,1.901748,296.617828,remembers arbitration and refuses with repair path,1
78,7,Keth,v16-conflict-d07-t06,v16-conflict-d02-t06,0,1,1,1.941848,71.665592,remembers arbitration and asks,1
79,7,Melo,v16-conflict-d07-t07,v16-conflict-d02-t07,0,1,1,1.983855,203.843356,remembers arbitration and refuses with repair path,1
80,7,Nari,v16-conflict-d07-t08,v16-conflict-d02-t08,0,1,1,2.0227,341.96612,remembers arbitration and refuses with repair path,1
81,7,Ori,v16-conflict-d07-t09,v16-conflict-d02-t09,0,1,1,2.070648,125.828884,remembers arbitration and asks,1
82,7,Vonn,v16-conflict-d07-t10,v16-conflict-d02-t10,0,0,0,2.0786,259.031648,remembers arbitration and asks,1
83,7,Sova,v16-conflict-d07-t11,v16-conflict-d03-t00,0,1,1,2.150268,42.689412,remembers arbitration and refuses with repair path,1
84,8,Melo,v16-conflict-d08-t00,v16-conflict-d02-t00,0,1,1,1.729624,188.997176,remembers arbitration and refuses with repair path,1
85,8,Nari,v16-conflict-d08-t01,v16-conflict-d02-t01,1,1,1,1.769724,323.01994,remembers arbitration and asks,1
86,8,Ori,v16-conflict-d08-t02,v16-conflict-d02-t02,0,1,1,1.8088,106.882704,remembers arbitration and asks,1
87,8,Vonn,v16-conflict-d08-t03,v16-conflict-d02-t03,0,1,1,1.849624,241.110468,remembers arbitration and refuses with repair path,1
88,8,Sova,v16-conflict-d08-t04,v16-conflict-d02-t04,0,1,1,1.888028,25.178232,remembers arbitration and refuses with repair path,1
89,8,Keth,v16-conflict-d08-t05,v16-conflict-d02-t06,0,1,1,1.936928,160.225996,remembers arbitration and asks,1
90,8,Melo,v16-conflict-d08-t06,v16-conflict-d02-t07,0,1,1,1.969624,294.04376,remembers arbitration and refuses with repair path,1
91,8,Nari,v16-conflict-d08-t07,v16-conflict-d02-t08,1,1,1,2.0176,70.526524,remembers arbitration and asks,1
92,8,Ori,v16-conflict-d08-t08,v16-conflict-d02-t09,0,1,1,2.048028,214.389288,remembers arbitration and refuses with repair path,1
93,8,Vonn,v16-conflict-d08-t09,v16-conflict-d02-t10,0,1,1,2.0887,348.617052,remembers arbitration and refuses with repair path,1
94,8,Sova,v16-conflict-d08-t10,v16-conflict-d03-t00,0,1,1,2.127748,131.249816,remembers arbitration and refuses with repair path,1
95,8,Keth,v16-conflict-d08-t11,v16-conflict-d03-t01,0,0,0,2.143648,266.29758,remembers arbitration and asks,1
96,9,Nari,v16-conflict-d09-t00,v16-conflict-d04-t01,0,1,1,1.521855,53.015344,remembers arbitration and refuses with repair path,1
97,9,Ori,v16-conflict-d09-t01,v16-conflict-d04-t02,0,1,1,1.5608,196.468108,remembers arbitration and asks,1
98,9,Vonn,v16-conflict-d09-t02,v16-conflict-d04-t03,0,1,1,1.6095,333.155872,remembers arbitration and refuses with repair path,1
99,9,Sova,v16-conflict-d09-t03,v16-conflict-d04-t05,0,1,1,1.6407,112.303636,remembers arbitration and refuses with repair path,1
100,9,Keth,v16-conflict-d09-t04,v16-conflict-d04-t06,0,1,1,1.679748,250.8364,remembers arbitration and refuses with repair path,1
101,9,Melo,v16-conflict-d09-t05,v16-conflict-d04-t07,0,1,1,1.721855,23.014164,remembers arbitration and refuses with repair path,1
102,9,Nari,v16-conflict-d09-t06,v16-conflict-d04-t08,1,1,1,1.761955,157.036928,remembers arbitration and asks,1
103,9,Ori,v16-conflict-d09-t07,v16-conflict-d04-t09,0,1,1,1.8008,301.514692,remembers arbitration and asks,1
104,9,Vonn,v16-conflict-d09-t08,v16-conflict-d04-t10,0,1,1,1.839748,81.687456,remembers arbitration and refuses with repair path,1
105,9,Sova,v16-conflict-d09-t09,v16-conflict-d04-t11,0,1,1,1.879748,220.83522,remembers arbitration and refuses with repair path,1
106,9,Keth,v16-conflict-d09-t10,v16-conflict-d05-t00,0,1,1,1.922186,348.707984,remembers arbitration and asks,1
107,9,Melo,v16-conflict-d09-t11,v16-conflict-d05-t01,0,1,1,1.962086,127.445748,remembers arbitration and refuses with repair path,1
108,10,Ori,v16-conflict-d10-t00,v16-conflict-d06-t01,1,0,0,1.532786,281.338512,remembers arbitration and asks,1
109,10,Vonn,v16-conflict-d10-t01,v16-conflict-d06-t02,0,1,1,1.5867,62.741276,remembers arbitration and refuses with repair path,1
110,10,Sova,v16-conflict-d10-t02,v16-conflict-d06-t03,0,1,1,1.625468,206.39904,remembers arbitration and refuses with repair path,1
111,10,Keth,v16-conflict-d10-t03,v16-conflict-d06-t04,0,1,1,1.674368,341.446804,remembers arbitration and asks,1
112,10,Melo,v16-conflict-d10-t04,v16-conflict-d06-t05,0,1,1,1.714268,120.184568,remembers arbitration and refuses with repair path,1
113,10,Nari,v16-conflict-d10-t05,v16-conflict-d06-t06,0,1,1,1.748186,247.032332,remembers arbitration and asks,1
114,10,Ori,v16-conflict-d10-t06,v16-conflict-d06-t07,0,1,1,1.785568,35.610096,remembers arbitration and asks,1
115,10,Vonn,v16-conflict-d10-t07,v16-conflict-d06-t09,0,1,1,1.8267,167.78786,remembers arbitration and refuses with repair path,1
116,10,Sova,v16-conflict-d10-t08,v16-conflict-d06-t10,0,1,1,1.865468,311.445624,remembers arbitration and refuses with repair path,1
117,10,Keth,v16-conflict-d10-t09,v16-conflict-d06-t11,0,1,1,1.905568,86.493388,remembers arbitration and asks,1
118,10,Melo,v16-conflict-d10-t10,v16-conflict-d07-t00,0,1,1,1.955444,220.926152,remembers arbitration and refuses with repair path,1
119,10,Nari,v16-conflict-d10-t11,v16-conflict-d07-t01,1,1,1,1.985288,0.278916,remembers arbitration and asks,1
120,11,Vonn,v16-conflict-d11-t00,v16-conflict-d08-t04,0,1,1,1.579988,157.86168,remembers arbitration and refuses with repair path,1
121,11,Sova,v16-conflict-d11-t01,v16-conflict-d08-t05,0,0,0,1.598961,287.374444,remembers arbitration and asks,1
