tick,day,conflict_id,injured_agent,repair_action,repair_offered,repair_accepted,memory_softened_not_erased,unresolved_residue,decay_calibrated
0,1,v16-conflict-d01-t00,Nari,return tool slot,0,0,0,0.45,1
1,1,v16-conflict-d01-t01,Ori,public reason note,0,0,0,0.4356,1
2,1,v16-conflict-d01-t02,Vonn,quiet route detour,0,0,0,0.45,1
3,1,v16-conflict-d01-t03,Sova,shared watch shift,0,0,0,0.4356,1
4,1,v16-conflict-d01-t04,Keth,deferred help promise,0,0,0,0.4356,1
5,1,v16-conflict-d01-t05,Melo,apology and space,0,0,0,0.4356,1
6,1,v16-conflict-d01-t06,Nari,return tool slot,0,0,0,0.45,1
7,1,v16-conflict-d01-t07,Ori,public reason note,0,0,0,0.4356,1
8,1,v16-conflict-d01-t08,Vonn,quiet route detour,0,0,0,0.45,1
9,1,v16-conflict-d01-t09,Sova,shared watch shift,0,0,0,0.45,1
10,1,v16-conflict-d01-t10,Keth,deferred help promise,0,0,0,0.4226,1
11,1,v16-conflict-d01-t11,Melo,apology and space,0,0,0,0.4226,1
12,2,v16-conflict-d01-t03,Ori,public reason note,1,1,1,0.2013,1
13,2,v16-conflict-d01-t04,Vonn,quiet route detour,0,0,1,0.4213,1
14,2,v16-conflict-d01-t05,Sova,shared watch shift,1,1,1,0.2013,1
15,2,v16-conflict-d01-t07,Keth,deferred help promise,0,0,1,0.4213,1
16,2,v16-conflict-d01-t08,Melo,apology and space,0,0,1,0.4357,1
17,2,v16-conflict-d01-t09,Nari,return tool slot,1,0,1,0.4357,1
18,2,v16-conflict-d01-t10,Ori,public reason note,1,1,1,0.1883,1
19,2,v16-conflict-d01-t11,Vonn,quiet route detour,0,0,1,0.4083,1
20,2,v16-conflict-d01-t01,Sova,shared watch shift,1,1,1,0.2013,1
21,2,v16-conflict-d01-t02,Keth,deferred help promise,0,0,1,0.4357,1
22,2,v16-conflict-d01-t03,Melo,apology and space,0,0,1,0.4213,1
23,2,v16-conflict-d01-t04,Nari,return tool slot,1,1,1,0.2013,1
24,3,v16-conflict-d01-t05,Vonn,quiet route detour,1,1,1,0.187,1
25,3,v16-conflict-d01-t07,Sova,shared watch shift,0,0,0,0.407,1
26,3,v16-conflict-d01-t08,Keth,deferred help promise,1,1,1,0.2014,1
27,3,v16-conflict-d01-t09,Melo,apology and space,1,1,1,0.2014,1
28,3,v16-conflict-d01-t10,Nari,return tool slot,0,0,0,0.394,1
29,3,v16-conflict-d01-t11,Ori,public reason note,1,1,1,0.174,1
30,3,v16-conflict-d02-t00,Vonn,quiet route detour,0,0,1,0.4357,1
31,3,v16-conflict-d02-t01,Sova,shared watch shift,0,0,1,0.4357,1
32,3,v16-conflict-d02-t02,Keth,deferred help promise,1,1,1,0.2013,1
33,3,v16-conflict-d02-t03,Melo,apology and space,1,0,1,0.4357,1
34,3,v16-conflict-d02-t04,Nari,return tool slot,0,0,1,0.4083,1
35,3,v16-conflict-d02-t06,Ori,public reason note,1,1,1,0.1883,1
36,4,v16-conflict-d01-t07,Sova,shared watch shift,0,0,0,0.3945,1
37,4,v16-conflict-d01-t08,Keth,deferred help promise,0,0,1,0.4071,1
38,4,v16-conflict-d01-t09,Melo,apology and space,1,1,1,0.1871,1
39,4,v16-conflict-d01-t10,Nari,return tool slot,1,1,1,0.1615,1
40,4,v16-conflict-d01-t11,Ori,public reason note,0,0,0,0.3815,1
41,4,v16-conflict-d02-t00,Vonn,quiet route detour,0,0,1,0.4214,1
42,4,v16-conflict-d02-t01,Sova,shared watch shift,1,1,1,0.2014,1
43,4,v16-conflict-d02-t02,Keth,deferred help promise,0,0,0,0.407,1
44,4,v16-conflict-d02-t03,Melo,apology and space,1,0,1,0.4214,1
45,4,v16-conflict-d02-t04,Nari,return tool slot,1,1,1,0.174,1
46,4,v16-conflict-d02-t06,Ori,public reason note,0,0,0,0.394,1
47,4,v16-conflict-d02-t07,Vonn,quiet route detour,1,0,1,0.4214,1
48,5,v16-conflict-d01-t08,Keth,deferred help promise,1,1,1,0.1708,1
49,5,v16-conflict-d01-t09,Melo,apology and space,0,0,1,0.3908,1
50,5,v16-conflict-d01-t10,Nari,return tool slot,1,1,1,0.149,1
51,5,v16-conflict-d01-t11,Ori,public reason note,1,1,1,0.149,1
52,5,v16-conflict-d02-t00,Vonn,quiet route detour,0,0,1,0.4071,1
53,5,v16-conflict-d02-t01,Sova,shared watch shift,1,1,1,0.1871,1
54,5,v16-conflict-d02-t02,Keth,deferred help promise,1,1,1,0.1745,1
55,5,v16-conflict-d02-t03,Melo,apology and space,0,0,1,0.4071,1
56,5,v16-conflict-d02-t04,Nari,return tool slot,1,1,1,0.1615,1
57,5,v16-conflict-d02-t06,Ori,public reason note,1,1,1,0.1615,1
58,5,v16-conflict-d02-t07,Vonn,quiet route detour,0,0,1,0.4071,1
59,5,v16-conflict-d02-t08,Sova,shared watch shift,1,1,1,0.1745,1
60,6,v16-conflict-d01-t10,Melo,apology and space,1,1,1,0.1365,1
61,6,v16-conflict-d01-t11,Nari,return tool slot,0,0,0,0.3565,1
62,6,v16-conflict-d02-t00,Ori,public reason note,0,0,1,0.3908,1
63,6,v16-conflict-d02-t01,Vonn,quiet route detour,1,0,1,0.3908,1
64,6,v16-conflict-d02-t02,Sova,shared watch shift,0,0,0,0.38,1
65,6,v16-conflict-d02-t03,Keth,deferred help promise,1,1,1,0.1708,1
66,6,v16-conflict-d02-t04,Melo,apology and space,1,0,0,0.369,1
67,6,v16-conflict-d02-t06,Nari,return tool slot,0,0,0,0.369,1
68,6,v16-conflict-d02-t07,Ori,public reason note,1,0,1,0.3908,1
69,6,v16-conflict-d02-t08,Vonn,quiet route detour,1,1,1,0.16,1
70,6,v16-conflict-d02-t09,Sova,shared watch shift,0,0,0,0.369,1
71,6,v16-conflict-d02-t10,Keth,deferred help promise,0,0,0,0.38,1
72,7,v16-conflict-d01-t11,Nari,return tool slot,1,1,1,0.124,1
73,7,v16-conflict-d02-t00,Ori,public reason note,0,0,1,0.374,1
74,7,v16-conflict-d02-t01,Vonn,quiet route detour,1,0,1,0.374,1
75,7,v16-conflict-d02-t02,Sova,shared watch shift,1,1,1,0.145,1
76,7,v16-conflict-d02-t03,Keth,deferred help promise,0,0,1,0.374,1
77,7,v16-conflict-d02-t04,Melo,apology and space,1,0,0,0.3565,1
78,7,v16-conflict-d02-t06,Nari,return tool slot,1,1,1,0.1365,1
79,7,v16-conflict-d02-t07,Ori,public reason note,0,0,1,0.374,1
80,7,v16-conflict-d02-t08,Vonn,quiet route detour,1,1,1,0.145,1
81,7,v16-conflict-d02-t09,Sova,shared watch shift,1,1,1,0.1365,1
82,7,v16-conflict-d02-t10,Keth,deferred help promise,0,0,0,0.365,1
