day,season_phase,active_conflict_count,remembered_arbitration_count,pending_repair_count,public_schedule_slots,persistent_state_version,local_storage_key,gameplay_day_ok
1,wet dawn,12,0,0,12,16,ssrm_browser_world_v16_persistent_conflict_gameplay,1
2,quiet night,12,12,6,12,16,ssrm_browser_world_v16_persistent_conflict_gameplay,1
3,cold dusk,12,12,7,12,16,ssrm_browser_world_v16_persistent_conflict_gameplay,1
4,quiet night,12,12,6,12,16,ssrm_browser_world_v16_persistent_conflict_gameplay,1
5,market rain,12,12,8,12,16,ssrm_browser_world_v16_persistent_conflict_gameplay,1
6,quiet night,12,12,6,12,16,ssrm_browser_world_v16_persistent_conflict_gameplay,1
7,market rain,12,12,8,12,16,ssrm_browser_world_v16_persistent_conflict_gameplay,1
8,market rain,12,12,6,12,16,ssrm_browser_world_v16_persistent_conflict_gameplay,1
9,clear midday,12,12,6,12,16,ssrm_browser_world_v16_persistent_conflict_gameplay,1
10,clear midday,12,12,7,12,16,ssrm_browser_world_v16_persistent_conflict_gameplay,1
11,cold dusk,12,12,6,12,16,ssrm_browser_world_v16_persistent_conflict_gameplay,1
12,clear midday,12,12,6,12,16,ssrm_browser_world_v16_persistent_conflict_gameplay,1
13,market rain,12,12,6,12,16,ssrm_browser_world_v16_persistent_conflict_gameplay,1
14,wet dawn,12,12,6,12,16,ssrm_browser_world_v16_persistent_conflict_gameplay,1
15,clear midday,12,12,6,12,16,ssrm_browser_world_v16_persistent_conflict_gameplay,1
16,cold dusk,12,12,7,12,16,ssrm_browser_world_v16_persistent_conflict_gameplay,1
17,quiet night,12,12,6,12,16,ssrm_browser_world_v16_persistent_conflict_gameplay,1
18,cold dusk,12,12,8,12,16,ssrm_browser_world_v16_persistent_conflict_gameplay,1
19,quiet night,12,12,6,12,16,ssrm_browser_world_v16_persistent_conflict_gameplay,1
20,cold dusk,12,12,6,12,16,ssrm_browser_world_v16_persistent_conflict_gameplay,1
21,quiet night,12,12,6,12,16,ssrm_browser_world_v16_persistent_conflict_gameplay,1
