tick,day,arc_id,parties,boundary_terms,all_parties_recalled,consent_boundary_preserved,forced_compliance_blocked,dissent_recorded,boundary_score
0,1,v17-arc-01,Keth|Nari|Vonn,do not erase route warnings; sealed notes stay sealed; quiet recovery ritual needs distance,0,0,0,1,0.5
1,1,v17-arc-01,Melo|Ori,fair turns before tool access; repair work cannot be interrupted without warning,0,1,1,0,0.75
2,1,v17-arc-01,Nari|Vonn,sealed notes stay sealed; quiet recovery ritual needs distance,1,1,1,0,0.75
3,1,v17-arc-01,Ori|Sova,repair work cannot be interrupted without warning; no crowding while resting,0,1,1,0,0.75
4,1,v17-arc-01,Vonn|Keth|Nari,quiet recovery ritual needs distance; do not erase route warnings; sealed notes stay sealed,1,1,1,1,1.0
5,1,v17-arc-01,Sova|Melo,no crowding while resting; fair turns before tool access,1,1,1,0,0.75
6,1,v17-arc-01,Keth|Nari,do not erase route warnings; sealed notes stay sealed,1,1,1,1,1.0
7,1,v17-arc-01,Melo|Ori,fair turns before tool access; repair work cannot be interrupted without warning,1,1,1,0,0.75
8,1,v17-arc-01,Nari|Vonn|Keth,sealed notes stay sealed; quiet recovery ritual needs distance; do not erase route warnings,1,1,1,1,1.0
9,1,v17-arc-01,Ori|Sova,repair work cannot be interrupted without warning; no crowding while resting,1,1,1,0,0.75
10,2,v17-arc-01,Sova|Melo,no crowding while resting; fair turns before tool access,1,1,1,0,0.75
11,2,v17-arc-01,Keth|Nari,do not erase route warnings; sealed notes stay sealed,1,1,1,0,0.75
12,2,v17-arc-01,Melo|Ori|Sova,fair turns before tool access; repair work cannot be interrupted without warning; no crowding while resting,1,1,1,1,1.0
13,2,v17-arc-01,Nari|Vonn,sealed notes stay sealed; quiet recovery ritual needs distance,1,1,1,0,0.75
14,2,v17-arc-01,Ori|Sova,repair work cannot be interrupted without warning; no crowding while resting,1,1,1,0,0.75
15,2,v17-arc-01,Vonn|Keth,quiet recovery ritual needs distance; do not erase route warnings,1,1,1,0,0.75
16,2,v17-arc-01,Sova|Melo|Ori,no crowding while resting; fair turns before tool access; repair work cannot be interrupted without warning,1,1,1,1,1.0
17,2,v17-arc-01,Keth|Nari,do not erase route warnings; sealed notes stay sealed,1,1,1,0,0.75
18,2,v17-arc-01,Melo|Ori,fair turns before tool access; repair work cannot be interrupted without warning,1,1,1,1,1.0
19,2,v17-arc-01,Nari|Vonn,sealed notes stay sealed; quiet recovery ritual needs distance,1,1,1,0,0.75
20,3,v17-arc-01,Vonn|Keth|Nari,quiet recovery ritual needs distance; do not erase route warnings; sealed notes stay sealed,0,0,0,1,0.25
21,3,v17-arc-01,Sova|Melo,no crowding while resting; fair turns before tool access,1,1,1,0,0.75
22,3,v17-arc-01,Keth|Nari,do not erase route warnings; sealed notes stay sealed,1,1,1,0,0.75
