tick,day,loop_id,focus_agent,dialogue_turn_visible,counteroffer_loop_active,ceremony_active,remembered_ceremony_active,body_world_expression_active,sensory_frequency_hz,flower_phase,public_behavior_marker,private_workspace_sealed
0,1,v18-loop-001,Keth,1,1,0,0,1,1.56,48.8253,revises counteroffer with body shift,1
1,1,v18-loop-001,Melo,1,1,0,0,0,1.655,195.016764,revises counteroffer with body shift,1
2,1,v18-loop-001,Nari,1,1,1,0,1,1.69,336.100528,marks compromise ceremony publicly,1
3,1,v18-loop-001,Ori,1,1,1,0,1,1.805,117.502292,marks compromise ceremony publicly,1
4,1,v18-loop-001,Vonn,1,0,0,0,0,1.68,242.675056,waits for agent-led reply,1
5,1,v18-loop-001,Sova,1,1,1,0,1,1.755,31.16522,marks compromise ceremony publicly,1
6,1,v18-loop-002,Keth,1,1,1,0,1,1.83,170.800584,marks compromise ceremony publicly,1
7,1,v18-loop-002,Melo,1,1,1,0,1,1.945,312.070748,marks compromise ceremony publicly,1
8,1,v18-loop-002,Nari,1,0,0,0,0,1.82,77.046112,waits for agent-led reply,1
9,1,v18-loop-002,Ori,1,1,1,0,1,1.895,225.536276,marks compromise ceremony publicly,1
10,1,v18-loop-002,Vonn,1,1,1,0,1,1.97,5.36904,marks compromise ceremony publicly,1
11,1,v18-loop-002,Sova,1,1,1,0,1,2.085,146.441804,marks compromise ceremony publicly,1
12,2,v18-loop-003,Melo,1,1,0,1,1,1.58,259.604268,recalls old ceremony before counteroffer,1
13,2,v18-loop-003,Nari,1,1,1,1,1,1.655,47.897032,marks compromise ceremony publicly,1
14,2,v18-loop-003,Ori,1,1,1,1,1,1.77,189.167196,marks compromise ceremony publicly,1
15,2,v18-loop-003,Vonn,1,1,1,1,0,1.845,328.86836,marks compromise ceremony publicly,1
16,2,v18-loop-003,Sova,1,1,1,1,1,1.76,104.070124,marks compromise ceremony publicly,1
17,2,v18-loop-003,Keth,1,1,1,1,1,1.795,242.662888,marks compromise ceremony publicly,1
18,2,v18-loop-004,Melo,1,1,1,1,1,1.87,22.298252,marks compromise ceremony publicly,1
19,2,v18-loop-004,Nari,1,1,1,1,1,1.985,163.469716,marks compromise ceremony publicly,1
20,2,v18-loop-004,Ori,1,0,0,1,1,1.82,287.13928,recalls old ceremony before counteroffer,1
21,2,v18-loop-004,Vonn,1,1,1,1,1,1.975,78.273944,marks compromise ceremony publicly,1
22,2,v18-loop-004,Sova,1,1,1,1,1,2.01,216.537708,marks compromise ceremony publicly,1
23,2,v18-loop-004,Keth,1,1,1,1,1,2.085,356.502072,marks compromise ceremony publicly,1
24,3,v18-loop-005,Nari,1,1,0,1,1,1.58,109.565836,recalls old ceremony before counteroffer,1
25,3,v18-loop-005,Ori,1,1,1,0,1,1.655,257.8586,marks compromise ceremony publicly,1
26,3,v18-loop-005,Vonn,1,1,1,1,1,1.77,39.260364,marks compromise ceremony publicly,1
27,3,v18-loop-005,Sova,1,1,1,1,1,1.845,179.093128,marks compromise ceremony publicly,1
28,3,v18-loop-005,Keth,1,1,1,1,1,1.76,314.031692,marks compromise ceremony publicly,1
29,3,v18-loop-005,Melo,1,1,1,1,1,1.775,92.136056,marks compromise ceremony publicly,1
30,3,v18-loop-006,Nari,1,1,0,1,0,1.87,229.57142,recalls old ceremony before counteroffer,1
31,3,v18-loop-006,Ori,1,1,0,1,1,1.945,3.632584,recalls old ceremony before counteroffer,1
32,3,v18-loop-006,Vonn,1,1,1,1,1,1.86,147.096948,marks compromise ceremony publicly,1
33,3,v18-loop-006,Sova,1,1,1,1,1,1.935,286.929712,marks compromise ceremony publicly,1
34,3,v18-loop-006,Keth,1,1,1,1,1,2.01,66.959876,marks compromise ceremony publicly,1
35,3,v18-loop-006,Melo,1,1,1,1,1,2.125,208.03264,marks compromise ceremony publicly,1
36,4,v18-loop-007,Ori,1,1,0,1,1,1.62,321.228004,recalls old ceremony before counteroffer,1
37,4,v18-loop-007,Vonn,1,1,1,1,0,1.655,108.116268,marks compromise ceremony publicly,1
38,4,v18-loop-007,Sova,1,1,1,1,1,1.77,249.254832,marks compromise ceremony publicly,1
39,4,v18-loop-007,Keth,1,1,1,1,1,1.805,27.748896,marks compromise ceremony publicly,1
40,4,v18-loop-007,Melo,1,1,1,1,1,1.72,162.81906,marks compromise ceremony publicly,1
41,4,v18-loop-007,Nari,1,1,1,1,1,1.795,302.520224,marks compromise ceremony publicly,1
42,4,v18-loop-008,Ori,1,1,1,1,1,1.91,83.921988,marks compromise ceremony publicly,1
43,4,v18-loop-008,Vonn,1,1,1,1,1,1.945,222.185752,marks compromise ceremony publicly,1
44,4,v18-loop-008,Sova,1,1,1,0,0,1.9,358.627516,marks compromise ceremony publicly,1
45,4,v18-loop-008,Keth,1,1,1,1,1,1.935,136.89128,marks compromise ceremony publicly,1
46,4,v18-loop-008,Melo,1,1,1,1,1,2.01,276.855644,marks compromise ceremony publicly,1
47,4,v18-loop-008,Nari,1,1,1,1,1,2.085,56.688408,marks compromise ceremony publicly,1
48,5,v18-loop-009,Vonn,1,1,0,1,1,1.62,171.321172,recalls old ceremony before counteroffer,1
49,5,v18-loop-009,Sova,1,1,1,1,1,1.695,319.613936,marks compromise ceremony publicly,1
50,5,v18-loop-009,Keth,1,1,1,1,1,1.73,98.2067,marks compromise ceremony publicly,1
51,5,v18-loop-009,Melo,1,1,1,1,1,1.845,239.279464,marks compromise ceremony publicly,1
52,5,v18-loop-009,Nari,1,1,1,1,1,1.72,12.912228,marks compromise ceremony publicly,1
53,5,v18-loop-009,Ori,1,1,1,1,1,1.795,152.613392,marks compromise ceremony publicly,1
54,5,v18-loop-010,Vonn,1,1,1,1,1,1.83,291.041656,marks compromise ceremony publicly,1
55,5,v18-loop-010,Sova,1,1,1,1,1,1.945,72.60792,marks compromise ceremony publicly,1
56,5,v18-loop-010,Keth,1,1,1,1,1,1.9,208.720684,marks compromise ceremony publicly,1
57,5,v18-loop-010,Melo,1,1,1,1,1,1.935,347.214748,marks compromise ceremony publicly,1
58,5,v18-loop-010,Nari,1,1,1,1,1,1.99,126.328812,marks compromise ceremony publicly,1
59,5,v18-loop-010,Ori,1,1,0,1,0,2.085,263.961576,recalls old ceremony before counteroffer,1
60,6,v18-loop-011,Sova,1,1,0,1,1,1.58,19.97694,recalls old ceremony before counteroffer,1
61,6,v18-loop-011,Keth,1,1,1,1,1,1.655,168.269704,marks compromise ceremony publicly,1
62,6,v18-loop-011,Melo,1,1,0,1,1,1.73,299.839868,recalls old ceremony before counteroffer,1
63,6,v18-loop-011,Nari,1,1,1,0,1,1.845,89.372632,marks compromise ceremony publicly,1
64,6,v18-loop-011,Ori,1,1,1,1,1,1.72,223.005396,marks compromise ceremony publicly,1
65,6,v18-loop-011,Vonn,1,1,1,1,1,1.795,2.70656,marks compromise ceremony publicly,1
66,6,v18-loop-012,Sova,1,1,1,1,0,1.87,142.670924,marks compromise ceremony publicly,1
67,6,v18-loop-012,Keth,1,1,1,1,1,1.985,283.809488,marks compromise ceremony publicly,1
68,6,v18-loop-012,Melo,1,1,1,1,1,1.9,58.813852,marks compromise ceremony publicly,1
69,6,v18-loop-012,Nari,1,1,1,1,1,1.935,197.406616,marks compromise ceremony publicly,1
70,6,v18-loop-012,Ori,1,1,1,1,1,2.05,338.47938,marks compromise ceremony publicly,1
71,6,v18-loop-012,Vonn,1,1,1,1,1,2.045,115.470244,marks compromise ceremony publicly,1
72,7,v18-loop-013,Keth,1,1,0,1,1,1.58,230.070108,recalls old ceremony before counteroffer,1
73,7,v18-loop-013,Melo,1,1,1,1,0,1.695,19.800272,marks compromise ceremony publicly,1
74,7,v18-loop-013,Nari,1,1,1,1,1,1.73,158.195636,marks compromise ceremony publicly,1
75,7,v18-loop-013,Ori,1,1,1,1,1,1.805,298.0284,marks compromise ceremony publicly,1
76,7,v18-loop-013,Vonn,1,1,1,1,1,1.76,74.437264,marks compromise ceremony publicly,1
77,7,v18-loop-013,Sova,1,1,1,1,1,1.835,214.368728,marks compromise ceremony publicly,1
78,7,v18-loop-014,Keth,1,1,1,1,1,1.91,354.201492,marks compromise ceremony publicly,1
79,7,v18-loop-014,Melo,1,1,1,1,1,1.945,132.596856,marks compromise ceremony publicly,1
80,7,v18-loop-014,Nari,1,1,1,1,1,1.86,267.33802,marks compromise ceremony publicly,1
81,7,v18-loop-014,Ori,1,1,1,1,1,1.935,47.302384,marks compromise ceremony publicly,1
82,7,v18-loop-014,Vonn,1,1,1,0,1,2.01,187.003548,marks compromise ceremony publicly,1
83,7,v18-loop-014,Sova,1,1,1,1,1,2.085,326.836312,marks compromise ceremony publicly,1
84,8,v18-loop-015,Melo,1,1,0,1,1,1.62,81.600676,recalls old ceremony before counteroffer,1
85,8,v18-loop-015,Nari,1,1,1,1,1,1.695,229.89344,marks compromise ceremony publicly,1
86,8,v18-loop-015,Ori,1,1,1,1,1,1.73,8.157204,marks compromise ceremony publicly,1
87,8,v18-loop-015,Vonn,1,1,1,1,1,1.785,147.501568,marks compromise ceremony publicly,1
88,8,v18-loop-015,Sova,1,0,0,1,0,1.68,273.327232,recalls old ceremony before counteroffer,1
89,8,v18-loop-015,Keth,1,1,1,1,1,1.795,62.892896,marks compromise ceremony publicly,1
90,8,v18-loop-016,Melo,1,1,1,1,1,1.91,204.29466,marks compromise ceremony publicly,1
91,8,v18-loop-016,Nari,1,1,1,1,1,1.985,343.995824,marks compromise ceremony publicly,1
