tick,day,loop_id,agent,misread_kind,misread_detected,repair_gesture,repair_available,repair_accepted,residue_preserved,no_spiral
0,1,v19-loop-001,Keth,object point mistaken as claim,1,palms low,0,0,0.32,1
1,1,v19-loop-001,Melo,step back read as refusal,0,point to witness,0,0,0.14,1
2,1,v19-loop-001,Nari,pause read as silence,0,return object,0,0,0.14,1
3,1,v19-loop-001,Ori,handoff started early,0,step back twice,0,0,0.14,1
4,1,v19-loop-001,Vonn,gesture too fast,1,name boundary,1,1,0.22,1
5,1,v19-loop-001,Sova,object point mistaken as claim,0,slow repeat,0,0,0.14,1
6,1,v19-loop-001,Keth,step back read as refusal,0,palms low,0,0,0.14,1
7,1,v19-loop-001,Melo,pause read as silence,0,point to witness,0,0,0.14,1
8,1,v19-loop-002,Nari,handoff started early,0,return object,0,0,0.14,1
9,1,v19-loop-002,Ori,gesture too fast,0,step back twice,0,0,0.14,1
10,1,v19-loop-002,Vonn,object point mistaken as claim,0,name boundary,0,0,0.14,1
11,1,v19-loop-002,Sova,step back read as refusal,0,slow repeat,0,0,0.14,1
12,2,v19-loop-002,Melo,handoff started early,0,point to witness,0,0,0.14,1
13,2,v19-loop-002,Nari,gesture too fast,0,return object,0,0,0.14,1
14,2,v19-loop-002,Ori,object point mistaken as claim,0,step back twice,0,0,0.14,1
15,2,v19-loop-002,Vonn,step back read as refusal,0,name boundary,0,0,0.14,1
16,2,v19-loop-003,Sova,pause read as silence,0,slow repeat,0,0,0.14,1
17,2,v19-loop-003,Keth,handoff started early,0,palms low,0,0,0.14,1
18,2,v19-loop-003,Melo,gesture too fast,0,point to witness,0,0,0.14,1
19,2,v19-loop-003,Nari,object point mistaken as claim,0,return object,0,0,0.14,1
20,2,v19-loop-003,Ori,step back read as refusal,0,step back twice,0,0,0.14,1
21,2,v19-loop-003,Vonn,pause read as silence,0,name boundary,0,0,0.14,1
22,2,v19-loop-003,Sova,handoff started early,1,slow repeat,1,1,0.22,1
23,2,v19-loop-003,Keth,gesture too fast,0,palms low,0,0,0.14,1
24,3,v19-loop-004,Nari,step back read as refusal,0,return object,0,0,0.14,1
25,3,v19-loop-004,Ori,pause read as silence,0,step back twice,0,0,0.14,1
26,3,v19-loop-004,Vonn,handoff started early,0,name boundary,0,0,0.14,1
27,3,v19-loop-004,Sova,gesture too fast,0,slow repeat,0,0,0.14,1
28,3,v19-loop-004,Keth,object point mistaken as claim,0,palms low,0,0,0.14,1
29,3,v19-loop-004,Melo,step back read as refusal,0,point to witness,0,0,0.14,1
30,3,v19-loop-004,Nari,pause read as silence,0,return object,0,0,0.18,1
31,3,v19-loop-004,Ori,handoff started early,0,step back twice,0,0,0.14,1
32,3,v19-loop-005,Vonn,gesture too fast,0,name boundary,0,0,0.14,1
33,3,v19-loop-005,Sova,object point mistaken as claim,0,slow repeat,0,0,0.14,1
34,3,v19-loop-005,Keth,step back read as refusal,0,palms low,0,0,0.14,1
35,3,v19-loop-005,Melo,pause read as silence,0,point to witness,0,0,0.14,1
36,4,v19-loop-005,Ori,gesture too fast,0,step back twice,0,0,0.14,1
37,4,v19-loop-005,Vonn,object point mistaken as claim,0,name boundary,0,0,0.14,1
38,4,v19-loop-005,Sova,step back read as refusal,0,slow repeat,0,0,0.14,1
39,4,v19-loop-005,Keth,pause read as silence,0,palms low,0,0,0.14,1
40,4,v19-loop-006,Melo,handoff started early,0,point to witness,0,0,0.14,1
41,4,v19-loop-006,Nari,gesture too fast,0,return object,0,0,0.14,1
42,4,v19-loop-006,Ori,object point mistaken as claim,0,step back twice,0,0,0.14,1
43,4,v19-loop-006,Vonn,step back read as refusal,0,name boundary,0,0,0.14,1
44,4,v19-loop-006,Sova,pause read as silence,1,slow repeat,1,1,0.22,1
45,4,v19-loop-006,Keth,handoff started early,0,palms low,0,0,0.14,1
46,4,v19-loop-006,Melo,gesture too fast,0,point to witness,0,0,0.14,1
47,4,v19-loop-006,Nari,object point mistaken as claim,0,return object,0,0,0.14,1
48,5,v19-loop-007,Vonn,pause read as silence,0,name boundary,0,0,0.14,1
49,5,v19-loop-007,Sova,handoff started early,0,slow repeat,0,0,0.14,1
50,5,v19-loop-007,Keth,gesture too fast,0,palms low,0,0,0.14,1
51,5,v19-loop-007,Melo,object point mistaken as claim,0,point to witness,0,0,0.14,1
52,5,v19-loop-007,Nari,step back read as refusal,0,return object,0,0,0.14,1
53,5,v19-loop-007,Ori,pause read as silence,0,step back twice,0,0,0.14,1
54,5,v19-loop-007,Vonn,handoff started early,0,name boundary,0,0,0.14,1
55,5,v19-loop-007,Sova,gesture too fast,0,slow repeat,0,0,0.14,1
56,5,v19-loop-008,Keth,object point mistaken as claim,0,palms low,0,0,0.14,1
57,5,v19-loop-008,Melo,step back read as refusal,0,point to witness,0,0,0.14,1
58,5,v19-loop-008,Nari,pause read as silence,0,return object,0,0,0.14,1
59,5,v19-loop-008,Ori,handoff started early,0,step back twice,0,0,0.14,1
60,6,v19-loop-008,Sova,object point mistaken as claim,0,slow repeat,0,0,0.14,1
61,6,v19-loop-008,Keth,step back read as refusal,0,palms low,0,0,0.14,1
62,6,v19-loop-008,Melo,pause read as silence,1,point to witness,1,1,0.22,1
63,6,v19-loop-008,Nari,handoff started early,0,return object,0,0,0.14,1
