tick_index,agent,energy,fatigue,hunger,thirst,temperature_c,wetness,pain,comfort,safety,breath_rate,movement_effort,rest_debt,injury_degradation,posture
1,Ari,0.79196,0.20804,0.228,0.21,20.24987,0.05,0.04,0.67,0.691,15.6055,0.235428,0.207377,0.0276,active balanced stance
2,Fay,0.703683,0.296317,0.24,0.25,16.598962,0.4,0.14,0.5,0.588,16.598,0.3437,0.244453,0.0466,active balanced stance
3,Milo,0.744939,0.295061,0.252,0.23,20.346509,0.05,0.29,0.49,0.524,18.208,0.279462,0.243926,0.1251,protective curl
4,Sol,0.925521,0.074479,0.224,0.24,21.29177,0.0,0.0,0.86,0.8085,14.63625,0.194151,0.0,0.0,softened stance
5,Ari,0.925244,0.074756,0.236,0.25,21.334039,0.0,0.0,0.86,0.811,14.6175,0.194204,0.0,0.0,softened stance
6,Fay,0.793961,0.206039,0.288,0.26,20.472656,0.15,0.04,0.67,0.698,15.553,0.258047,0.206536,0.0276,active balanced stance
7,Milo,0.791563,0.248437,0.3,0.27,20.507017,0.05,0.12,0.54,0.524,17.034,0.251903,0.224343,0.0428,guarded half-turn
8,Sol,0.917987,0.082013,0.272,0.28,21.436588,0.0,0.0,0.86,0.8085,14.63625,0.195582,0.0,0.0,softened stance
9,Ari,0.733215,0.266785,0.324,0.29,20.560907,0.05,0.21,0.62,0.691,16.7795,0.265289,0.23205,0.1099,active balanced stance
10,Fay,0.777279,0.262721,0.336,0.3,20.579594,0.05,0.12,0.54,0.518,17.079,0.254617,0.230343,0.0428,guarded half-turn
11,Milo,0.680255,0.319745,0.348,0.34,16.892357,0.4,0.14,0.5,0.594,16.553,0.348152,0.254293,0.0466,active balanced stance
12,Sol,0.892264,0.107736,0.32,0.32,21.498998,0.0,0.0,0.86,0.8085,14.63625,0.20047,0.005249,0.0,softened stance
13,Ari,0.753465,0.286535,0.372,0.13,20.599413,0.05,0.12,0.54,0.511,17.1315,0.259142,0.240345,0.0428,guarded half-turn
14,Fay,0.74405,0.25595,0.384,0.14,20.593594,0.05,0.04,0.67,0.698,15.553,0.244531,0.227499,0.0276,active balanced stance
15,Milo,0.684234,0.315766,0.18,0.15,20.581634,0.05,0.21,0.62,0.704,16.682,0.274596,0.252622,0.1099,active balanced stance
16,Sol,0.854249,0.145751,0.152,0.16,21.463719,0.0,0.0,0.86,0.8085,14.63625,0.207693,0.021216,0.0,softened stance
17,Ari,0.714334,0.285666,0.204,0.17,20.540128,0.05,0.04,0.67,0.691,15.6055,0.250177,0.23998,0.0276,active balanced stance
18,Fay,0.614724,0.385276,0.216,0.21,16.811229,0.4,0.14,0.5,0.588,16.598,0.360602,0.281816,0.0466,active balanced stance
19,Milo,0.645644,0.394356,0.228,0.19,20.477474,0.05,0.29,0.49,0.524,18.208,0.298328,0.285629,0.1251,protective curl
20,Sol,0.817296,0.182704,0.2,0.2,21.339389,0.0,0.0,0.86,0.8085,14.63625,0.214714,0.036736,0.0,softened stance
21,Ari,0.809853,0.190147,0.212,0.21,21.297568,0.0,0.0,0.86,0.811,14.6175,0.216128,0.039862,0.0,softened stance
22,Fay,0.673452,0.326548,0.264,0.22,20.352664,0.05,0.04,0.67,0.698,15.553,0.257944,0.25715,0.0276,active balanced stance
23,Milo,0.668189,0.371811,0.276,0.23,20.305378,0.05,0.12,0.54,0.524,17.034,0.275344,0.276161,0.0428,guarded half-turn
24,Sol,0.794115,0.205885,0.248,0.24,21.156448,0.0,0.0,0.86,0.8085,14.63625,0.219118,0.046472,0.0,softened stance
25,Fay,0.611232,0.388768,0.3,0.25,20.206637,0.05,0.21,0.62,0.698,16.727,0.288466,0.283282,0.1099,active balanced stance
26,Milo,0.659496,0.380504,0.312,0.26,20.156722,0.05,0.12,0.54,0.524,17.034,0.276996,0.279812,0.0428,guarded half-turn
27,Sol,0.568817,0.431183,0.324,0.3,16.407482,0.4,0.14,0.5,0.5785,16.66925,0.369325,0.301097,0.0466,active balanced stance
28,Ari,0.789062,0.210938,0.296,0.28,20.959687,0.0,0.0,0.86,0.811,14.6175,0.220078,0.048594,0.0,softened stance
29,Fay,0.660062,0.379938,0.348,0.29,20.01408,0.05,0.12,0.54,0.518,17.079,0.276888,0.279574,0.0428,guarded half-turn
30,Milo,0.661618,0.338382,0.36,0.3,19.971375,0.15,0.04,0.67,0.704,15.508,0.283193,0.262121,0.0276,active balanced stance
31,Sol,0.613507,0.386493,0.372,0.31,19.932238,0.05,0.21,0.62,0.6885,16.79825,0.288034,0.282327,0.1099,active balanced stance
32,Ari,0.795496,0.204504,0.344,0.32,20.797279,0.0,0.0,0.86,0.811,14.6175,0.218856,0.045891,0.0,softened stance
33,Fay,0.667346,0.332654,0.18,0.13,19.867044,0.05,0.04,0.67,0.698,15.553,0.259104,0.259715,0.0276,active balanced stance
34,Milo,0.578823,0.421177,0.192,0.17,16.142004,0.4,0.14,0.5,0.594,16.553,0.367424,0.296894,0.0466,active balanced stance
35,Sol,0.61971,0.42029,0.204,0.15,19.822551,0.05,0.29,0.49,0.5085,18.32425,0.303255,0.296522,0.1251,protective curl
36,Ari,0.79981,0.20019,0.176,0.16,20.708988,0.0,0.0,0.86,0.811,14.6175,0.218036,0.04408,0.0,softened stance
37,Fay,0.798961,0.201039,0.188,0.17,20.701526,0.0,0.0,0.86,0.818,14.565,0.218197,0.044436,0.0,softened stance
38,Milo,0.667038,0.332962,0.24,0.18,19.800283,0.05,0.04,0.67,0.704,15.508,0.259163,0.259844,0.0276,active balanced stance
39,Sol,0.663956,0.376044,0.252,0.19,19.805277,0.05,0.12,0.54,0.5085,17.15025,0.276148,0.277938,0.0428,guarded half-turn
40,Ari,0.789681,0.210319,0.224,0.2,20.71643,0.0,0.0,0.86,0.811,14.6175,0.219961,0.048334,0.0,softened stance
41,Fay,0.604222,0.395778,0.276,0.21,19.833569,0.05,0.21,0.62,0.698,16.727,0.289798,0.286227,0.1099,active balanced stance
42,Milo,0.647638,0.392362,0.288,0.22,19.856426,0.15,0.12,0.54,0.524,17.034,0.302249,0.284792,0.0428,guarded half-turn
43,Sol,0.550032,0.449968,0.3,0.26,16.184645,0.4,0.14,0.5,0.5785,16.66925,0.372894,0.308987,0.0466,active balanced stance
44,Ari,0.761548,0.238452,0.272,0.24,20.817784,0.0,0.0,0.86,0.811,14.6175,0.225306,0.06015,0.0,softened stance
45,Fay,0.622364,0.417636,0.324,0.25,19.955327,0.05,0.12,0.54,0.518,17.079,0.284051,0.295407,0.0428,guarded half-turn
46,Milo,0.612687,0.387313,0.336,0.26,19.996688,0.05,0.04,0.67,0.704,15.508,0.26949,0.282672,0.0276,active balanced stance
47,Sol,0.552743,0.447257,0.348,0.27,20.041222,0.05,0.21,0.62,0.6885,16.79825,0.299579,0.307848,0.1099,active balanced stance
48,Ari,0.72277,0.27723,0.32,0.28,20.988234,0.0,0.0,0.86,0.811,14.6175,0.232674,0.076437,0.0,softened stance
49,Milo,0.583006,0.416994,0.372,0.29,20.136989,0.05,0.04,0.67,0.704,15.508,0.275129,0.295138,0.0276,active balanced stance
50,Sol,0.483679,0.516321,0.384,0.33,16.486728,0.4,0.14,0.5,0.5785,16.66925,0.385501,0.336855,0.0466,low shoulders
51,Ari,0.515004,0.524996,0.18,0.31,20.236674,0.05,0.29,0.49,0.511,18.3055,0.323149,0.340498,0.1251,protective curl
52,Fay,0.687165,0.312835,0.152,0.32,21.186048,0.0,0.0,0.86,0.818,14.565,0.239439,0.091391,0.0,softened stance
53,Milo,0.680317,0.319683,0.164,0.13,21.234079,0.0,0.0,0.86,0.824,14.52,0.24074,0.094267,0.0,softened stance
54,Sol,0.544572,0.455428,0.216,0.14,20.380018,0.15,0.04,0.67,0.6885,15.62425,0.305431,0.31128,0.0276,active balanced stance
55,Ari,0.54,0.5,0.228,0.15,20.423147,0.05,0.12,0.54,0.511,17.1315,0.2997,0.33,0.0428,low shoulders
