tick,day,scene_id,moving_entity,target_x,target_y,collision_kind,collision_detected,avoidance_vector_x,avoidance_vector_y,collision_resolved,personal_space_preserved
0,1,v20-scene-d01,avatar,7.855884,4.545111,agent_space,1,0.16574,-0.102591,0,0
1,1,v20-scene-d01,avatar,7.741405,4.850169,table_edge,0,0.0,0.0,1,1
2,1,v20-scene-d01,avatar,7.546011,5.097083,avatar_overlap,0,0.0,0.0,1,1
3,1,v20-scene-d01,avatar,7.058384,5.277808,wall,0,0.0,0.0,1,1
4,1,v20-scene-d01,avatar,6.78787,5.19268,table_edge,0,0.0,0.0,1,1
5,1,v20-scene-d01,avatar,6.520668,5.249446,object_path,0,0.0,0.0,1,1
6,1,v20-scene-d01,avatar,6.036821,5.261196,wall,0,0.0,0.0,1,1
7,1,v20-scene-d01,avatar,5.82846,5.243606,wall,0,0.0,0.0,1,1
8,1,v20-scene-d01,avatar,5.659542,5.011944,wall,0,0.0,0.0,1,1
9,1,v20-scene-d01,avatar,5.287021,4.97837,none,0,0.0,0.0,1,1
10,1,v20-scene-d01,avatar,5.183213,4.949979,object_path,0,0.0,0.0,1,1
11,1,v20-scene-d01,avatar,5.098866,4.927908,none,0,0.0,0.0,1,1
12,1,v20-scene-d01,avatar,4.78636,4.707641,object_path,0,0.0,0.0,1,1
13,1,v20-scene-d01,avatar,4.722423,4.680452,object_path,0,0.0,0.0,1,1
14,2,v20-scene-d02,avatar,4.460247,4.488852,agent_space,0,0.0,0.0,1,1
15,2,v20-scene-d02,avatar,4.441097,4.403253,table_edge,0,0.0,0.0,1,1
16,2,v20-scene-d02,avatar,4.464715,4.282968,table_edge,0,0.0,0.0,1,1
17,2,v20-scene-d02,avatar,4.309519,4.130168,wall,0,0.0,0.0,1,1
18,2,v20-scene-d02,avatar,4.472432,3.754065,object_path,1,-0.240451,-0.361315,1,1
19,2,v20-scene-d02,avatar,4.72534,3.57041,table_edge,0,0.0,0.0,1,1
20,2,v20-scene-d02,avatar,4.832047,3.399791,wall,0,0.0,0.0,1,1
