tick,day,scene_id,input_action,avatar_delta_x,avatar_delta_y,selected_agent,selected_object,input_hits_scene_target,blocked_by_collision,input_feedback_visible,input_binding_score
0,1,v20-scene-d01,step_south,0.0,0.18,none,none,0,1,1,0.5
1,1,v20-scene-d01,step_west,-0.22,0.0,none,none,1,0,1,1.0
2,1,v20-scene-d01,step_east,0.22,0.0,none,none,1,0,1,1.0
3,1,v20-scene-d01,select_agent,0.0,0.0,Ori,none,1,0,1,1.0
4,1,v20-scene-d01,select_object,0.0,0.0,none,listening shell,1,0,1,1.0
5,1,v20-scene-d01,ceremony_handoff,0.0,0.0,none,ember bowl,1,0,1,1.0
6,1,v20-scene-d01,pause_turn,0.0,0.0,none,none,0,0,1,1.0
7,1,v20-scene-d01,step_north,0.0,-0.18,none,none,1,0,1,1.0
8,1,v20-scene-d01,step_south,0.0,0.18,none,none,1,0,0,0.75
9,1,v20-scene-d01,step_west,-0.22,0.0,none,none,1,0,1,1.0
10,1,v20-scene-d01,step_east,0.22,0.0,none,none,1,0,1,1.0
11,1,v20-scene-d01,select_agent,0.0,0.0,Sova,none,1,0,1,1.0
12,1,v20-scene-d01,select_object,0.0,0.0,none,path cord,1,0,1,1.0
13,1,v20-scene-d01,ceremony_handoff,0.0,0.0,none,tally beads,1,0,1,1.0
14,2,v20-scene-d02,step_north,0.0,-0.18,none,none,1,0,1,1.0
15,2,v20-scene-d02,step_south,0.0,0.18,none,none,1,0,1,1.0
16,2,v20-scene-d02,step_west,-0.22,0.0,none,none,1,0,1,1.0
17,2,v20-scene-d02,step_east,0.22,0.0,none,none,1,0,1,1.0
18,2,v20-scene-d02,select_agent,0.0,0.0,Melo,none,1,0,1,1.0
19,2,v20-scene-d02,select_object,0.0,0.0,none,ink ledger,1,0,1,1.0
20,2,v20-scene-d02,ceremony_handoff,0.0,0.0,none,sap hook,1,0,1,1.0
21,2,v20-scene-d02,pause_turn,0.0,0.0,none,none,0,0,1,1.0
22,2,v20-scene-d02,step_north,0.0,-0.18,none,none,1,0,1,1.0
23,2,v20-scene-d02,step_south,0.0,0.18,none,none,1,0,1,1.0
24,2,v20-scene-d02,step_west,-0.22,0.0,none,none,1,0,1,1.0
25,2,v20-scene-d02,step_east,0.22,0.0,none,none,1,0,1,1.0
26,2,v20-scene-d02,select_agent,0.0,0.0,Ori,none,1,0,1,1.0
27,2,v20-scene-d02,select_object,0.0,0.0,none,listening shell,1,0,1,1.0
28,3,v20-scene-d03,pause_turn,0.0,0.0,none,none,0,0,1,1.0
29,3,v20-scene-d03,step_north,0.0,-0.18,none,none,1,0,1,1.0
30,3,v20-scene-d03,step_south,0.0,0.18,none,none,1,0,1,1.0
31,3,v20-scene-d03,step_west,-0.22,0.0,none,none,1,0,0,0.75
32,3,v20-scene-d03,step_east,0.22,0.0,none,none,1,0,1,1.0
33,3,v20-scene-d03,select_agent,0.0,0.0,Sova,none,1,0,1,1.0
34,3,v20-scene-d03,select_object,0.0,0.0,none,path cord,1,0,1,1.0
35,3,v20-scene-d03,ceremony_handoff,0.0,0.0,none,tally beads,1,0,1,1.0
36,3,v20-scene-d03,pause_turn,0.0,0.0,none,none,0,0,1,1.0
37,3,v20-scene-d03,step_north,0.0,-0.18,none,none,1,0,1,1.0
38,3,v20-scene-d03,step_south,0.0,0.18,none,none,1,0,1,1.0
39,3,v20-scene-d03,step_west,-0.22,0.0,none,none,1,0,1,1.0
40,3,v20-scene-d03,step_east,0.22,0.0,none,none,1,0,1,1.0
41,3,v20-scene-d03,select_agent,0.0,0.0,Melo,none,1,0,1,1.0
42,4,v20-scene-d04,ceremony_handoff,0.0,0.0,none,sap hook,1,0,1,1.0
43,4,v20-scene-d04,pause_turn,0.0,0.0,none,none,0,0,1,1.0
44,4,v20-scene-d04,step_north,0.0,-0.18,none,none,1,0,1,1.0
45,4,v20-scene-d04,step_south,0.0,0.18,none,none,1,0,1,1.0
46,4,v20-scene-d04,step_west,-0.22,0.0,none,none,1,0,1,1.0
47,4,v20-scene-d04,step_east,0.22,0.0,none,none,1,0,1,1.0
48,4,v20-scene-d04,select_agent,0.0,0.0,Ori,none,1,0,1,1.0
49,4,v20-scene-d04,select_object,0.0,0.0,none,listening shell,1,0,1,1.0
50,4,v20-scene-d04,ceremony_handoff,0.0,0.0,none,ember bowl,1,0,1,1.0
