tick,day,replay_id,scene_id,includes_geometry,includes_positions,includes_sprite_layers,includes_collision_probe,includes_object_motion,includes_input,deterministic_order,replay_integrity_score
0,1,v20-replay-d01-t00,v20-scene-d01,0,1,0,0,0,0,1,0.428571
1,1,v20-replay-d01-t01,v20-scene-d01,1,1,1,1,1,1,1,1.0
2,1,v20-replay-d01-t02,v20-scene-d01,1,1,1,1,1,1,1,1.0
3,1,v20-replay-d01-t03,v20-scene-d01,1,1,1,1,0,1,1,0.857143
4,1,v20-replay-d01-t04,v20-scene-d01,1,0,0,1,1,1,1,0.821429
5,1,v20-replay-d01-t05,v20-scene-d01,1,1,1,1,1,1,1,1.0
6,1,v20-replay-d01-t06,v20-scene-d01,1,1,1,1,0,1,1,0.857143
7,1,v20-replay-d01-t07,v20-scene-d01,1,1,1,1,1,1,1,1.0
8,1,v20-replay-d01-t08,v20-scene-d01,1,1,1,1,1,1,1,0.964286
9,1,v20-replay-d01-t09,v20-scene-d01,1,1,1,1,1,1,1,1.0
10,1,v20-replay-d01-t10,v20-scene-d01,1,1,1,1,1,1,1,1.0
11,1,v20-replay-d01-t11,v20-scene-d01,1,1,1,1,1,1,1,1.0
12,1,v20-replay-d01-t12,v20-scene-d01,1,1,1,1,1,1,1,1.0
13,1,v20-replay-d01-t13,v20-scene-d01,1,1,1,1,1,1,1,1.0
14,2,v20-replay-d02-t00,v20-scene-d02,1,1,1,1,1,1,1,1.0
15,2,v20-replay-d02-t01,v20-scene-d02,1,1,1,1,1,1,1,1.0
16,2,v20-replay-d02-t02,v20-scene-d02,1,1,1,1,1,1,1,1.0
17,2,v20-replay-d02-t03,v20-scene-d02,1,1,1,1,1,1,1,1.0
18,2,v20-replay-d02-t04,v20-scene-d02,1,1,1,1,1,1,1,1.0
19,2,v20-replay-d02-t05,v20-scene-d02,1,1,1,1,1,1,1,1.0
20,2,v20-replay-d02-t06,v20-scene-d02,1,1,1,1,1,1,1,1.0
21,2,v20-replay-d02-t07,v20-scene-d02,1,1,1,1,1,1,1,1.0
22,2,v20-replay-d02-t08,v20-scene-d02,1,1,1,1,1,1,1,1.0
23,2,v20-replay-d02-t09,v20-scene-d02,1,1,1,1,1,1,1,1.0
24,2,v20-replay-d02-t10,v20-scene-d02,1,1,1,1,1,1,1,1.0
25,2,v20-replay-d02-t11,v20-scene-d02,1,1,1,1,1,1,1,1.0
26,2,v20-replay-d02-t12,v20-scene-d02,1,1,1,1,1,1,1,0.99
27,2,v20-replay-d02-t13,v20-scene-d02,1,0,0,1,1,1,1,0.811429
28,3,v20-replay-d03-t00,v20-scene-d03,1,0,0,1,1,1,1,0.811429
29,3,v20-replay-d03-t01,v20-scene-d03,1,1,1,1,1,1,1,0.99
30,3,v20-replay-d03-t02,v20-scene-d03,1,1,1,1,1,1,1,1.0
31,3,v20-replay-d03-t03,v20-scene-d03,1,1,1,1,0,1,1,0.821429
32,3,v20-replay-d03-t04,v20-scene-d03,1,1,1,1,1,1,1,1.0
33,3,v20-replay-d03-t05,v20-scene-d03,1,1,1,1,1,1,1,1.0
34,3,v20-replay-d03-t06,v20-scene-d03,1,1,1,1,1,1,1,1.0
35,3,v20-replay-d03-t07,v20-scene-d03,1,1,1,1,1,1,1,1.0
36,3,v20-replay-d03-t08,v20-scene-d03,1,1,1,1,1,1,1,1.0
37,3,v20-replay-d03-t09,v20-scene-d03,1,1,0,1,0,1,1,0.821429
38,3,v20-replay-d03-t10,v20-scene-d03,1,1,1,1,1,1,1,1.0
39,3,v20-replay-d03-t11,v20-scene-d03,1,1,1,1,1,1,1,1.0
40,3,v20-replay-d03-t12,v20-scene-d03,1,1,1,1,0,1,1,0.857143
41,3,v20-replay-d03-t13,v20-scene-d03,1,0,0,1,1,1,1,0.821429
42,4,v20-replay-d04-t00,v20-scene-d04,1,1,1,1,1,1,1,1.0
43,4,v20-replay-d04-t01,v20-scene-d04,1,1,0,1,1,1,1,0.964286
44,4,v20-replay-d04-t02,v20-scene-d04,1,1,1,1,1,1,1,1.0
45,4,v20-replay-d04-t03,v20-scene-d04,1,1,1,1,1,1,1,1.0
46,4,v20-replay-d04-t04,v20-scene-d04,1,1,1,1,1,1,1,1.0
47,4,v20-replay-d04-t05,v20-scene-d04,0,1,1,1,1,1,1,0.857143
48,4,v20-replay-d04-t06,v20-scene-d04,1,1,1,1,1,1,1,1.0
49,4,v20-replay-d04-t07,v20-scene-d04,1,1,1,1,1,1,1,1.0
50,4,v20-replay-d04-t08,v20-scene-d04,1,1,1,1,1,1,1,1.0
51,4,v20-replay-d04-t09,v20-scene-d04,1,1,1,1,1,1,1,1.0
52,4,v20-replay-d04-t10,v20-scene-d04,1,1,1,1,1,1,1,1.0
53,4,v20-replay-d04-t11,v20-scene-d04,1,1,1,1,1,1,1,1.0
