metric,value
source_embodied_animation_continuity,1.0
scene_geometry_surface,0.97619
avatar_agent_scene_position_binding,0.872024
local_coordinate_integrity,1.0
sprite_body_layer_integrity,0.97619
animated_body_layer_visibility,0.94494
local_collision_avoidance,0.925
personal_space_scene_preservation,0.982143
collision_aware_object_ceremony,0.991987
object_ceremony_completion,0.826923
object_motion_traceability,0.895833
object_owner_preservation,0.973214
depth_camera_cue_integrity,0.986607
avatar_input_to_scene_binding,0.982887
input_feedback_visibility,0.955357
multi_sensory_scene_binding,0.967262
comfort_pain_scene_bounds,1.0
body_scene_visibility,0.827381
object_scene_visibility,0.826923
privacy_safe_scene_state,1.0
replay_scene_integrity,0.950574
frequency_flower_scene_rhythm,1.0
browser_world_v20_surface_available,1.0
mean_scene_channel_score,0.950497
weakest_channel_score,0.826923
browser_world_v20_scene_geometry_readiness,0.898596
collision_event_count,80.0
ceremony_attempt_count,312.0
