tick,day,scene_id,focus_agent,keyboard_movement_visible,collision_prompt_visible,object_ceremony_state_visible,save_restore_visible,local_storage_state_visible,sensory_frequency_hz,flower_phase,public_behavior_marker,private_workspace_sealed
0,1,v21-scene-d01,Keth,True,1,1,1,1,1.1,59.94,object ceremony state persists,1
1,1,v21-scene-d01,Melo,1,1,1,0,1,1.26,202.977764,object ceremony state persists,1
2,1,v21-scene-d01,Nari,True,1,0,0,1,1.05,334.545528,avatar waits in scene,1
3,1,v21-scene-d01,Ori,1,1,1,0,1,1.26,119.133292,object ceremony state persists,1
4,1,v21-scene-d01,Vonn,True,0,1,0,1,1.1,251.111056,object ceremony state persists,1
5,1,v21-scene-d01,Sova,1,1,1,0,1,1.26,35.28882,object ceremony state persists,1
6,1,v21-scene-d01,Keth,True,1,1,0,1,1.1,168.406584,object ceremony state persists,1
7,1,v21-scene-d01,Melo,True,1,1,1,1,1.1,306.484348,object ceremony state persists,1
8,1,v21-scene-d01,Nari,1,1,1,0,1,1.26,89.522112,object ceremony state persists,1
9,1,v21-scene-d01,Ori,True,1,1,1,1,1.1,222.639876,object ceremony state persists,1
10,1,v21-scene-d01,Vonn,True,1,1,0,1,1.1,0.71764,object ceremony state persists,1
11,1,v21-scene-d01,Sova,1,1,1,0,1,1.26,143.755404,object ceremony state persists,1
12,1,v21-scene-d01,Keth,True,1,1,0,1,1.1,276.873168,object ceremony state persists,1
13,1,v21-scene-d01,Melo,True,1,1,0,1,1.1,54.950932,object ceremony state persists,1
14,1,v21-scene-d01,Nari,True,1,1,0,1,1.1,193.028696,object ceremony state persists,1
15,2,v21-scene-d02,Vonn,1,1,1,0,1,1.26,327.51646,object ceremony state persists,1
16,2,v21-scene-d02,Sova,True,1,1,0,1,1.1,100.634224,object ceremony state persists,1
17,2,v21-scene-d02,Keth,1,1,1,0,1,1.26,243.671988,object ceremony state persists,1
18,2,v21-scene-d02,Melo,True,1,1,1,1,1.1,16.789752,object ceremony state persists,1
19,2,v21-scene-d02,Nari,True,1,1,0,1,1.1,154.867516,object ceremony state persists,1
20,2,v21-scene-d02,Ori,True,1,1,1,1,1.1,292.94528,object ceremony state persists,1
21,2,v21-scene-d02,Vonn,1,1,1,0,1,1.26,75.983044,object ceremony state persists,1
22,2,v21-scene-d02,Sova,True,1,1,0,1,1.1,209.100808,object ceremony state persists,1
23,2,v21-scene-d02,Keth,1,1,1,0,1,1.26,352.138572,object ceremony state persists,1
24,2,v21-scene-d02,Melo,1,1,1,0,1,1.26,130.216336,object ceremony state persists,1
25,2,v21-scene-d02,Nari,True,1,1,0,1,1.1,263.3341,object ceremony state persists,1
26,2,v21-scene-d02,Ori,1,0,0,0,1,1.21,43.681864,avatar moves through scene,1
27,2,v21-scene-d02,Vonn,1,1,1,0,1,1.26,184.449628,object ceremony state persists,1
28,2,v21-scene-d02,Sova,1,1,1,0,1,1.26,322.527392,object ceremony state persists,1
29,2,v21-scene-d02,Keth,1,1,1,0,1,1.26,100.605156,object ceremony state persists,1
30,3,v21-scene-d03,Nari,True,1,1,0,1,1.1,225.17292,object ceremony state persists,1
31,3,v21-scene-d03,Ori,False,1,0,0,1,1.12,3.870684,collision-aware prompt blocks movement,1
32,3,v21-scene-d03,Vonn,1,1,1,0,1,1.26,146.288448,object ceremony state persists,1
33,3,v21-scene-d03,Sova,False,1,0,0,1,1.12,280.026212,collision-aware prompt blocks movement,1
34,3,v21-scene-d03,Keth,True,1,1,0,1,1.1,57.483976,object ceremony state persists,1
35,3,v21-scene-d03,Melo,True,0,1,0,1,1.1,194.42174,object ceremony state persists,1
36,3,v21-scene-d03,Nari,True,1,1,0,1,1.1,333.639504,object ceremony state persists,1
37,3,v21-scene-d03,Ori,1,1,1,0,1,1.26,116.677268,object ceremony state persists,1
38,3,v21-scene-d03,Vonn,1,1,1,0,1,1.26,254.755032,object ceremony state persists,1
39,3,v21-scene-d03,Sova,1,1,1,0,1,1.26,32.832796,object ceremony state persists,1
40,3,v21-scene-d03,Keth,True,1,1,0,1,1.1,165.95056,object ceremony state persists,1
41,3,v21-scene-d03,Melo,1,1,1,1,1,1.26,308.988324,object ceremony state persists,1
42,3,v21-scene-d03,Nari,True,1,1,0,1,1.1,82.106088,object ceremony state persists,1
43,3,v21-scene-d03,Ori,1,1,1,0,1,1.26,225.143852,object ceremony state persists,1
44,3,v21-scene-d03,Vonn,True,1,1,1,1,1.1,358.261616,object ceremony state persists,1
45,4,v21-scene-d04,Keth,True,1,1,0,1,1.1,127.78938,object ceremony state persists,1
46,4,v21-scene-d04,Melo,True,1,1,1,1,1.1,265.867144,object ceremony state persists,1
