tick,day,scene_id,key,avatar_x_before,avatar_y_before,avatar_x_after,avatar_y_after,intended_dx,intended_dy,movement_applied,keyboard_binding_valid
0,1,v21-scene-d01,Space,6.0,4.0,6.0,4.0,0.0,0.0,0,1
1,1,v21-scene-d01,ArrowRight,6.0,4.0,6.28,4.0,0.28,0.0,1,1
2,1,v21-scene-d01,KeyQ,6.28,4.0,6.28,4.0,0.0,0.0,0,1
3,1,v21-scene-d01,ArrowDown,6.28,4.0,6.28,4.24,0.0,0.24,1,1
4,1,v21-scene-d01,Space,6.28,4.24,6.28,4.24,0.0,0.0,0,1
5,1,v21-scene-d01,ArrowUp,6.28,4.24,6.28,4.0,0.0,-0.24,1,1
6,1,v21-scene-d01,KeyE,6.28,4.0,6.28,4.0,0.0,0.0,0,1
7,1,v21-scene-d01,KeyR,6.28,4.0,6.28,4.0,0.0,0.0,0,1
8,1,v21-scene-d01,ArrowLeft,6.28,4.0,6.0,4.0,-0.28,0.0,1,1
9,1,v21-scene-d01,KeyR,6.0,4.0,6.0,4.0,0.0,0.0,0,1
10,1,v21-scene-d01,Space,6.0,4.0,6.0,4.0,0.0,0.0,0,1
11,1,v21-scene-d01,ArrowUp,6.0,4.0,6.0,3.76,0.0,-0.24,1,1
12,1,v21-scene-d01,KeyQ,6.0,3.76,6.0,3.76,0.0,0.0,0,1
13,1,v21-scene-d01,Space,6.0,3.76,6.0,3.76,0.0,0.0,0,1
14,1,v21-scene-d01,Space,6.0,3.76,6.0,3.76,0.0,0.0,0,1
15,2,v21-scene-d02,ArrowUp,6.0,3.76,6.0,3.52,0.0,-0.24,1,1
16,2,v21-scene-d02,KeyE,6.0,3.52,6.0,3.52,0.0,0.0,0,1
17,2,v21-scene-d02,ArrowUp,6.0,3.52,6.0,3.28,0.0,-0.24,1,1
18,2,v21-scene-d02,KeyR,6.0,3.28,6.0,3.28,0.0,0.0,0,1
19,2,v21-scene-d02,KeyQ,6.0,3.28,6.0,3.28,0.0,0.0,0,1
20,2,v21-scene-d02,KeyR,6.0,3.28,6.0,3.28,0.0,0.0,0,1
21,2,v21-scene-d02,ArrowRight,6.0,3.28,6.28,3.28,0.28,0.0,1,1
22,2,v21-scene-d02,Space,6.28,3.28,6.28,3.28,0.0,0.0,0,1
23,2,v21-scene-d02,ArrowUp,6.28,3.28,6.28,3.04,0.0,-0.24,1,1
24,2,v21-scene-d02,ArrowDown,6.28,3.04,6.28,3.28,0.0,0.24,1,1
25,2,v21-scene-d02,Space,6.28,3.28,6.28,3.28,0.0,0.0,0,1
26,2,v21-scene-d02,ArrowLeft,6.28,3.28,6.0,3.28,-0.28,0.0,1,1
27,2,v21-scene-d02,ArrowLeft,6.0,3.28,5.72,3.28,-0.28,0.0,1,1
28,2,v21-scene-d02,ArrowUp,5.72,3.28,5.72,3.04,0.0,-0.24,1,1
29,2,v21-scene-d02,ArrowLeft,5.72,3.04,5.44,3.04,-0.28,0.0,1,1
30,3,v21-scene-d03,KeyE,5.44,3.04,5.44,3.04,0.0,0.0,0,1
31,3,v21-scene-d03,ArrowDown,5.44,3.04,5.44,3.04,0.0,0.24,0,1
32,3,v21-scene-d03,ArrowRight,5.44,3.04,5.72,3.04,0.28,0.0,1,1
33,3,v21-scene-d03,ArrowLeft,5.72,3.04,5.72,3.04,-0.28,0.0,0,1
34,3,v21-scene-d03,KeyE,5.72,3.04,5.72,3.04,0.0,0.0,0,1
35,3,v21-scene-d03,KeyQ,5.72,3.04,5.72,3.04,0.0,0.0,0,1
36,3,v21-scene-d03,Space,5.72,3.04,5.72,3.04,0.0,0.0,0,1
37,3,v21-scene-d03,ArrowRight,5.72,3.04,6.0,3.04,0.28,0.0,1,1
38,3,v21-scene-d03,ArrowRight,6.0,3.04,6.28,3.04,0.28,0.0,1,1
39,3,v21-scene-d03,ArrowLeft,6.28,3.04,6.0,3.04,-0.28,0.0,1,1
40,3,v21-scene-d03,KeyE,6.0,3.04,6.0,3.04,0.0,0.0,0,1
41,3,v21-scene-d03,ArrowRight,6.0,3.04,6.28,3.04,0.28,0.0,1,1
42,3,v21-scene-d03,Space,6.28,3.04,6.28,3.04,0.0,0.0,0,1
