tick,day,snapshot_id,scene_id,storage_key,stores_avatar_position,stores_agent_positions,stores_object_states,stores_prompt_state,stores_replay_cursor,snapshot_integrity
0,1,v21-snapshot-0000,v21-scene-d01,ssrm_browser_world_v21_live_scene_state,1,1,1,1,1,1.0
1,1,v21-snapshot-0001,v21-scene-d01,ssrm_browser_world_v21_live_scene_state,1,1,1,1,1,1.0
2,1,v21-snapshot-0002,v21-scene-d01,ssrm_browser_world_v21_live_scene_state,1,1,1,1,1,1.0
3,1,v21-snapshot-0003,v21-scene-d01,ssrm_browser_world_v21_live_scene_state,1,1,1,1,1,1.0
4,1,v21-snapshot-0004,v21-scene-d01,ssrm_browser_world_v21_live_scene_state,1,1,1,0,1,0.8
5,1,v21-snapshot-0005,v21-scene-d01,ssrm_browser_world_v21_live_scene_state,1,1,1,1,1,1.0
6,1,v21-snapshot-0006,v21-scene-d01,ssrm_browser_world_v21_live_scene_state,1,1,1,1,1,1.0
7,1,v21-snapshot-0007,v21-scene-d01,ssrm_browser_world_v21_live_scene_state,0,1,1,1,1,0.8
8,1,v21-snapshot-0008,v21-scene-d01,ssrm_browser_world_v21_live_scene_state,1,1,1,1,1,1.0
9,1,v21-snapshot-0009,v21-scene-d01,ssrm_browser_world_v21_live_scene_state,1,0,1,1,1,0.8
10,1,v21-snapshot-0010,v21-scene-d01,ssrm_browser_world_v21_live_scene_state,1,1,1,1,1,1.0
11,1,v21-snapshot-0011,v21-scene-d01,ssrm_browser_world_v21_live_scene_state,1,1,1,1,0,0.8
12,1,v21-snapshot-0012,v21-scene-d01,ssrm_browser_world_v21_live_scene_state,1,1,1,1,1,1.0
13,1,v21-snapshot-0013,v21-scene-d01,ssrm_browser_world_v21_live_scene_state,1,1,1,1,1,1.0
14,1,v21-snapshot-0014,v21-scene-d01,ssrm_browser_world_v21_live_scene_state,1,1,1,1,1,1.0
15,2,v21-snapshot-0015,v21-scene-d02,ssrm_browser_world_v21_live_scene_state,1,1,1,1,1,1.0
16,2,v21-snapshot-0016,v21-scene-d02,ssrm_browser_world_v21_live_scene_state,1,1,1,1,1,1.0
17,2,v21-snapshot-0017,v21-scene-d02,ssrm_browser_world_v21_live_scene_state,1,1,1,1,1,1.0
18,2,v21-snapshot-0018,v21-scene-d02,ssrm_browser_world_v21_live_scene_state,1,1,1,1,1,1.0
19,2,v21-snapshot-0019,v21-scene-d02,ssrm_browser_world_v21_live_scene_state,1,1,1,1,1,1.0
20,2,v21-snapshot-0020,v21-scene-d02,ssrm_browser_world_v21_live_scene_state,1,1,1,1,1,1.0
21,2,v21-snapshot-0021,v21-scene-d02,ssrm_browser_world_v21_live_scene_state,1,1,1,1,1,1.0
22,2,v21-snapshot-0022,v21-scene-d02,ssrm_browser_world_v21_live_scene_state,1,1,1,1,1,1.0
23,2,v21-snapshot-0023,v21-scene-d02,ssrm_browser_world_v21_live_scene_state,1,1,1,1,1,1.0
24,2,v21-snapshot-0024,v21-scene-d02,ssrm_browser_world_v21_live_scene_state,1,1,1,1,1,1.0
25,2,v21-snapshot-0025,v21-scene-d02,ssrm_browser_world_v21_live_scene_state,1,1,1,1,1,1.0
26,2,v21-snapshot-0026,v21-scene-d02,ssrm_browser_world_v21_live_scene_state,1,1,1,1,1,1.0
27,2,v21-snapshot-0027,v21-scene-d02,ssrm_browser_world_v21_live_scene_state,1,1,1,1,1,1.0
28,2,v21-snapshot-0028,v21-scene-d02,ssrm_browser_world_v21_live_scene_state,1,1,1,1,1,1.0
29,2,v21-snapshot-0029,v21-scene-d02,ssrm_browser_world_v21_live_scene_state,1,1,1,1,1,1.0
30,3,v21-snapshot-0030,v21-scene-d03,ssrm_browser_world_v21_live_scene_state,1,1,1,1,1,1.0
31,3,v21-snapshot-0031,v21-scene-d03,ssrm_browser_world_v21_live_scene_state,1,1,0,1,1,0.8
