tick,day,scene_id,sound_rate_hz,movement_rate_hz,smell_intensity,temperature_c,wetness,comfort_delta,pain_pressure,sensory_bound_to_mutation,flower_phase
0,1,v21-scene-d01,1.36,1.1,0.22,17.13,0.13,0.18,0.03,1,59.94
1,1,v21-scene-d01,1.39,1.26,0.22,17.13,0.13,0.18,0.03,1,202.977764
2,1,v21-scene-d01,1.42,1.05,0.18,17.13,0.13,0.14,0.03,1,334.545528
3,1,v21-scene-d01,1.45,1.26,0.22,17.13,0.13,0.18,0.09,0,119.133292
4,1,v21-scene-d01,1.42,1.1,0.28,16.13,0.28,0.18,0.03,1,251.111056
5,1,v21-scene-d01,1.51,1.26,0.28,18.53,0.13,0.18,0.03,1,35.28882
6,1,v21-scene-d01,1.54,1.1,0.22,17.13,0.13,0.18,0.03,1,168.406584
7,1,v21-scene-d01,1.57,1.1,0.22,17.13,0.13,0.18,0.03,1,306.484348
8,1,v21-scene-d01,1.6,1.26,0.22,17.13,0.13,0.18,0.03,1,89.522112
9,1,v21-scene-d01,1.63,1.1,0.22,17.13,0.13,0.18,0.09,1,222.639876
10,1,v21-scene-d01,1.66,1.1,0.28,16.13,0.28,0.18,0.03,1,0.71764
11,1,v21-scene-d01,1.69,1.26,0.28,18.53,0.13,0.18,0.03,1,143.755404
12,1,v21-scene-d01,1.72,1.1,0.22,17.13,0.13,0.18,0.03,1,276.873168
13,1,v21-scene-d01,1.75,1.1,0.22,17.13,0.13,0.18,0.03,1,54.950932
14,1,v21-scene-d01,1.78,1.1,0.22,17.13,0.13,0.18,0.03,1,193.028696
15,2,v21-scene-d02,1.36,1.26,0.28,16.16,0.28,0.18,0.03,1,327.51646
16,2,v21-scene-d02,1.39,1.1,0.28,18.56,0.13,0.18,0.03,1,100.634224
17,2,v21-scene-d02,1.42,1.26,0.22,17.16,0.13,0.18,0.03,1,243.671988
18,2,v21-scene-d02,1.45,1.1,0.22,17.16,0.13,0.18,0.03,1,16.789752
19,2,v21-scene-d02,1.48,1.1,0.22,17.16,0.13,0.18,0.03,1,154.867516
20,2,v21-scene-d02,1.51,1.1,0.22,17.16,0.13,0.18,0.09,1,292.94528
21,2,v21-scene-d02,1.54,1.26,0.28,16.16,0.28,0.18,0.03,1,75.983044
22,2,v21-scene-d02,1.57,1.1,0.28,18.56,0.13,0.18,0.03,1,209.100808
23,2,v21-scene-d02,1.6,1.26,0.22,17.16,0.13,0.18,0.03,1,352.138572
24,2,v21-scene-d02,1.63,1.26,0.22,17.16,0.13,0.18,0.03,1,130.216336
25,2,v21-scene-d02,1.66,1.1,0.22,17.16,0.13,0.18,0.03,1,263.3341
26,2,v21-scene-d02,1.63,1.21,0.18,17.16,0.13,0.14,0.09,1,43.681864
27,2,v21-scene-d02,1.72,1.26,0.28,16.16,0.28,0.18,0.03,1,184.449628
28,2,v21-scene-d02,1.75,1.26,0.28,18.56,0.13,0.18,0.03,1,322.527392
29,2,v21-scene-d02,1.78,1.26,0.22,17.16,0.13,0.18,0.03,1,100.605156
30,3,v21-scene-d03,1.36,1.1,0.22,17.19,0.13,0.18,0.03,1,225.17292
31,3,v21-scene-d03,1.39,1.12,0.18,17.19,0.13,-0.01,0.14,1,3.870684
32,3,v21-scene-d03,1.42,1.26,0.28,16.19,0.28,0.18,0.03,1,146.288448
33,3,v21-scene-d03,1.45,1.12,0.24,18.59,0.13,-0.01,0.08,1,280.026212
34,3,v21-scene-d03,1.48,1.1,0.22,17.19,0.13,0.18,0.03,0,57.483976
35,3,v21-scene-d03,1.45,1.1,0.22,17.19,0.13,0.18,0.03,1,194.42174
36,3,v21-scene-d03,1.54,1.1,0.22,17.19,0.13,0.18,0.03,1,333.639504
37,3,v21-scene-d03,1.57,1.26,0.22,17.19,0.13,0.18,0.09,1,116.677268
38,3,v21-scene-d03,1.6,1.26,0.28,16.19,0.28,0.18,0.03,1,254.755032
39,3,v21-scene-d03,1.63,1.26,0.28,18.59,0.13,0.18,0.03,1,32.832796
40,3,v21-scene-d03,1.66,1.1,0.22,17.19,0.13,0.18,0.03,1,165.95056
41,3,v21-scene-d03,1.69,1.26,0.22,17.19,0.13,0.18,0.03,1,308.988324
42,3,v21-scene-d03,1.72,1.1,0.22,17.19,0.13,0.18,0.03,1,82.106088
43,3,v21-scene-d03,1.75,1.26,0.22,17.19,0.13,0.18,0.09,1,225.143852
44,3,v21-scene-d03,1.78,1.1,0.28,16.19,0.28,0.18,0.03,1,358.261616
45,4,v21-scene-d04,1.36,1.1,0.22,17.22,0.13,0.18,0.03,1,127.78938
46,4,v21-scene-d04,1.39,1.1,0.22,17.22,0.13,0.18,0.03,1,265.867144
47,4,v21-scene-d04,1.42,1.1,0.22,17.22,0.13,0.18,0.03,1,43.944908
48,4,v21-scene-d04,1.45,1.1,0.22,17.22,0.13,0.18,0.09,1,182.022672
49,4,v21-scene-d04,1.48,1.26,0.28,16.22,0.28,0.18,0.03,1,325.060436
50,4,v21-scene-d04,1.51,1.1,0.28,18.62,0.13,0.18,0.03,1,98.1782
51,4,v21-scene-d04,1.54,1.26,0.22,17.22,0.13,0.18,0.03,1,241.215964
52,4,v21-scene-d04,1.57,1.26,0.22,17.22,0.13,0.18,0.03,1,19.293728
53,4,v21-scene-d04,1.6,1.26,0.22,17.22,0.13,0.18,0.03,1,157.371492
54,4,v21-scene-d04,1.63,1.1,0.22,17.22,0.13,0.18,0.09,1,290.489256
55,4,v21-scene-d04,1.66,1.26,0.28,16.22,0.28,0.18,0.03,1,73.52702
56,4,v21-scene-d04,1.69,1.1,0.28,18.62,0.13,0.18,0.03,1,206.644784
57,4,v21-scene-d04,1.72,1.26,0.22,17.22,0.13,0.18,0.03,1,349.682548
58,4,v21-scene-d04,1.75,1.1,0.22,17.22,0.13,0.18,0.03,1,122.800312
59,4,v21-scene-d04,1.78,1.26,0.22,17.22,0.13,0.18,0.03,1,265.838076
60,5,v21-scene-d05,1.36,1.26,0.28,16.25,0.28,0.18,0.03,1,35.36584
61,5,v21-scene-d05,1.39,1.1,0.28,18.65,0.13,0.18,0.03,1,168.483604
62,5,v21-scene-d05,1.42,1.1,0.22,17.25,0.13,0.18,0.03,1,306.561368
63,5,v21-scene-d05,1.45,1.26,0.22,17.25,0.13,0.18,0.03,1,89.599132
64,5,v21-scene-d05,1.48,1.21,0.18,17.25,0.13,0.14,0.03,1,226.126896
65,5,v21-scene-d05,1.51,1.26,0.22,17.25,0.13,0.18,0.09,0,5.75466
66,5,v21-scene-d05,1.48,1.21,0.24,16.25,0.28,0.14,0.03,1,141.142424
67,5,v21-scene-d05,1.57,1.26,0.28,18.65,0.13,0.18,0.03,1,281.910188
68,5,v21-scene-d05,1.6,1.26,0.22,17.25,0.13,0.18,0.03,1,59.987952
69,5,v21-scene-d05,1.63,1.1,0.22,17.25,0.13,0.18,0.03,1,193.105716
70,5,v21-scene-d05,1.66,1.1,0.22,17.25,0.13,0.18,0.03,1,331.18348
71,5,v21-scene-d05,1.63,1.21,0.18,17.25,0.13,0.14,0.09,1,111.531244
72,5,v21-scene-d05,1.72,1.1,0.28,16.25,0.28,0.18,0.03,1,247.339008
73,5,v21-scene-d05,1.75,1.26,0.28,18.65,0.13,0.18,0.03,1,30.376772
74,5,v21-scene-d05,1.78,1.1,0.22,17.25,0.13,0.18,0.03,1,163.494536
75,6,v21-scene-d06,1.36,1.1,0.22,17.28,0.13,0.18,0.03,1,293.0223
76,6,v21-scene-d06,1.39,1.1,0.22,17.28,0.13,0.18,0.09,1,71.100064
77,6,v21-scene-d06,1.42,1.26,0.28,16.28,0.28,0.18,0.03,1,214.137828
78,6,v21-scene-d06,1.45,1.1,0.28,18.68,0.13,0.18,0.03,1,347.255592
79,6,v21-scene-d06,1.48,1.1,0.22,17.28,0.13,0.18,0.03,1,125.333356
80,6,v21-scene-d06,1.51,1.1,0.22,17.28,0.13,0.18,0.03,1,263.41112
81,6,v21-scene-d06,1.54,1.26,0.22,17.28,0.13,0.18,0.03,1,46.448884
82,6,v21-scene-d06,1.57,1.26,0.22,17.28,0.13,0.18,0.09,1,184.526648
