tick,day,ceremony_id,scene_id,object_name,object_x,object_y,ceremony_phase_before,ceremony_phase_after,persisted_to_storage,restored_from_storage,owner_preserved,ceremony_state_score
0,1,v21-ceremony-d01-t00,v21-scene-d01,path cord,7.84,3.4,approach,prompt,1,1,1,1.0
1,1,v21-ceremony-d01-t01,v21-scene-d01,tally beads,6.935216,5.229861,prompt,prompt,1,0,1,1.0
2,1,v21-ceremony-d01-t02,v21-scene-d01,ink ledger,5.021055,5.458895,handoff,prompt,0,0,1,0.75
3,1,v21-ceremony-d01-t03,v21-scene-d01,sap hook,8.398081,5.986297,marked,prompt,1,0,1,1.0
4,1,v21-ceremony-d01-t04,v21-scene-d01,listening shell,4.06721,4.311307,restored,prompt,1,0,1,1.0
5,1,v21-ceremony-d01-t05,v21-scene-d01,ember bowl,4.829673,3.133232,repair,prompt,1,0,0,0.75
6,1,v21-ceremony-d01-t06,v21-scene-d01,path cord,7.686966,3.551465,idle,handoff,1,0,1,1.0
7,1,v21-ceremony-d01-t07,v21-scene-d01,tally beads,6.740792,5.3655,approach,restored,1,1,1,1.0
8,1,v21-ceremony-d01-t08,v21-scene-d01,ink ledger,4.792992,5.574949,prompt,prompt,1,0,1,1.0
9,1,v21-ceremony-d01-t09,v21-scene-d01,sap hook,8.145471,6.079549,handoff,restored,1,1,1,1.0
10,1,v21-ceremony-d01-t10,v21-scene-d01,listening shell,3.800125,4.379173,marked,prompt,1,0,1,1.0
11,1,v21-ceremony-d01-t11,v21-scene-d01,ember bowl,4.55876,3.173832,restored,prompt,1,0,1,1.0
12,1,v21-ceremony-d01-t12,v21-scene-d01,path cord,7.423026,3.563674,repair,prompt,1,0,1,1.0
13,1,v21-ceremony-d01-t13,v21-scene-d01,tally beads,6.494347,5.348979,idle,prompt,1,0,1,1.0
14,1,v21-ceremony-d01-t14,v21-scene-d01,ink ledger,4.573867,5.530155,approach,prompt,1,0,1,1.0
15,2,v21-ceremony-d02-t00,v21-scene-d02,listening shell,3.662402,4.307725,handoff,prompt,1,0,1,1.0
16,2,v21-ceremony-d02-t01,v21-scene-d02,ember bowl,4.460409,3.082309,marked,handoff,1,0,1,1.0
17,2,v21-ceremony-d02-t02,v21-scene-d02,path cord,7.367968,3.454612,restored,prompt,1,0,1,1.0
