tick,day,scene_id,agent,agent_x_before,agent_y_before,agent_x_after,agent_y_after,neutral_x,neutral_y,path_goal,avoided_avatar,approached_avatar,request_initiated,behavior_changed_by_reaction,pathing_consequence_score
0,1,v23-scene-d01,Keth,7.4,3.35,7.521,3.316,7.481,3.296,watchful-default,0,0,0,0,0.75
1,1,v23-scene-d01,Ori,8.25,5.85,8.3566,5.9186,8.3166,5.8986,watchful-default,0,0,0,0,0.75
2,1,v23-scene-d01,Ori,8.3566,5.9186,8.444012,5.974852,8.404012,5.954852,watchful-default,0,0,0,0,0.75
3,1,v23-scene-d01,Nari,4.9,5.4,4.877,5.4956,4.837,5.4756,watchful-default,0,0,0,0,0.75
4,1,v23-scene-d01,Sova,4.5,3.0,4.468,2.957,4.428,2.937,watchful-default,0,0,0,0,0.75
5,1,v23-scene-d01,Melo,6.65,5.2,6.618,5.283,6.578,5.263,watchful-default,0,0,0,0,0.75
6,1,v23-scene-d01,Nari,4.877,5.4956,4.341267,5.871714,4.81814,5.553992,avoidance-path,1,0,1,1,1.0
7,1,v23-scene-d01,Ori,8.444012,5.974852,8.481164,5.856623,8.47569,6.000979,nearby-help,0,1,0,1,1.0
8,1,v23-scene-d01,Sova,4.468,2.957,4.44176,2.92174,4.40176,2.90174,watchful-default,0,0,0,0,0.75
9,1,v23-scene-d01,Nari,4.341267,5.871714,4.663662,5.647738,4.378839,5.862406,approach-and-request,0,1,1,1,1.0
10,1,v23-scene-d01,Sova,4.44176,2.92174,3.907676,2.961736,4.380243,2.872827,avoidance-path,1,0,1,1,1.0
11,1,v23-scene-d01,Keth,7.521,3.316,7.635194,3.300308,7.58022,3.26812,nearby-help,0,0,0,1,0.75
12,1,v23-scene-d01,Ori,8.481164,5.856623,8.494428,5.714352,8.506155,5.904031,nearby-help,0,1,0,1,1.0
13,1,v23-scene-d01,Melo,6.618,5.283,6.59176,5.35106,6.55176,5.33106,watchful-default,0,0,0,0,0.75
14,1,v23-scene-d01,Keth,7.635194,3.300308,7.754179,3.266593,7.673859,3.255253,nearby-help,0,0,0,1,0.75
15,1,v23-scene-d01,Nari,4.663662,5.647738,4.952641,5.433552,4.643203,5.678745,approach-and-request,0,1,1,1,1.0
16,2,v23-scene-d02,Nari,4.952641,5.433552,5.180713,5.281124,4.880166,5.503113,approach-and-request,0,1,1,1,1.0
17,2,v23-scene-d02,Ori,8.494428,5.714352,8.559623,5.618907,8.517031,5.787368,nearby-help,0,0,0,1,0.75
18,2,v23-scene-d02,Vonn,3.85,4.25,3.8234,4.3474,3.7834,4.3274,watchful-default,0,0,0,0,0.75
19,2,v23-scene-d02,Vonn,3.8234,4.3474,3.153355,4.633573,3.761588,4.407268,avoidance-path,1,0,1,1,1.0
20,2,v23-scene-d02,Melo,6.59176,5.35106,6.688348,5.219702,6.530243,5.386869,approach-and-request,0,1,1,1,1.0
21,2,v23-scene-d02,Keth,7.754179,3.266593,7.844545,3.302503,7.771427,3.227606,nearby-help,0,0,0,1,0.75
22,2,v23-scene-d02,Sova,3.907676,2.961736,4.279743,2.94194,3.942294,2.905624,approach-and-request,0,1,0,1,0.75
23,2,v23-scene-d02,Keth,7.844545,3.302503,7.884972,3.324845,7.845527,3.257053,nearby-help,0,0,0,1,0.75
24,2,v23-scene-d02,Melo,6.688348,5.219702,6.737492,5.176222,6.609445,5.279156,nearby-help,0,0,0,1,0.75
25,2,v23-scene-d02,Nari,5.180713,5.281124,5.31293,5.255508,5.067184,5.378121,nearby-help,0,1,0,1,1.0
26,2,v23-scene-d02,Vonn,3.153355,4.633573,3.578476,4.501014,3.212151,4.64193,approach-and-request,0,1,1,1,1.0
27,2,v23-scene-d02,Nari,5.31293,5.255508,5.417717,5.211473,5.175603,5.357117,nearby-help,0,1,0,1,1.0
28,2,v23-scene-d02,Ori,8.559623,5.618907,8.550981,5.526062,8.570491,5.709104,nearby-help,0,1,0,1,1.0
29,2,v23-scene-d02,Sova,4.279743,2.94194,4.586897,2.926749,4.247389,2.889391,nearby-help,0,1,0,1,1.0
30,2,v23-scene-d02,Keth,7.884972,3.324845,7.942077,3.281515,7.878677,3.275373,nearby-help,0,0,0,1,0.75
31,2,v23-scene-d02,Melo,6.737492,5.176222,6.520277,5.523446,6.649743,5.243502,conditional-access,1,0,1,1,1.0
32,3,v23-scene-d03,Ori,8.550981,5.526062,8.592977,5.465989,8.563404,5.632971,nearby-help,0,0,0,1,0.75
33,3,v23-scene-d03,Nari,5.417717,5.211473,5.557504,5.191625,5.261528,5.321008,nearby-help,0,1,0,1,1.0
34,3,v23-scene-d03,Sova,4.586897,2.926749,4.659256,2.956934,4.499256,2.876934,object-inspection,0,0,1,1,1.0
35,3,v23-scene-d03,Keth,7.942077,3.281515,7.996639,3.299804,7.925503,3.239842,nearby-help,0,0,0,1,0.75
36,3,v23-scene-d03,Sova,4.659256,2.956934,4.061749,2.968947,4.55859,2.901686,avoidance-path,1,0,1,1,1.0
37,3,v23-scene-d03,Sova,4.061749,2.968947,3.716544,2.889108,4.068634,2.911537,conditional-access,1,0,0,1,0.75
38,3,v23-scene-d03,Melo,6.520277,5.523446,6.591013,5.346815,6.471627,5.528226,approach-and-request,0,1,1,1,1.0
39,3,v23-scene-d03,Ori,8.592977,5.465989,8.562943,5.454907,8.597841,5.583711,nearby-help,0,1,0,1,1.0
40,3,v23-scene-d03,Melo,6.591013,5.346815,6.624834,5.195426,6.52963,5.383388,approach-and-request,0,1,1,1,1.0
41,3,v23-scene-d03,Sova,3.716544,2.889108,4.097735,2.848495,3.785566,2.846068,approach-and-request,0,1,1,1,1.0
42,3,v23-scene-d03,Nari,5.557504,5.191625,5.536154,5.384732,5.376154,5.304732,object-inspection,0,0,0,1,0.75
43,3,v23-scene-d03,Sova,4.097735,2.848495,3.780234,2.851241,4.098143,2.812766,conditional-access,1,0,1,1,1.0
44,3,v23-scene-d03,Vonn,3.578476,4.501014,3.941717,4.435005,3.56075,4.533232,nearby-help,0,1,0,1,1.0
45,3,v23-scene-d03,Keth,7.996639,3.299804,8.012594,3.256472,7.970244,3.254839,nearby-help,0,0,0,0,0.5
46,3,v23-scene-d03,Nari,5.536154,5.384732,5.624035,5.290602,5.358646,5.463081,nearby-help,0,1,0,1,1.0
47,3,v23-scene-d03,Melo,6.624834,5.195426,6.711218,5.045803,6.557364,5.259249,approach-and-request,0,1,0,1,0.75
48,4,v23-scene-d04,Sova,3.780234,2.851241,3.422849,2.838215,3.837792,2.815017,conditional-access,1,0,1,1,1.0
49,4,v23-scene-d04,Melo,6.711218,5.045803,6.807518,5.022246,6.628199,5.136559,nearby-help,0,0,0,1,0.75
50,4,v23-scene-d04,Nari,5.624035,5.290602,5.699439,5.263106,5.430709,5.385894,nearby-help,0,1,0,1,1.0
51,4,v23-scene-d04,Ori,8.562943,5.454907,8.613214,5.594624,8.573214,5.574624,watchful-default,0,0,0,0,0.75
52,4,v23-scene-d04,Keth,8.012594,3.256472,8.023415,3.282459,7.983327,3.219307,nearby-help,0,1,0,1,1.0
53,4,v23-scene-d04,Nari,5.699439,5.263106,5.30082,5.596252,5.49254,5.363347,conditional-access,1,0,1,1,1.0
54,4,v23-scene-d04,Melo,6.807518,5.022246,6.821997,5.022252,6.707165,5.117242,nearby-help,0,0,0,1,0.75
55,4,v23-scene-d04,Sova,3.422849,2.838215,3.875339,2.820457,3.544736,2.804336,approach-and-request,0,1,1,1,1.0
56,4,v23-scene-d04,Keth,8.023415,3.282459,7.962177,3.209776,7.9922,3.240616,approach-and-request,0,1,1,1,1.0
57,4,v23-scene-d04,Vonn,3.941717,4.435005,4.187564,4.400799,3.858608,4.479104,nearby-help,0,1,0,1,1.0
58,4,v23-scene-d04,Vonn,4.187564,4.400799,4.220203,4.531055,4.060203,4.451055,object-inspection,0,0,1,1,1.0
59,4,v23-scene-d04,Ori,8.613214,5.594624,8.654435,5.709191,8.614435,5.689191,watchful-default,0,0,0,0,0.75
60,4,v23-scene-d04,Vonn,4.220203,4.531055,3.574321,4.87896,4.086966,4.557865,avoidance-path,1,0,1,1,1.0
61,4,v23-scene-d04,Sova,3.875339,2.820457,4.25718,2.758023,3.915778,2.789775,approach-and-request,0,1,1,1,1.0
62,4,v23-scene-d04,Vonn,3.574321,4.87896,3.940525,4.65243,3.557343,4.843147,approach-and-request,0,1,0,1,0.75
