tick,day,followup_id,scene_id,agent,obligation_id,followup_kind,followup_due,followup_visible,initiated_by_agent,changed_avatar_options,followup_score
0,1,v24-followup-0000,v24-scene-d01,Ori,v24-obligation-ori-0000,return-reminder,0,0,0,0,1.0
1,1,v24-followup-0001,v24-scene-d01,Nari,v24-no-open-nari-0001,none,0,0,0,0,1.0
2,1,v24-followup-0002,v24-scene-d01,Ori,v24-obligation-ori-0002,return-reminder,1,1,1,1,1.0
3,1,v24-followup-0003,v24-scene-d01,Nari,v24-obligation-nari-0003,return-reminder,0,0,0,0,1.0
4,1,v24-followup-0004,v24-scene-d01,Ori,v24-obligation-ori-0002,return-reminder,0,0,0,0,1.0
5,1,v24-followup-0005,v24-scene-d01,Ori,v24-no-open-ori-0005,none,0,0,0,0,1.0
6,1,v24-followup-0006,v24-scene-d01,Sova,v24-obligation-sova-0006,return-reminder,0,0,0,0,1.0
7,1,v24-followup-0007,v24-scene-d01,Nari,v24-obligation-nari-0007,return-reminder,0,0,0,0,1.0
8,1,v24-followup-0008,v24-scene-d01,Melo,v24-obligation-melo-0008,return-reminder,0,0,0,0,1.0
9,1,v24-followup-0009,v24-scene-d01,Keth,v24-no-open-keth-0009,none,0,0,0,0,1.0
10,1,v24-followup-0010,v24-scene-d01,Melo,v24-obligation-melo-0010,return-reminder,0,0,0,0,1.0
11,1,v24-followup-0011,v24-scene-d01,Ori,v24-obligation-ori-0011,return-reminder,0,0,0,0,1.0
12,1,v24-followup-0012,v24-scene-d01,Vonn,v24-obligation-vonn-0012,repair-check,0,0,0,0,1.0
13,1,v24-followup-0013,v24-scene-d01,Ori,v24-no-open-ori-0013,none,0,0,0,0,1.0
14,1,v24-followup-0014,v24-scene-d01,Ori,v24-obligation-ori-0014,return-reminder,0,0,0,0,1.0
15,1,v24-followup-0015,v24-scene-d01,Keth,v24-obligation-keth-0015,return-reminder,0,0,0,0,1.0
16,1,v24-followup-0016,v24-scene-d01,Sova,v24-obligation-sova-0016,return-reminder,1,1,1,1,1.0
17,1,v24-followup-0017,v24-scene-d01,Melo,v24-no-open-melo-0017,none,0,0,0,0,1.0
18,2,v24-followup-0018,v24-scene-d02,Sova,v24-obligation-sova-0016,return-reminder,0,0,0,0,1.0
19,2,v24-followup-0019,v24-scene-d02,Nari,v24-obligation-nari-0007,return-reminder,1,1,1,1,1.0
20,2,v24-followup-0020,v24-scene-d02,Sova,v24-obligation-sova-0020,return-reminder,1,1,1,1,1.0
21,2,v24-followup-0021,v24-scene-d02,Ori,v24-no-open-ori-0021,none,0,0,0,0,1.0
22,2,v24-followup-0022,v24-scene-d02,Vonn,v24-obligation-vonn-0012,repair-check,1,1,1,1,1.0
23,2,v24-followup-0023,v24-scene-d02,Keth,v24-obligation-keth-0023,return-reminder,1,1,1,1,1.0
24,2,v24-followup-0024,v24-scene-d02,Melo,v24-obligation-melo-0024,return-reminder,1,1,1,1,1.0
25,2,v24-followup-0025,v24-scene-d02,Melo,v24-obligation-melo-0024,return-reminder,0,0,0,0,1.0
26,2,v24-followup-0026,v24-scene-d02,Nari,v24-obligation-nari-0007,return-reminder,0,0,0,0,1.0
27,2,v24-followup-0027,v24-scene-d02,Sova,v24-obligation-sova-0020,return-reminder,1,1,1,1,1.0
