metric,value
source_reaction_consequence_continuity,1.0
scene_visit_state_binding,0.874074
multi_day_obligation_persistence,0.99375
open_obligation_visibility,0.96875
object_return_request_resolution,0.798005
object_return_integrity,0.952852
trust_access_compounding,1.0
trust_access_score,0.999074
delayed_followup_recurrence,0.912
agent_initiated_followup_binding,0.856
repair_deferral_integrity,0.991481
residual_debt_visibility,0.991228
access_restoration_after_repair,0.968085
obligation_storage_integrity,0.958333
sensory_obligation_binding,0.824074
comfort_pain_obligation_bounds,1.0
obligation_replay_integrity,0.97101
visible_obligation_surface,0.825926
privacy_safe_obligation_state,1.0
frequency_flower_obligation_rhythm,1.0
browser_world_v24_surface_available,1.0
mean_obligation_channel_score,0.946888
weakest_channel_score,0.798005
browser_world_v24_obligation_readiness,0.884357
open_obligation_frame_count,160.0
return_requested_count,401.0
followup_due_count,125.0
repair_attempt_count,95.0
repair_or_deferral_attempt_count,95.0
