tick_id,day,project_id,owner,obligation_id,unresolved,blocks_material,blocks_time,blocks_access,blocker_visible,repair_option,residual_debt
0,1,west_bridge_repair,Ari,return_caliper_to_ari,true,false,false,false,false,none,0.215
1,1,herb_roof_garden,Fay,restore_seed_pouch_to_fay,false,false,false,false,false,none,0.218
2,1,north_lantern_relay,Milo,respect_milo_quiet_dusk_route,false,false,false,false,false,none,0.268
3,1,archive_weather_log,Nia,return_nia_reading_lens,true,false,false,false,false,none,0.365
4,1,west_bridge_repair,Ari,return_caliper_to_ari,false,false,false,false,false,none,0.203
5,1,herb_roof_garden,Fay,restore_seed_pouch_to_fay,true,false,false,false,false,none,0.253
6,1,north_lantern_relay,Milo,respect_milo_quiet_dusk_route,false,false,false,false,false,none,0.256
7,1,archive_weather_log,Nia,return_nia_reading_lens,true,false,false,false,false,none,0.353
8,1,west_bridge_repair,Ari,return_caliper_to_ari,false,false,false,false,false,none,0.191
9,1,herb_roof_garden,Fay,restore_seed_pouch_to_fay,true,false,true,false,true,return object / reschedule / substitute material,0.288
10,1,north_lantern_relay,Milo,respect_milo_quiet_dusk_route,false,false,false,false,false,none,0.244
11,1,archive_weather_log,Nia,return_nia_reading_lens,false,false,false,false,false,none,0.341
12,1,west_bridge_repair,Ari,return_caliper_to_ari,false,false,false,false,false,none,0.179
13,1,herb_roof_garden,Fay,restore_seed_pouch_to_fay,false,false,false,false,false,none,0.276
14,1,north_lantern_relay,Milo,respect_milo_quiet_dusk_route,true,false,false,false,false,none,0.064
15,1,archive_weather_log,Nia,return_nia_reading_lens,false,false,false,false,false,none,0.329
16,1,west_bridge_repair,Ari,return_caliper_to_ari,false,false,false,false,false,none,0.0
17,1,herb_roof_garden,Fay,restore_seed_pouch_to_fay,false,false,false,false,false,none,0.264
18,2,north_lantern_relay,Milo,respect_milo_quiet_dusk_route,false,false,false,false,false,none,0.052
19,2,archive_weather_log,Nia,return_nia_reading_lens,false,false,false,false,false,none,0.317
20,2,west_bridge_repair,Ari,return_caliper_to_ari,false,false,false,false,false,none,0.0
21,2,herb_roof_garden,Fay,restore_seed_pouch_to_fay,false,false,false,false,false,none,0.252
22,2,north_lantern_relay,Milo,respect_milo_quiet_dusk_route,true,false,false,false,false,none,0.087
23,2,archive_weather_log,Nia,return_nia_reading_lens,false,false,false,false,false,none,0.305
24,2,west_bridge_repair,Ari,return_caliper_to_ari,false,false,false,false,false,none,0.0
25,2,herb_roof_garden,Fay,restore_seed_pouch_to_fay,false,false,false,false,false,none,0.24
26,2,north_lantern_relay,Milo,respect_milo_quiet_dusk_route,true,false,false,false,false,none,0.122
27,2,archive_weather_log,Nia,return_nia_reading_lens,false,false,false,false,false,none,0.293
28,2,west_bridge_repair,Ari,return_caliper_to_ari,true,false,false,false,false,none,0.035
29,2,herb_roof_garden,Fay,restore_seed_pouch_to_fay,false,false,false,false,false,none,0.228
30,2,north_lantern_relay,Milo,respect_milo_quiet_dusk_route,false,false,false,false,false,none,0.11
31,2,archive_weather_log,Nia,return_nia_reading_lens,true,false,true,false,true,return object / reschedule / substitute material,0.328
32,2,west_bridge_repair,Ari,return_caliper_to_ari,true,false,false,false,false,none,0.07
33,2,herb_roof_garden,Fay,restore_seed_pouch_to_fay,false,false,false,false,false,none,0.216
34,2,north_lantern_relay,Milo,respect_milo_quiet_dusk_route,false,false,false,false,false,none,0.098
35,2,archive_weather_log,Nia,return_nia_reading_lens,false,false,false,false,false,none,0.316
36,3,herb_roof_garden,Fay,restore_seed_pouch_to_fay,false,false,false,false,false,none,0.204
37,3,north_lantern_relay,Milo,respect_milo_quiet_dusk_route,false,false,false,false,false,none,0.086
38,3,archive_weather_log,Nia,return_nia_reading_lens,true,false,false,false,false,none,0.351
39,3,west_bridge_repair,Ari,return_caliper_to_ari,false,false,false,false,false,none,0.058
40,3,herb_roof_garden,Fay,restore_seed_pouch_to_fay,true,false,false,false,false,none,0.239
41,3,north_lantern_relay,Milo,respect_milo_quiet_dusk_route,false,false,false,false,false,none,0.074
42,3,archive_weather_log,Nia,return_nia_reading_lens,false,false,false,false,false,none,0.339
43,3,west_bridge_repair,Ari,return_caliper_to_ari,false,false,false,false,false,none,0.046
44,3,herb_roof_garden,Fay,restore_seed_pouch_to_fay,true,false,false,false,false,none,0.274
45,3,north_lantern_relay,Milo,respect_milo_quiet_dusk_route,false,false,false,false,false,none,0.062
46,3,archive_weather_log,Nia,return_nia_reading_lens,false,false,false,false,false,none,0.327
