tick_id,day,tick,project_id,owner,stage,progress_before,progress_delta,progress_after,target_after_reshape,active_work,blocked,blocker_type,reshaped,visible_project_marker
0,1,0,west_bridge_repair,Ari,measure,0.0,0.0,0.0,1.0,false,false,none,false,work active
1,1,1,herb_roof_garden,Fay,clear,0.0,0.0,0.0,1.0,false,false,none,false,work active
2,1,2,north_lantern_relay,Milo,clean,0.0,0.0,0.0,1.0,false,false,none,false,work active
3,1,3,archive_weather_log,Nia,sort,0.0,0.0,0.0,1.0,false,false,none,false,work active
4,1,4,west_bridge_repair,Ari,measure,0.0,0.0,0.0,1.0,false,false,none,false,work active
5,1,5,herb_roof_garden,Fay,clear,0.0,0.02909,0.02909,1.0,true,false,none,false,reserved work slot
6,1,6,north_lantern_relay,Milo,clean,0.0,0.0,0.0,1.0,false,false,none,false,work active
7,1,7,archive_weather_log,Nia,sort,0.0,0.027794,0.027794,1.0,true,false,none,false,reserved work slot
8,1,8,west_bridge_repair,Ari,measure,0.0,0.0,0.0,1.0,false,false,none,false,work active
9,1,9,herb_roof_garden,Fay,clear,0.02909,0.005151,0.034241,1.0,true,true,obligation_time_conflict,false,blocked: obligation_time_conflict
10,1,10,north_lantern_relay,Milo,clean,0.0,0.028373,0.028373,1.0,true,false,none,false,reserved work slot
11,1,11,archive_weather_log,Nia,sort,0.027794,0.0,0.027794,1.0,false,false,none,false,work active
12,1,12,west_bridge_repair,Ari,measure,0.0,0.0,0.0,1.0,false,false,none,false,work active
13,1,13,herb_roof_garden,Fay,clear,0.034241,0.0,0.034241,1.0,false,false,none,false,work active
14,1,14,north_lantern_relay,Milo,clean,0.028373,0.0,0.028373,1.0,false,false,none,false,work active
15,1,15,archive_weather_log,Nia,sort,0.027794,0.027432,0.055227,1.0,true,false,none,false,reserved work slot
16,1,16,west_bridge_repair,Ari,measure,0.0,0.0,0.0,1.0,false,false,none,false,work active
17,1,17,herb_roof_garden,Fay,clear,0.034241,0.0,0.034241,1.0,false,false,none,false,work active
18,2,0,north_lantern_relay,Milo,clean,0.028373,0.0,0.028373,1.0,false,false,none,false,work active
19,2,1,archive_weather_log,Nia,sort,0.055227,0.0,0.055227,1.0,false,false,none,false,work active
20,2,2,west_bridge_repair,Ari,measure,0.0,0.030558,0.030558,1.0,true,false,none,false,reserved work slot
21,2,3,herb_roof_garden,Fay,clear,0.034241,0.0,0.034241,1.0,false,false,none,false,work active
22,2,4,north_lantern_relay,Milo,clean,0.028373,0.0,0.028373,1.0,false,false,none,false,work active
23,2,5,archive_weather_log,Nia,sort,0.055227,0.0,0.055227,1.0,false,false,none,false,work active
24,2,6,west_bridge_repair,Ari,measure,0.030558,0.0,0.030558,1.0,false,false,none,false,work active
25,2,7,herb_roof_garden,Fay,clear,0.034241,0.028904,0.063145,1.0,true,false,none,false,reserved work slot
26,2,8,north_lantern_relay,Milo,clean,0.028373,0.0,0.028373,1.0,false,false,none,false,work active
27,2,9,archive_weather_log,Nia,sort,0.055227,0.0,0.055227,1.0,false,false,none,false,work active
28,2,10,west_bridge_repair,Ari,measure,0.030558,0.0,0.030558,1.0,false,false,none,false,work active
29,2,11,herb_roof_garden,Fay,clear,0.063145,0.0,0.063145,1.0,false,false,none,false,work active
30,2,12,north_lantern_relay,Milo,clean,0.028373,0.0,0.028373,1.0,false,false,none,false,work active
31,2,13,archive_weather_log,Nia,sort,0.055227,0.005013,0.060239,1.0,true,true,obligation_time_conflict,false,blocked: obligation_time_conflict
32,2,14,west_bridge_repair,Ari,measure,0.030558,0.0,0.030558,1.0,false,false,none,false,work active
33,2,15,herb_roof_garden,Fay,clear,0.063145,0.0,0.063145,1.0,false,false,none,false,work active
34,2,16,north_lantern_relay,Milo,clean,0.028373,0.0,0.028373,1.0,false,false,none,false,work active
35,2,17,archive_weather_log,Nia,sort,0.060239,0.0,0.060239,1.0,false,false,none,false,reserved work slot
36,3,0,herb_roof_garden,Fay,clear,0.063145,0.0,0.063145,1.0,false,false,none,false,work active
37,3,1,north_lantern_relay,Milo,clean,0.028373,0.0,0.028373,1.0,false,false,none,false,work active
38,3,2,archive_weather_log,Nia,sort,0.060239,0.0,0.060239,1.0,false,false,none,false,work active
39,3,3,west_bridge_repair,Ari,measure,0.030558,0.030534,0.061091,1.0,true,false,none,false,reserved work slot
40,3,4,herb_roof_garden,Fay,clear,0.063145,0.0,0.063145,1.0,false,false,none,false,work active
41,3,5,north_lantern_relay,Milo,clean,0.028373,0.0,0.028373,1.0,false,false,none,false,work active
42,3,6,archive_weather_log,Nia,sort,0.060239,0.0,0.060239,1.0,false,false,none,false,work active
43,3,7,west_bridge_repair,Ari,measure,0.061091,0.0,0.061091,1.0,false,false,none,false,work active
44,3,8,herb_roof_garden,Fay,clear,0.063145,0.0,0.063145,1.0,false,false,none,false,work active
45,3,9,north_lantern_relay,Milo,clean,0.028373,0.030416,0.058789,1.0,true,false,none,false,reserved work slot
46,3,10,archive_weather_log,Nia,sort,0.060239,0.0,0.060239,1.0,false,false,none,false,work active
47,3,11,west_bridge_repair,Ari,measure,0.061091,0.0,0.061091,1.0,false,false,none,false,work active
48,3,12,herb_roof_garden,Fay,clear,0.063145,0.0,0.063145,1.0,false,false,none,false,work active
49,3,13,north_lantern_relay,Milo,clean,0.058789,0.0,0.058789,1.0,false,false,none,false,work active
50,3,14,archive_weather_log,Nia,sort,0.060239,0.028246,0.088486,1.0,true,false,none,false,reserved work slot
51,3,15,west_bridge_repair,Ari,measure,0.061091,0.0,0.061091,1.0,false,false,none,false,work active
52,3,16,herb_roof_garden,Fay,clear,0.063145,0.0,0.063145,1.0,false,false,none,false,work active
53,3,17,north_lantern_relay,Milo,clean,0.058789,0.0,0.058789,1.0,false,false,none,false,reserved work slot
54,4,0,archive_weather_log,Nia,sort,0.088486,0.0,0.088486,1.0,false,false,none,false,work active
55,4,1,west_bridge_repair,Ari,measure,0.061091,0.0,0.061091,1.0,false,false,none,false,reserved work slot
56,4,2,herb_roof_garden,Fay,clear,0.063145,0.0,0.063145,1.0,false,false,none,false,work active
57,4,3,north_lantern_relay,Milo,clean,0.058789,0.0,0.058789,1.0,false,false,none,false,work active
58,4,4,archive_weather_log,Nia,sort,0.088486,0.028362,0.116848,1.0,true,false,none,false,reserved work slot
59,4,5,west_bridge_repair,Ari,measure,0.061091,0.0,0.061091,1.0,false,false,none,false,work active
60,4,6,herb_roof_garden,Fay,clear,0.063145,0.03047,0.093615,1.0,true,false,none,false,reserved work slot
61,4,7,north_lantern_relay,Milo,clean,0.058789,0.0,0.058789,1.0,false,false,none,false,work active
62,4,8,archive_weather_log,Nia,sort,0.116848,0.0,0.116848,1.0,false,false,none,false,work active
63,4,9,west_bridge_repair,Ari,measure,0.061091,0.0,0.061091,1.0,false,false,none,false,work active
64,4,10,herb_roof_garden,Fay,clear,0.093615,0.0,0.093615,1.0,false,false,none,false,work active
65,4,11,north_lantern_relay,Milo,clean,0.058789,0.030964,0.089753,1.0,true,false,none,false,reserved work slot
66,4,12,archive_weather_log,Nia,sort,0.116848,0.0,0.116848,1.0,false,false,none,false,work active
67,4,13,west_bridge_repair,Ari,measure,0.061091,0.0,0.061091,1.0,false,false,none,false,work active
68,4,14,herb_roof_garden,Fay,clear,0.093615,0.0,0.093615,1.0,false,false,none,false,work active
69,4,15,north_lantern_relay,Milo,clean,0.089753,0.0,0.089753,1.0,false,false,none,false,work active
70,4,16,archive_weather_log,Nia,sort,0.116848,0.0,0.116848,1.0,false,false,none,false,work active
71,4,17,west_bridge_repair,Ari,measure,0.061091,0.0,0.061091,1.0,false,false,none,false,work active
72,5,0,herb_roof_garden,Fay,clear,0.093615,0.0,0.093615,1.0,false,false,none,false,work active
73,5,1,north_lantern_relay,Milo,clean,0.089753,0.0,0.089753,1.0,false,false,none,false,work active
74,5,2,archive_weather_log,Nia,sort,0.116848,0.0,0.116848,1.0,false,false,none,false,work active
75,5,3,west_bridge_repair,Ari,measure,0.061091,0.030965,0.092056,1.0,true,false,none,false,reserved work slot
76,5,4,herb_roof_garden,Fay,clear,0.093615,0.0,0.093615,1.0,false,false,none,false,work active
77,5,5,north_lantern_relay,Milo,clean,0.089753,0.0,0.089753,1.0,false,false,none,false,work active
78,5,6,archive_weather_log,Nia,sort,0.116848,0.0,0.116848,1.0,false,false,none,false,work active
79,5,7,west_bridge_repair,Ari,measure,0.092056,0.0,0.092056,1.0,false,false,none,false,work active
80,5,8,herb_roof_garden,Fay,clear,0.093615,0.0,0.093615,1.0,false,false,none,false,work active
81,5,9,north_lantern_relay,Milo,clean,0.089753,0.030965,0.120718,1.0,true,false,none,false,reserved work slot
82,5,10,archive_weather_log,Nia,sort,0.116848,0.0,0.116848,1.0,false,false,none,false,work active
83,5,11,west_bridge_repair,Ari,measure,0.092056,0.0,0.092056,1.0,false,false,none,false,work active
84,5,12,herb_roof_garden,Fay,clear,0.093615,0.0,0.093615,1.0,false,false,none,false,work active
85,5,13,north_lantern_relay,Milo,clean,0.120718,0.0,0.120718,1.0,false,false,none,false,work active
86,5,14,archive_weather_log,Nia,sort,0.116848,0.029189,0.146036,1.0,true,false,none,false,reserved work slot
87,5,15,west_bridge_repair,Ari,measure,0.092056,0.0,0.092056,1.0,false,false,none,false,work active
88,5,16,herb_roof_garden,Fay,clear,0.093615,0.0,0.093615,1.0,false,false,none,false,reserved work slot
89,5,17,north_lantern_relay,Milo,clean,0.120718,0.0,0.120718,1.0,false,false,none,false,work active
90,6,0,west_bridge_repair,Ari,measure,0.092056,0.0,0.092056,1.0,false,false,none,false,work active
91,6,1,herb_roof_garden,Fay,clear,0.093615,0.0,0.093615,1.0,false,false,none,false,work active
92,6,2,north_lantern_relay,Milo,clean,0.120718,0.0,0.120718,1.0,false,false,none,false,work active
93,6,3,archive_weather_log,Nia,sort,0.146036,0.0,0.146036,1.0,false,false,none,false,work active
94,6,4,west_bridge_repair,Ari,measure,0.092056,0.0,0.092056,1.0,false,false,none,false,work active
95,6,5,herb_roof_garden,Fay,clear,0.093615,0.005574,0.099188,1.0,true,true,obligation_time_conflict,false,blocked: obligation_time_conflict
96,6,6,north_lantern_relay,Milo,clean,0.120718,0.0,0.120718,1.0,false,false,none,false,work active
97,6,7,archive_weather_log,Nia,sort,0.146036,0.0,0.146036,1.0,false,false,none,false,work active
98,6,8,west_bridge_repair,Ari,measure,0.092056,0.0,0.092056,1.0,false,false,none,false,work active
99,6,9,herb_roof_garden,Fay,clear,0.099188,0.0,0.099188,1.0,false,false,none,false,work active
100,6,10,north_lantern_relay,Milo,clean,0.120718,0.030965,0.151682,1.0,true,false,none,false,reserved work slot
101,6,11,archive_weather_log,Nia,sort,0.146036,0.0,0.146036,1.0,false,false,none,false,work active
102,6,12,west_bridge_repair,Ari,measure,0.092056,0.0,0.092056,1.0,false,false,none,false,work active
103,6,13,herb_roof_garden,Fay,clear,0.099188,0.0,0.099188,1.0,false,false,none,false,work active
104,6,14,north_lantern_relay,Milo,clean,0.151682,0.030491,0.182173,1.0,true,false,none,false,reserved work slot
105,6,15,archive_weather_log,Nia,sort,0.146036,0.029165,0.175202,1.0,true,false,none,false,reserved work slot
106,6,16,west_bridge_repair,Ari,measure,0.092056,0.0,0.092056,1.0,false,false,none,false,reserved work slot
107,6,17,herb_roof_garden,Fay,clear,0.099188,0.0,0.099188,1.0,false,false,none,false,work active
108,7,0,north_lantern_relay,Milo,clean,0.182173,0.0,0.182173,1.0,false,false,none,false,work active
109,7,1,archive_weather_log,Nia,sort,0.175202,0.0,0.175202,1.0,false,true,obligation_time_conflict,false,blocked: obligation_time_conflict
110,7,2,west_bridge_repair,Ari,measure,0.092056,0.005574,0.09763,1.0,true,true,obligation_time_conflict,false,blocked: obligation_time_conflict
111,7,3,herb_roof_garden,Fay,clear,0.099188,0.030965,0.130153,1.0,true,false,none,false,reserved work slot
112,7,4,north_lantern_relay,Milo,clean,0.182173,0.0,0.182173,1.0,false,false,none,false,work active
113,7,5,archive_weather_log,Nia,sort,0.175202,0.0,0.175202,1.0,false,false,none,false,work active
114,7,6,west_bridge_repair,Ari,measure,0.09763,0.0,0.09763,1.0,false,false,none,false,work active
115,7,7,herb_roof_garden,Fay,clear,0.130153,0.030491,0.160644,1.0,true,false,none,false,reserved work slot
116,7,8,north_lantern_relay,Milo,clean,0.182173,0.0,0.182173,1.0,false,false,none,false,work active
117,7,9,archive_weather_log,Nia,sort,0.175202,0.0,0.175202,1.0,false,false,none,false,work active
118,7,10,west_bridge_repair,Ari,measure,0.09763,0.0,0.09763,1.0,false,false,none,false,work active
119,7,11,herb_roof_garden,Fay,clear,0.160644,0.0,0.160644,1.0,false,false,none,false,work active
120,7,12,north_lantern_relay,Milo,clean,0.182173,0.0,0.182173,1.0,false,false,none,false,work active
121,7,13,archive_weather_log,Nia,sort,0.175202,0.029542,0.204744,1.0,true,false,none,false,reserved work slot
122,7,14,west_bridge_repair,Ari,measure,0.09763,0.0,0.09763,1.0,false,false,none,false,work active
123,7,15,herb_roof_garden,Fay,clear,0.160644,0.0,0.160644,1.0,false,false,none,false,work active
124,7,16,north_lantern_relay,Milo,clean,0.182173,0.0,0.182173,1.0,false,false,none,false,work active
125,7,17,archive_weather_log,Nia,sort,0.204744,0.0,0.204744,1.0,false,false,none,false,work active
126,8,0,west_bridge_repair,Ari,measure,0.09763,0.0,0.09763,1.0,false,false,none,false,work active
127,8,1,herb_roof_garden,Fay,clear,0.160644,0.0,0.160644,1.0,false,false,none,false,work active
128,8,2,north_lantern_relay,Milo,clean,0.182173,0.0,0.182173,1.0,false,false,none,false,work active
129,8,3,archive_weather_log,Nia,sort,0.204744,0.0,0.204744,1.0,false,false,none,false,work active
130,8,4,west_bridge_repair,Ari,measure,0.09763,0.0,0.09763,1.0,false,false,none,false,work active
131,8,5,herb_roof_garden,Fay,clear,0.160644,0.030868,0.191512,1.0,true,false,none,false,reserved work slot
132,8,6,north_lantern_relay,Milo,clean,0.182173,0.0,0.182173,1.0,false,false,none,false,work active
133,8,7,archive_weather_log,Nia,sort,0.204744,0.0,0.204744,1.0,false,false,none,false,work active
134,8,8,west_bridge_repair,Ari,measure,0.09763,0.0,0.09763,1.0,false,false,none,false,work active
135,8,9,herb_roof_garden,Fay,clear,0.191512,0.0,0.191512,1.0,false,false,none,false,work active
136,8,10,north_lantern_relay,Milo,clean,0.182173,0.030965,0.213138,1.0,true,false,none,false,reserved work slot
137,8,11,archive_weather_log,Nia,sort,0.204744,0.029919,0.234663,1.0,true,false,none,false,reserved work slot
138,8,12,west_bridge_repair,Ari,measure,0.09763,0.0,0.09763,1.0,false,false,none,false,work active
139,8,13,herb_roof_garden,Fay,clear,0.191512,0.030545,0.222057,1.0,true,false,none,false,reserved work slot
140,8,14,north_lantern_relay,Milo,clean,0.213138,0.0,0.213138,1.0,false,false,none,false,work active
141,8,15,archive_weather_log,Nia,sort,0.234663,0.0053,0.239963,1.0,true,true,obligation_time_conflict,false,blocked: obligation_time_conflict
142,8,16,west_bridge_repair,Ari,measure,0.09763,0.0,0.09763,1.0,false,false,none,false,work active
143,8,17,herb_roof_garden,Fay,clear,0.222057,0.0,0.222057,1.0,false,false,none,false,work active
144,9,0,archive_weather_log,Nia,sort,0.239963,0.0,0.239963,1.0,false,false,none,false,work active
145,9,1,west_bridge_repair,Ari,measure,0.09763,0.0,0.09763,1.0,false,false,none,false,reserved work slot
146,9,2,herb_roof_garden,Fay,clear,0.222057,0.0,0.222057,1.0,false,false,none,false,work active
147,9,3,north_lantern_relay,Milo,clean,0.213138,0.0,0.213138,1.0,false,false,none,false,work active
