metric,value
agent_project_followup_binding,1.0
blocked_project_frame_count,33.0
body_cost_fatigue_binding,0.959877
browser_world_v25_project_readiness,0.936943
browser_world_v25_surface_available,1.0
comfort_pain_project_bounds,1.0
fatigue_recovery_count,512.0
fatigue_recovery_path,1.0
final_mean_completion_ratio,1.0
frequency_flower_project_rhythm,0.944444
many_day_project_persistence,0.888889
material_consumption_traceability,1.0
material_shortage_count,7.0
material_shortage_visibility,1.0
mean_project_channel_score,0.976588
obligation_project_blocking,0.933333
privacy_safe_project_state,1.0
project_memory_storage_integrity,1.0
project_progress_under_constraints,0.835
project_replay_integrity,1.0
project_reshape_from_obligation,1.0
reshaped_project_count,4.0
sensory_project_binding,1.0
source_obligation_continuity,1.0
time_reservation_integrity,0.993631
visible_project_surface,1.0
weakest_channel_score,0.835
