metric,value
agent_economy_initiative_binding,1.0
browser_world_v27_infrastructure_readiness,0.922088
browser_world_v27_surface_available,1.0
durable_building_frame_count,864.0
durable_building_state_traceability,0.996528
ecology_feedback_count,208.0
economy_under_decay_tradeoffs,0.779035
failure_recovery_path,1.0
failure_replay_binding,1.0
final_mean_ecology_health,0.91553
final_mean_infrastructure_health,0.861779
final_mean_tool_health,0.720219
frequency_flower_maintenance_rhythm,0.947917
household_economy_frame_count,864.0
household_economy_loop_persistence,1.0
infrastructure_ecology_feedback,1.0
infrastructure_memory_integrity,1.0
infrastructure_replay_integrity,1.0
infrastructure_routine_mutation,1.0
maintenance_debt_integrity,1.0
mean_infrastructure_channel_score,0.983396
privacy_safe_infrastructure_state,1.0
project_failure_count,18.0
project_failure_visibility,0.944444
routine_mutation_count,4.0
sensory_infrastructure_binding,1.0
skill_specialization_effect,1.0
source_cooperative_project_continuity,1.0
tool_wear_frame_count,864.0
tool_wear_maintenance_binding,1.0
visible_browser_infrastructure_surface,1.0
weakest_channel_score,0.779035
