tick_id,day,agent,tool_id,infrastructure_id,condition_before,wear_delta,maintenance_delta,condition_after,broken,tool_limits_work,repair_action
0,1,Ari,drawknife,river_mill_bridge,0.84,0.002,0.10656,0.94456,False,False,sharpen / oil / recalibrate
1,1,Fay,glass tongs,roof_greenhouse_cistern,0.815,0.002,0.0,0.813,False,False,none
2,1,Nia,binding awl,archive_public_kiosk,0.79,0.009,0.0,0.781,False,False,none
3,1,Milo,wire crimper,dusk_signal_workshop,0.765,0.002,0.0,0.763,False,False,none
4,1,Ari,drawknife,river_mill_bridge,0.94456,0.002,0.0,0.94256,False,False,none
5,1,Fay,glass tongs,roof_greenhouse_cistern,0.813,0.009,0.0,0.804,False,False,none
6,1,Nia,binding awl,archive_public_kiosk,0.781,0.002,0.0,0.779,False,False,none
7,1,Milo,wire crimper,dusk_signal_workshop,0.763,0.002,0.0,0.761,False,False,none
8,1,Ari,drawknife,river_mill_bridge,0.94256,0.009,0.0,0.93356,False,False,none
9,1,Fay,glass tongs,roof_greenhouse_cistern,0.804,0.002,0.0,0.802,False,False,none
10,1,Nia,binding awl,archive_public_kiosk,0.779,0.002,0.0,0.777,False,False,none
11,1,Milo,wire crimper,dusk_signal_workshop,0.761,0.009,0.0,0.752,False,False,none
12,1,Ari,drawknife,river_mill_bridge,0.93356,0.002,0.0,0.93156,False,False,none
13,1,Fay,glass tongs,roof_greenhouse_cistern,0.802,0.002,0.0,0.8,False,False,none
14,1,Nia,binding awl,archive_public_kiosk,0.777,0.009,0.0,0.768,False,False,none
15,1,Milo,wire crimper,dusk_signal_workshop,0.752,0.002,0.0,0.75,False,False,none
16,1,Ari,drawknife,river_mill_bridge,0.93156,0.002,0.0,0.92956,False,False,none
17,1,Fay,glass tongs,roof_greenhouse_cistern,0.8,0.002,0.0,0.798,False,False,none
18,2,Nia,binding awl,archive_public_kiosk,0.768,0.002,0.0,0.766,False,False,none
19,2,Milo,wire crimper,dusk_signal_workshop,0.75,0.002,0.0,0.748,False,False,none
20,2,Ari,drawknife,river_mill_bridge,0.92956,0.009,0.0,0.92056,False,False,none
21,2,Fay,glass tongs,roof_greenhouse_cistern,0.798,0.002,0.0,0.796,False,False,none
22,2,Nia,binding awl,archive_public_kiosk,0.766,0.002,0.0,0.764,False,False,none
23,2,Milo,wire crimper,dusk_signal_workshop,0.748,0.009,0.0,0.739,False,False,none
24,2,Ari,drawknife,river_mill_bridge,0.92056,0.002,0.0,0.91856,False,False,none
25,2,Fay,glass tongs,roof_greenhouse_cistern,0.796,0.009,0.0,0.787,False,False,none
26,2,Nia,binding awl,archive_public_kiosk,0.764,0.009,0.0,0.755,False,False,none
27,2,Milo,wire crimper,dusk_signal_workshop,0.739,0.002,0.0,0.737,False,False,none
28,2,Ari,drawknife,river_mill_bridge,0.91856,0.002,0.0,0.91656,False,False,none
29,2,Fay,glass tongs,roof_greenhouse_cistern,0.787,0.009,0.0,0.778,False,False,none
30,2,Nia,binding awl,archive_public_kiosk,0.755,0.002,0.0,0.753,False,False,none
31,2,Milo,wire crimper,dusk_signal_workshop,0.737,0.002,0.0,0.735,False,False,none
32,2,Ari,drawknife,river_mill_bridge,0.91656,0.009,0.0,0.90756,False,False,none
33,2,Fay,glass tongs,roof_greenhouse_cistern,0.778,0.002,0.0,0.776,False,False,none
