tick_id,day,tick,season,avatar_region,active_route,supply_panel,weather_panel,guild_panel,apprentice_panel,collapse_panel,migration_panel,save_restore_key,replay_key,boundary_note
0,1,0,spring_rain,roofward,riverbend->archive_quarter,thread: 0.33/0.33,wet surge intensity 0.50,Bridgewright Guild backlog 0.18,Toma skill 0.22,river mill: stable,fish->archive_quarter 0.11,ssrm_v28_region_state_seed_20260881,v28-504920,"deterministic browser-local multi-household supply-chain/season/guild/apprenticeship region scaffold only; no LLM call, subjective consciousness, real consent, moral patienthood, autonomous natural language, complete 3D engine, or metaphysical frequency claim"
1,1,1,spring_rain,archive_quarter,roofward->signal_ridge,herbs: 0.43/0.43,wet surge intensity 0.58,Glassgarden Guild backlog 0.21,Lio skill 0.25,roof cistern: stable,fish->signal_ridge 0.11,ssrm_v28_region_state_seed_20260881,v28-446611,"deterministic browser-local multi-household supply-chain/season/guild/apprenticeship region scaffold only; no LLM call, subjective consciousness, real consent, moral patienthood, autonomous natural language, complete 3D engine, or metaphysical frequency claim"
2,1,2,spring_rain,signal_ridge,archive_quarter->orchard_fen,paper: 0.33/0.33,wet surge intensity 0.66,Index Guild backlog 0.18,Sera skill 0.28,public kiosk: stable,fish->orchard_fen 0.11,ssrm_v28_region_state_seed_20260881,v28-515641,"deterministic browser-local multi-household supply-chain/season/guild/apprenticeship region scaffold only; no LLM call, subjective consciousness, real consent, moral patienthood, autonomous natural language, complete 3D engine, or metaphysical frequency claim"
3,1,3,spring_rain,orchard_fen,signal_ridge->riverbend,oil: 0.43/0.43,wet surge intensity 0.74,Signal Guild backlog 0.29,Ren skill 0.30,signal tower: stable,fish->riverbend 0.11,ssrm_v28_region_state_seed_20260881,v28-435336,"deterministic browser-local multi-household supply-chain/season/guild/apprenticeship region scaffold only; no LLM call, subjective consciousness, real consent, moral patienthood, autonomous natural language, complete 3D engine, or metaphysical frequency claim"
4,1,4,spring_rain,central_exchange,orchard_fen->roofward,seeds: 0.33/0.33,wet surge intensity 0.52,Seed Guild backlog 0.32,Mara skill 0.32,seed pier: stable,fish->roofward 0.11,ssrm_v28_region_state_seed_20260881,v28-435780,"deterministic browser-local multi-household supply-chain/season/guild/apprenticeship region scaffold only; no LLM call, subjective consciousness, real consent, moral patienthood, autonomous natural language, complete 3D engine, or metaphysical frequency claim"
5,1,5,spring_rain,repair_hall,riverbend->archive_quarter,planks: 0.38/0.38,wet surge intensity 0.50,Bridgewright Guild backlog 0.18,Toma skill 0.22,river mill: stable,fish->archive_quarter 0.11,ssrm_v28_region_state_seed_20260881,v28-507393,"deterministic browser-local multi-household supply-chain/season/guild/apprenticeship region scaffold only; no LLM call, subjective consciousness, real consent, moral patienthood, autonomous natural language, complete 3D engine, or metaphysical frequency claim"
6,1,6,spring_rain,riverbend,roofward->signal_ridge,wire: 0.28/0.28,wet surge intensity 0.58,Glassgarden Guild backlog 0.21,Lio skill 0.25,roof cistern: stable,fish->signal_ridge 0.11,ssrm_v28_region_state_seed_20260881,v28-437192,"deterministic browser-local multi-household supply-chain/season/guild/apprenticeship region scaffold only; no LLM call, subjective consciousness, real consent, moral patienthood, autonomous natural language, complete 3D engine, or metaphysical frequency claim"
7,1,7,spring_rain,roofward,archive_quarter->orchard_fen,paper: 0.38/0.38,wet surge intensity 0.66,Index Guild backlog 0.10,Sera skill 0.28,public kiosk: stable,fish->orchard_fen 0.11,ssrm_v28_region_state_seed_20260881,v28-516426,"deterministic browser-local multi-household supply-chain/season/guild/apprenticeship region scaffold only; no LLM call, subjective consciousness, real consent, moral patienthood, autonomous natural language, complete 3D engine, or metaphysical frequency claim"
8,1,8,spring_rain,archive_quarter,signal_ridge->riverbend,oil: 0.28/0.28,wet surge intensity 0.74,Signal Guild backlog 0.29,Ren skill 0.31,signal tower: stable,fish->riverbend 0.11,ssrm_v28_region_state_seed_20260881,v28-435894,"deterministic browser-local multi-household supply-chain/season/guild/apprenticeship region scaffold only; no LLM call, subjective consciousness, real consent, moral patienthood, autonomous natural language, complete 3D engine, or metaphysical frequency claim"
9,1,9,spring_rain,signal_ridge,orchard_fen->roofward,water: 0.38/0.38,wet surge intensity 0.52,Seed Guild backlog 0.32,Mara skill 0.32,seed pier: stable,fish->roofward 0.11,ssrm_v28_region_state_seed_20260881,v28-437875,"deterministic browser-local multi-household supply-chain/season/guild/apprenticeship region scaffold only; no LLM call, subjective consciousness, real consent, moral patienthood, autonomous natural language, complete 3D engine, or metaphysical frequency claim"
