tick_id,day,tick,season,source_region,destination_region,resource,source_stock_before,requested,delivered,source_stock_after,destination_stock_after,route_blocked,visible_delivery_ledger
0,1,0,spring_rain,riverbend,archive_quarter,thread,9.0,0.33,0.33,8.67,7.13,False,riverbend->archive_quarter:thread:0.33
1,1,1,spring_rain,roofward,signal_ridge,herbs,18.18416,0.43,0.43,17.75416,12.43,False,roofward->signal_ridge:herbs:0.43
2,1,2,spring_rain,archive_quarter,orchard_fen,paper,18.04588,0.33,0.33,17.71588,12.33,False,archive_quarter->orchard_fen:paper:0.33
3,1,3,spring_rain,signal_ridge,riverbend,oil,22.04572,0.43,0.43,21.61572,7.23,False,signal_ridge->riverbend:oil:0.43
4,1,4,spring_rain,orchard_fen,roofward,seeds,23.04616,0.33,0.33,22.71616,9.33,False,orchard_fen->roofward:seeds:0.33
5,1,5,spring_rain,riverbend,archive_quarter,planks,18.231,0.38,0.38,17.851,12.38,False,riverbend->archive_quarter:planks:0.38
6,1,6,spring_rain,roofward,signal_ridge,wire,7.0,0.28,0.28,6.72,5.08,False,roofward->signal_ridge:wire:0.28
7,1,7,spring_rain,archive_quarter,orchard_fen,paper,17.76176,0.38,0.38,17.38176,12.71,False,archive_quarter->orchard_fen:paper:0.38
8,1,8,spring_rain,signal_ridge,riverbend,oil,21.66144,0.28,0.28,21.38144,7.51,False,signal_ridge->riverbend:oil:0.28
9,1,9,spring_rain,orchard_fen,roofward,water,10.0,0.38,0.38,9.62,7.18,False,orchard_fen->roofward:water:0.38
10,1,10,spring_rain,riverbend,archive_quarter,planks,18.0358,0.43,0.43,17.6058,12.81,False,riverbend->archive_quarter:planks:0.43
11,1,11,spring_rain,roofward,signal_ridge,herbs,17.84624,0.33,0.33,17.51624,12.76,False,roofward->signal_ridge:herbs:0.33
12,1,12,spring_rain,archive_quarter,orchard_fen,planks,12.81,0.43,0.43,12.38,10.23,False,archive_quarter->orchard_fen:planks:0.43
13,1,13,spring_rain,signal_ridge,riverbend,oil,21.56432,0.33,0.33,21.23432,7.84,False,signal_ridge->riverbend:oil:0.33
14,1,14,spring_rain,orchard_fen,roofward,seeds,22.80848,0.43,0.43,22.37848,9.76,False,orchard_fen->roofward:seeds:0.43
15,1,15,spring_rain,riverbend,archive_quarter,thread,8.67,0.28,0.28,8.39,7.41,False,riverbend->archive_quarter:thread:0.28
16,2,0,spring_rain,roofward,archive_quarter,thread,12.0,0.43,0.43,11.57,7.84,False,roofward->archive_quarter:thread:0.43
17,2,1,spring_rain,archive_quarter,signal_ridge,paper,17.61116,0.33,0.33,17.28116,9.33,False,archive_quarter->signal_ridge:paper:0.33
18,2,2,spring_rain,signal_ridge,orchard_fen,oil,21.28004,0.43,0.43,20.85004,6.43,False,signal_ridge->orchard_fen:oil:0.43
19,2,3,spring_rain,orchard_fen,riverbend,oil,6.43,0.33,0.33,6.1,8.17,False,orchard_fen->riverbend:oil:0.33
20,2,4,spring_rain,riverbend,roofward,planks,17.698,0.38,0.38,17.318,9.38,False,riverbend->roofward:planks:0.38
21,2,5,spring_rain,roofward,archive_quarter,herbs,17.74644,0.28,0.28,17.46644,9.28,False,roofward->archive_quarter:herbs:0.28
22,2,6,spring_rain,archive_quarter,signal_ridge,wire,10.0,0.38,0.38,9.62,5.46,False,archive_quarter->signal_ridge:wire:0.38
23,2,7,spring_rain,signal_ridge,orchard_fen,oil,20.89576,0.28,0.28,20.61576,6.38,False,signal_ridge->orchard_fen:oil:0.28
24,2,8,spring_rain,orchard_fen,riverbend,seeds,22.4712,0.38,0.38,22.0912,6.38,False,orchard_fen->riverbend:seeds:0.38
25,2,9,spring_rain,riverbend,roofward,water,12.0,0.43,0.43,11.57,7.61,False,riverbend->roofward:water:0.43
26,2,10,spring_rain,roofward,archive_quarter,herbs,17.6506,0.33,0.33,17.3206,9.61,False,roofward->archive_quarter:herbs:0.33
27,2,11,spring_rain,archive_quarter,signal_ridge,paper,17.37292,0.43,0.43,16.94292,9.76,False,archive_quarter->signal_ridge:paper:0.43
28,2,12,spring_rain,signal_ridge,orchard_fen,planks,8.0,0.33,0.33,7.67,10.56,False,signal_ridge->orchard_fen:planks:0.33
29,2,13,spring_rain,orchard_fen,riverbend,seeds,22.27664,0.43,0.43,21.84664,6.81,False,orchard_fen->riverbend:seeds:0.43
30,2,14,spring_rain,riverbend,roofward,planks,17.41,0.28,0.28,17.13,9.66,False,riverbend->roofward:planks:0.28
31,2,15,spring_rain,roofward,archive_quarter,thread,11.57,0.38,0.38,11.19,8.22,False,roofward->archive_quarter:thread:0.38
