tick_id,day,season,resource,from_region,to_region,migration_amount,ecology_before,ecology_after,migration_cause,feedback_visible,care_action
0,1,spring_rain,fish,riverbend,archive_quarter,0.1112,0.54,0.554,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
1,1,spring_rain,fish,roofward,signal_ridge,0.11184,0.565,0.579,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
2,1,spring_rain,fish,archive_quarter,orchard_fen,0.11248,0.59,0.604,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
3,1,spring_rain,fish,signal_ridge,riverbend,0.11312,0.615,0.629,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
4,1,spring_rain,fish,orchard_fen,roofward,0.11136,0.64,0.654,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
5,1,spring_rain,fish,riverbend,archive_quarter,0.1112,0.554,0.568,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
6,1,spring_rain,fish,roofward,signal_ridge,0.11184,0.579,0.593,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
7,1,spring_rain,fish,archive_quarter,orchard_fen,0.11248,0.604,0.618,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
8,1,spring_rain,fish,signal_ridge,riverbend,0.11312,0.629,0.643,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
9,1,spring_rain,fish,orchard_fen,roofward,0.11136,0.654,0.668,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
10,1,spring_rain,fish,riverbend,archive_quarter,0.1112,0.568,0.582,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
11,1,spring_rain,fish,roofward,signal_ridge,0.11184,0.593,0.607,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
12,1,spring_rain,fish,archive_quarter,orchard_fen,0.11248,0.618,0.632,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
13,1,spring_rain,fish,signal_ridge,riverbend,0.11312,0.643,0.657,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
14,1,spring_rain,fish,orchard_fen,roofward,0.11136,0.668,0.682,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
15,1,spring_rain,fish,riverbend,archive_quarter,0.1112,0.582,0.596,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
16,2,spring_rain,fish,roofward,signal_ridge,0.11184,0.607,0.621,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
17,2,spring_rain,fish,archive_quarter,orchard_fen,0.11248,0.632,0.646,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
18,2,spring_rain,fish,signal_ridge,riverbend,0.11312,0.657,0.671,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
19,2,spring_rain,fish,orchard_fen,roofward,0.11056,0.682,0.696,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
20,2,spring_rain,fish,riverbend,archive_quarter,0.112,0.596,0.61,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
21,2,spring_rain,fish,roofward,signal_ridge,0.11184,0.621,0.635,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
22,2,spring_rain,fish,archive_quarter,orchard_fen,0.11248,0.646,0.66,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
23,2,spring_rain,fish,signal_ridge,riverbend,0.11312,0.671,0.685,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
24,2,spring_rain,fish,orchard_fen,roofward,0.11056,0.696,0.71,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
25,2,spring_rain,fish,riverbend,archive_quarter,0.112,0.61,0.624,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
26,2,spring_rain,fish,roofward,signal_ridge,0.11184,0.635,0.649,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
27,2,spring_rain,fish,archive_quarter,orchard_fen,0.11248,0.66,0.674,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
28,2,spring_rain,fish,signal_ridge,riverbend,0.11312,0.685,0.699,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
29,2,spring_rain,fish,orchard_fen,roofward,0.11056,0.71,0.724,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
30,2,spring_rain,fish,riverbend,archive_quarter,0.112,0.624,0.638,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
31,2,spring_rain,fish,roofward,signal_ridge,0.11184,0.649,0.663,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
32,3,spring_rain,fish,archive_quarter,orchard_fen,0.11248,0.674,0.688,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
33,3,spring_rain,fish,signal_ridge,riverbend,0.11312,0.699,0.713,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
34,3,spring_rain,fish,orchard_fen,roofward,0.11056,0.724,0.738,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
35,3,spring_rain,fish,riverbend,archive_quarter,0.1112,0.638,0.652,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
36,3,spring_rain,fish,roofward,signal_ridge,0.11264,0.663,0.677,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
37,3,spring_rain,fish,archive_quarter,orchard_fen,0.11248,0.688,0.702,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
38,3,spring_rain,fish,signal_ridge,riverbend,0.11312,0.713,0.727,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
39,3,spring_rain,fish,orchard_fen,roofward,0.11056,0.738,0.752,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
40,3,spring_rain,fish,riverbend,archive_quarter,0.1112,0.652,0.666,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
41,3,spring_rain,fish,roofward,signal_ridge,0.11264,0.677,0.691,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
42,3,spring_rain,fish,archive_quarter,orchard_fen,0.11248,0.702,0.716,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
43,3,spring_rain,fish,signal_ridge,riverbend,0.11312,0.727,0.741,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
44,3,spring_rain,fish,orchard_fen,roofward,0.11056,0.752,0.766,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
45,3,spring_rain,fish,riverbend,archive_quarter,0.1112,0.666,0.68,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
46,3,spring_rain,fish,roofward,signal_ridge,0.11264,0.691,0.705,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
47,3,spring_rain,fish,archive_quarter,orchard_fen,0.11248,0.716,0.73,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
48,4,spring_rain,fish,signal_ridge,riverbend,0.11312,0.741,0.755,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
49,4,spring_rain,fish,orchard_fen,roofward,0.11056,0.766,0.78,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
50,4,spring_rain,fish,riverbend,archive_quarter,0.1112,0.68,0.694,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
51,4,spring_rain,fish,roofward,signal_ridge,0.11184,0.705,0.719,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
52,4,spring_rain,fish,archive_quarter,orchard_fen,0.11328,0.73,0.744,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
53,4,spring_rain,fish,signal_ridge,riverbend,0.11312,0.755,0.769,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
54,4,spring_rain,fish,orchard_fen,roofward,0.11056,0.78,0.794,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
55,4,spring_rain,fish,riverbend,archive_quarter,0.1112,0.694,0.708,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
56,4,spring_rain,fish,roofward,signal_ridge,0.11184,0.719,0.733,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
57,4,spring_rain,fish,archive_quarter,orchard_fen,0.11328,0.744,0.758,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
58,4,spring_rain,fish,signal_ridge,riverbend,0.11312,0.769,0.783,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
59,4,spring_rain,fish,orchard_fen,roofward,0.11056,0.794,0.808,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
60,4,spring_rain,fish,riverbend,archive_quarter,0.1112,0.708,0.722,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
61,4,spring_rain,fish,roofward,signal_ridge,0.11184,0.733,0.747,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
62,4,spring_rain,fish,archive_quarter,orchard_fen,0.11328,0.758,0.772,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
63,4,spring_rain,fish,signal_ridge,riverbend,0.11312,0.783,0.797,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
64,5,spring_rain,fish,orchard_fen,roofward,0.11056,0.808,0.822,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
65,5,spring_rain,fish,riverbend,archive_quarter,0.1112,0.722,0.736,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
66,5,spring_rain,fish,roofward,signal_ridge,0.11184,0.747,0.761,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
67,5,spring_rain,fish,archive_quarter,orchard_fen,0.11248,0.772,0.786,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
68,5,spring_rain,fish,signal_ridge,riverbend,0.11392,0.797,0.811,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
69,5,spring_rain,fish,orchard_fen,roofward,0.11056,0.822,0.836,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
70,5,spring_rain,fish,riverbend,archive_quarter,0.1112,0.736,0.75,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
71,5,spring_rain,fish,roofward,signal_ridge,0.11184,0.761,0.775,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
72,5,spring_rain,fish,archive_quarter,orchard_fen,0.11248,0.786,0.8,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
73,5,spring_rain,fish,signal_ridge,riverbend,0.11392,0.811,0.825,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
74,5,spring_rain,fish,orchard_fen,roofward,0.11056,0.836,0.85,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
75,5,spring_rain,fish,riverbend,archive_quarter,0.1112,0.75,0.764,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
76,5,spring_rain,fish,roofward,signal_ridge,0.11184,0.775,0.789,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
77,5,spring_rain,fish,archive_quarter,orchard_fen,0.11248,0.8,0.814,spring_rain resource movement,True,open fish passage / shade seeds / ration oil
